mode,wavelength_nm,k_at_max_absolute_node_per_nm,k_at_10pct_absolute_weight_per_nm,k_at_50pct_absolute_weight_per_nm,k_at_90pct_absolute_weight_per_nm,coherence_ratio
23A,1550.0,0.2723000752238091,0.10002859906180743,0.2630381679032714,0.4797667992038541,0.9841914104699258
23B,1550.0,0.3426905708598958,0.11855241370288287,0.3019381786495298,0.4908810879884994,0.9844977821777323
23C,1550.0,0.3482477152522184,0.11855241370288287,0.2963810342572072,0.4871763250602843,0.9838929198511209
23D,1550.0,0.34454295232400334,0.11855241370288287,0.2963810342572072,0.4871763250602843,0.9835352676420994
