mode,chi2_1550_pm_per_V,peak_chi2_pm_per_V,peak_wavelength_nm,FWHM_nm,relative_spectrum_RMSE_vs_23D,max_relative_deviation_vs_23D,max_relative_deviation_wavelength_nm,relative_deviation_denominator_floor,N_k,fraction_of_bz,kmax_per_nm,role,max_complex_relative_change_vs_finest,converged_vs_finest
23A,9.988738753855817,34.836382252199364,1501.0,91.82180290950123,0.0,0.0,400.0,1e-6 times max(|chi2_23D|),301,0.05,0.2778572196161317,kmax_convergence,0.9405408954783866,False
23B,12.072598245521524,61.41434610704225,1499.0,49.79312194847762,0.0,0.0,400.0,1e-6 times max(|chi2_23D|),301,0.05,0.2778572196161317,kmax_convergence,1.015365399068948,False
23C,12.194510265247372,62.41131945028527,1502.0,50.3484189083033,0.0,0.0,400.0,1e-6 times max(|chi2_23D|),301,0.05,0.2778572196161317,kmax_convergence,0.8522436863306776,False
23D,12.189175884184593,62.29474836922757,1502.0,50.357887864457325,0.0,0.0,400.0,1e-6 times max(|chi2_23D|),301,0.05,0.2778572196161317,kmax_convergence,0.9327034410799067,False
23A,14.55320299631323,41.800341356144095,1502.0,173.42823014146666,0.0,0.0,400.0,1e-6 times max(|chi2_23D|),301,0.075,0.41678582942419756,kmax_convergence,0.8625223433363659,False
23B,20.566735257515617,68.64342006215333,1501.0,106.43390927967289,0.0,0.0,400.0,1e-6 times max(|chi2_23D|),301,0.075,0.41678582942419756,kmax_convergence,0.8981026906527529,False
23C,21.310650398282412,75.34339423952004,1503.0,103.64002975726635,0.0,0.0,400.0,1e-6 times max(|chi2_23D|),301,0.075,0.41678582942419756,kmax_convergence,0.7959568562894148,False
23D,21.35274210963721,74.6721624898371,1503.0,103.82432538084231,0.0,0.0,400.0,1e-6 times max(|chi2_23D|),301,0.075,0.41678582942419756,kmax_convergence,0.8740523664831154,False
23A,18.04870137146937,45.10599524491319,1502.0,270.92465182402793,0.0,0.0,400.0,1e-6 times max(|chi2_23D|),301,0.1,0.5557144392322634,kmax_convergence,0.7480607689892275,False
23B,25.79000120068652,74.06315514170603,1502.0,172.1021466445343,0.0,0.0,400.0,1e-6 times max(|chi2_23D|),301,0.1,0.5557144392322634,kmax_convergence,0.7602323217142628,False
23C,26.703819586994452,83.04521241059568,1503.0,165.95541871456408,0.0,0.0,400.0,1e-6 times max(|chi2_23D|),301,0.1,0.5557144392322634,kmax_convergence,0.6850884078711214,False
23D,26.482246954799976,81.49066896092887,1503.0,166.3493091689527,0.0,0.0,400.0,1e-6 times max(|chi2_23D|),301,0.1,0.5557144392322634,kmax_convergence,0.7567664513050024,False
23A,20.767266052768207,47.95914024503768,1502.0,374.32094319444013,0.0,0.0,400.0,1e-6 times max(|chi2_23D|),301,0.125,0.6946430490403293,kmax_convergence,0.0,True
23B,31.073568821813513,80.37562031530844,1502.0,240.88877755660496,0.0,0.0,400.0,1e-6 times max(|chi2_23D|),301,0.125,0.6946430490403293,kmax_convergence,0.0,True
23C,32.076531257811375,89.68311042531782,1503.0,231.91955191874194,0.0,0.0,400.0,1e-6 times max(|chi2_23D|),301,0.125,0.6946430490403293,kmax_convergence,0.0,True
23D,31.581214072733186,86.83453897959164,1503.0,232.77690450893124,0.0,0.0,400.0,1e-6 times max(|chi2_23D|),301,0.125,0.6946430490403293,kmax_convergence,0.0,True
