mode,wavelength_nm,electron_side_real_pm_per_V,electron_side_imag_pm_per_V,heavy_hole_side_real_pm_per_V,heavy_hole_side_imag_pm_per_V,final_real_pm_per_V,final_imag_pm_per_V,final_abs_pm_per_V,largest_pathways
23A,1550.0,79.60560172355594,-467.5316037515679,-61.567220575983654,468.1418715381968,18.038381147572068,0.6102677866289681,18.048701371469374,C_m1_n1_l1=467.50593; V_m1_n1_l1=464.81891; C_m2_n2_l2=55.338206; V_m2_n2_l2=37.750186; C_m1_n2_l2=4.4390403
23B,1550.0,-25.544840008150686,-680.4798900185336,51.320734943988825,681.3327687836811,25.775894935838245,0.852878765147907,25.790001200686515,C_m1_n1_l1=687.26611; V_m1_n1_l1=683.31601; C_m2_n2_l2=77.777849; V_m2_n2_l2=53.057887; C_m1_n2_l2=6.4024402
23C,1550.0,-16.825904861799955,-733.8885444849037,43.51982644717438,734.6155458113335,26.693921585374408,0.7270013264298175,26.703819586994452,C_m1_n1_l1=739.21219; V_m1_n1_l1=734.96352; C_m2_n2_l2=80.369213; V_m2_n2_l2=54.825644; C_m1_n2_l2=6.0676999
23D,1550.0,1.849270452240944,-753.9843708833051,24.620970619791834,754.7817047929536,26.4702410720329,0.7973339096483872,26.482246954799976,C_m1_n1_l1=757.03979; V_m1_n1_l1=752.68866; C_m2_n2_l2=79.873536; V_m2_n2_l2=54.487507; C_m1_n2_l2=6.0101896
