k_per_nm,DeltaE_11,DeltaE_12,DeltaE_21,DeltaE_22
0.0,1.4933526957039998,1.5283667159019998,1.613217415774,1.648231435972
0.0018523814641075449,1.4933558141914116,1.5283698343894117,1.6132205342614119,1.648234554459412
0.0037047629282150898,1.493365169653648,1.5283791898516481,1.6132298897236483,1.6482439099216484
0.005557144392322634,1.4933807620907082,1.5283947822887083,1.6132454821607085,1.6482595023587086
0.0074095258564301795,1.4934025915025926,1.5284166117005926,1.6132673115725928,1.6482813317705929
0.009261907320537725,1.493430657889301,1.5284446780873011,1.6132953779593013,1.6483093981573014
0.011114288784645269,1.4934649612508337,1.5284789814488338,1.613329681320834,1.648343701518834
0.012966670248752815,1.4935055015871905,1.5285195217851906,1.6133702216571908,1.6483842418551908
0.014819051712860359,1.493552278898371,1.528566299096371,1.6134169989683713,1.6484310191663714
0.016671433176967905,1.4936052931843762,1.5286193133823762,1.6134700132543764,1.6484840334523765
0.01852381464107545,1.493664544445205,1.528678564643205,1.6135292645152053,1.6485432847132053
0.020376196105182993,1.493730032680858,1.528744052878858,1.6135947527508583,1.6486087729488583
0.022228577569290538,1.4938017578913356,1.5288157780893357,1.6136664779613359,1.648680498159336
0.024080959033398082,1.493879720076637,1.528893740274637,1.6137444401466372,1.6487584603446372
0.02593334049750563,1.4939639192367624,1.5289779394347625,1.6138286393067627,1.6488426595047627
0.027785721961613174,1.4940543553717116,1.5290683755697116,1.6139190754417119,1.648933095639712
0.029638103425720718,1.4941510284814854,1.5291650486794854,1.6140157485514857,1.6490297687494857
0.031490484889828266,1.4942539385660834,1.5292679587640834,1.6141186586360836,1.6491326788340837
0.03334286635393581,1.494363085625505,1.529377105823505,1.6142278056955053,1.6492418258935053
0.035195247818043354,1.4944784696597513,1.5294924898577513,1.6143431897297515,1.6493572099277516
0.0370476292821509,1.4946000906688213,1.5296141108668213,1.6144648107388215,1.6494788309368216
0.03890001074625844,1.4947279486527154,1.5297419688507155,1.6145926687227157,1.6496066889207157
0.04075239221036599,1.4948620436114337,1.5298760638094338,1.614726763681434,1.649740783879434
0.04260477367447353,1.4950023755449762,1.5300163957429762,1.6148670956149764,1.6498811158129765
0.044457155138581075,1.4951489444533428,1.5301629646513428,1.615013664523343,1.650027684721343
0.04630953660268862,1.4953017503365331,1.5303157705345332,1.6151664704065334,1.6501804906045334
0.048161918066796164,1.495460793194548,1.530474813392548,1.6153255132645483,1.6503395334625484
0.050014299530903715,1.4956260730273867,1.5306400932253867,1.615490793097387,1.650504813295387
0.05186668099501126,1.4957975898350495,1.5308116100330496,1.6156623099050498,1.6506763301030498
0.0537190624591188,1.495975343617537,1.530989363815537,1.6158400636875372,1.6508540838855372
0.05557144392322635,1.496159334374848,1.531173354572848,1.6160240544448483,1.6510380746428484
0.05742382538733389,1.4963495621069833,1.5313635823049834,1.6162142821769836,1.6512283023749836
0.059276206851441436,1.4965460268139428,1.5315600470119428,1.616410746883943,1.651424767081943
0.06112858831554898,1.496748728495726,1.531762748693726,1.6166134485657262,1.6516274687637262
