z_shift_nm,max_complex_error_pm_per_V,relative_error
-15,8.681715758183098e-13,1.0653631721131858e-14
-5,1.0481408545834812e-12,1.286209658048255e-14
0,0.0,0.0
5,1.6167931168329112e-12,1.9840223886347924e-14
15,1.6077746776921857e-12,1.9729555520807197e-14
