wavelength_nm,full16,electron_diagonal,hh_diagonal,both_diagonal,offdiagonal_only
400.0,0.004907389940855328,0.0058736357497458265,0.005603924170157469,0.0054744006580380805,0.0042415309043583056
401.0,0.004952492008850138,0.005924577312511078,0.005652337091731875,0.005524301863507057,0.004277167537328028
402.0,0.004998002281163343,0.005975937670779582,0.005701145234437482,0.005574648932805425,0.004313079807318086
403.0,0.005043925048867942,0.006027720710878246,0.0057503522284492415,0.005625446481445412,0.004349270031778432
404.0,0.005090264659960237,0.006079930364554823,0.005799961745867008,0.005676699185303151,0.0043857405518918265
405.0,0.005137025520292748,0.00613257060963674,0.005849977501315735,0.005728411781595641,0.00442249373286321
406.0,0.005184212094526192,0.006185645470701543,0.005900403252556026,0.005780589069877612,0.004459531964213029
407.0,0.005231828907099971,0.006239159019759107,0.005951242801105304,0.005833235913057367,0.00449685766007466
408.0,0.005279880543221891,0.006293115376945862,0.006002499992869735,0.005886357238432711,0.0045344732594959775
409.0,0.005328371649877608,0.0063475187112313645,0.006054178718787262,0.005939958038747209,0.004572381226745127
410.0,0.005377306936860481,0.006402373241137359,0.006106282915481782,0.005994043373267549,0.004610584051620508
411.0,0.005426691177821553,0.0064576832354696955,0.006158816565928918,0.0060486183688818725,0.004649084249765153
412.0,0.005476529211341103,0.006513453014063288,0.0062117837001334315,0.006103688221220243,0.004687884362985463
413.0,0.005526825942021589,0.006569686948540471,0.006265188395818659,0.006159258195797363,0.004726986959574345
414.0,0.005577586341602367,0.006626389463082932,0.00631903477912815,0.006215333629177796,0.00476639463463897
415.0,0.005628815450097991,0.006683565035217657,0.006373327025339752,0.0062719199301655175,0.004806110010433019
416.0,0.005680518376958603,0.00674121819661702,0.0064280693595924684,0.006329022581016384,0.004846135736693621
417.0,0.005732700302254908,0.006799353533913467,0.006483266057626305,0.006386647138675926,0.00488647449098306
418.0,0.0057853664778867615,0.00685797568952898,0.006538921446535382,0.006444799236041624,0.004927128979035139
419.0,0.005838522228817259,0.006917089362519779,0.0065950399055346425,0.006503484583251466,0.004968101935106541
420.0,0.005892172954331826,0.006976699309436429,0.0066516258667403535,0.006562708968998372,0.005009396122333047
421.0,0.005946324129323662,0.007036810345199837,0.006708683815964816,0.006622478261871807,0.005051014333090773
422.0,0.006000981305605992,0.007097427343993401,0.006766218293525464,0.006682798411727057,0.005092959389362453
423.0,0.006056150113251385,0.007158555240171666,0.0068242338950687586,0.006743675451082547,0.005135234143108946
424.0,0.006111836261959491,0.0072201990291858595,0.006882735272409131,0.006805115496546319,0.005177841476645845
425.0,0.006168045542453238,0.0072823637685267405,0.006941727134383362,0.006867124750272007,0.005220784303025514
426.0,0.006224783827904644,0.007345054578684993,0.0070012142477206465,0.00692970950144535,0.005264065566424381
427.0,0.006282057075391153,0.00740827664412975,0.007061201437928786,0.0069928761278020505,0.005307688242535756
428.0,0.0063398713273817246,0.007472035214305433,0.0071216935901967865,0.007056631097176558,0.005351655338968158
429.0,0.0063982327132563665,0.007536335604647545,0.007182695650314238,0.007120980969085059,0.005395969895649228
430.0,0.006457147450856686,0.007601183197617627,0.007244212625607874,0.00718593239634065,0.0054406349852353444
431.0,0.006516621848070608,0.007666583443757957,0.007306249585895651,0.007251492126703562,0.005485653713526987
432.0,0.006576662304450894,0.007732541862766381,0.007368811664458764,0.0073176670045662995,0.005531029219889981
433.0,0.006637275312868538,0.007799064044591717,0.007431904059032003,0.007384463972674703,0.005576764677682624
434.0,0.006698467461202864,0.00786615565055023,0.007495532032812788,0.007451890073886722,0.005622863294688858
435.0,0.006760245434067384,0.007933822414463639,0.0075597009154894255,0.007519952452968054,0.005669328313557509
436.0,0.0068226160145743045,0.008002070143819168,0.007624416104288902,0.007588658358427601,0.005716163012247732
437.0,0.006885586086137067,0.008070904720952097,0.007689683065044722,0.0076580151443919955,0.005763370704480664
438.0,0.006949162634313336,0.008140332104251405,0.0077555073332852146,0.0077280302725217555,0.005810954740197501
439.0,0.007013352748688159,0.008210358329388982,0.00782189451534279,0.007798711313968785,0.005858918506023928
440.0,0.007078163624799173,0.008280989510572961,0.007888850289484613,0.00787006595137708,0.005907265425741139
441.0,0.007143602566105184,0.008352231841825791,0.007956380407065181,0.007942101980928009,0.005955998960763392
442.0,0.00720967698599769,0.008424091598287503,0.008024490693701319,0.008014827314429825,0.0060051226106223226
443.0,0.007276394409858655,0.008496575137544912,0.008093187050470114,0.008088249981454543,0.00605463991345797
444.0,0.007343762477164437,0.00856968890098727,0.008162475455130287,0.008162378131522409,0.006104554446516769
445.0,0.007411788943636907,0.008643439415188995,0.008232361963367574,0.008237220036334706,0.0061548698266563765
446.0,0.007480481683443691,0.008717833293320158,0.008302852710064696,0.008312784092057046,0.006205589710857647
447.0,0.007549848691449069,0.008792877236585374,0.00837395391059641,0.008389078821654674,0.00625671779674369
