wavelength_nm,production,radial_kdk,bare_2pi_kdk,equal_points,k0_only
400.0,0.004907389940855338,0.004907389940855365,0.004907389940855351,0.002174347559364757,0.0005971960342144273
401.0,0.00495249200885015,0.004952492008850213,0.004952492008850221,0.002194053014272998,0.0006024583602252269
402.0,0.004998002281163349,0.0049980022811633605,0.004998002281163359,0.002213932698554535,0.000607764998049653
403.0,0.005043925048867934,0.005043925048867976,0.005043925048867996,0.002233988388351249,0.0006131163696259694
404.0,0.005090264659960232,0.005090264659960273,0.00509026465996027,0.002254221882618379,0.0006185129019100731
405.0,0.005137025520292734,0.00513702552029277,0.00513702552029276,0.0022746350034865905,0.0006239550269487273
406.0,0.00518421209452618,0.005184212094526247,0.0051842120945262745,0.0022952295966311327,0.0006294431819541484
407.0,0.005231828907099952,0.005231828907100038,0.005231828907100047,0.002316007531647727,0.0006349778093798168
408.0,0.005279880543221879,0.005279880543221912,0.0052798805432219,0.0023369707024362874,0.0006405593569976718
409.0,0.005328371649877601,0.0053283716498776605,0.005328371649877642,0.002358121027591344,0.0006461882779766573
410.0,0.00537730693686048,0.0053773069368605216,0.005377306936860503,0.002379460450800414,0.0006518650309626354
411.0,0.005426691177821559,0.005426691177821606,0.00542669117782161,0.0024009909412501455,0.0006575900801597251
412.0,0.005476529211341101,0.005476529211341175,0.005476529211341206,0.002422714494040031,0.0006633638954130954
413.0,0.005526825942021605,0.005526825942021615,0.005526825942021619,0.0024446331306044984,0.0006691869522932118
414.0,0.005577586341602386,0.005577586341602434,0.005577586341602368,0.0024667488991431926,0.000675059732181603
415.0,0.005628815450098007,0.005628815450097994,0.005628815450098,0.002489063875059618,0.0006809827223581643
416.0,0.0056805183769586135,0.0056805183769586525,0.005680518376958681,0.002511580161408586,0.0006869564160900111
417.0,0.005732700302254892,0.005732700302254956,0.005732700302254923,0.0025342998893522974,0.0006929813127219608
418.0,0.005785366477886759,0.005785366477886762,0.005785366477886808,0.0025572252186257345,0.0006990579177686178
419.0,0.005838522228817246,0.005838522228817266,0.005838522228817311,0.0025803583380111356,0.0007051867430081602
420.0,0.0058921729543318585,0.00589217295433185,0.005892172954331858,0.0026037014658220653,0.0007113683065778059
421.0,0.005946324129323662,0.005946324129323695,0.005946324129323724,0.0026272568503970355,0.0007176031330710286
422.0,0.006000981305606,0.006000981305606031,0.006000981305606022,0.0026510267706033068,0.000723891753636555
423.0,0.0060561501132513585,0.0060561501132514114,0.006056150113251476,0.0026750135363505824,0.0007302347060791689
