observable,normalized_RMSE,correlation,local_RMSE_500_700,local_RMSE_950_1200,local_RMSE_1200_1450,P1_nm,Z1_nm,P2_nm,P3_nm,Z2_nm,P4_nm
Re,0.38337877530443165,0.3643059329585638,0.12791078919273197,0.5729082615625011,0.45426734306613537,687.0,753.0,831.0,953.0,1374.0,1505.0
abs_Re,0.23787347931116054,0.3096300795070898,0.12791078919273197,0.37251580786061517,0.3033520455317535,687.0,714.0,753.0,nan,1437.0,1505.0
magnitude,0.26239111786932695,0.24755539373540594,0.13250979068445662,0.38445562672151445,0.37203268184290783,688.0,720.0,752.0,nan,1455.0,1503.0
