wavelength_nm,fraction_0.025_pi_over_a,fraction_0.05_pi_over_a,fraction_0.075_pi_over_a,fraction_0.1_pi_over_a
400.0,0.0006811057831123483,0.001521472954002136,0.0029206036432534725,0.004907389940855338
401.0,0.0006871168857464038,0.0015349897457008171,0.0029469093667551295,0.00495249200885015
402.0,0.0006931787410672233,0.0015486219586139903,0.0029734450669846087,0.004998002281163349
403.0,0.0006992918341139562,0.0015623707129325,0.003000213048994648,0.005043925048867934
404.0,0.0007054566557166843,0.0015762371424465507,0.00302721564683116,0.005090264659960232
405.0,0.0007116737025812745,0.001590222394748805,0.003054455223982157,0.005137025520292734
406.0,0.0007179434773758129,0.0016043276314407452,0.003081934173835069,0.00518421209452618
407.0,0.000724266488818511,0.0016185540283429236,0.0031096549201427774,0.005231828907099952
408.0,0.0007306432517671436,0.0016329027757089462,0.0031376199174979473,0.005279880543221879
409.0,0.0007370742873101143,0.0016473750784433089,0.0031658316518167204,0.005328371649877601
410.0,0.000743560122859077,0.0016619721563231624,0.003194292640831095,0.00537730693686048
411.0,0.0007501012922432938,0.0016766952442240494,0.0032230054345907277,0.005426691177821559
412.0,0.000756698335805582,0.0016915455923498122,0.0032519726159743433,0.005476529211341101
413.0,0.000763351800499998,0.0017065244664666653,0.0032811968012105655,0.005526825942021605
414.0,0.0007700622399913203,0.0017216331481414594,0.0033106806404088595,0.005577586341602386
415.0,0.0007768302147563014,0.0017368729349845076,0.0033404268181005167,0.005628815450098007
416.0,0.0007836562921866932,0.0017522451408966487,0.0033704380537901146,0.0056805183769586135
417.0,0.000790541046694209,0.0017677510963209637,0.0034007171025172674,0.005732700302254892
418.0,0.0007974850598173717,0.001783392148499231,0.00343126675542955,0.005785366477886759
419.0,0.0008044889203302513,0.001799169661732961,0.0034620898403662616,0.005838522228817246
420.0,0.0008115532243532844,0.0018150850176494374,0.0034931892224534943,0.0058921729543318585
421.0,0.0008186785754660278,0.001831139615472649,0.0035245678047110354,0.005946324129323662
422.0,0.0008258655848220549,0.0018473348722992835,0.003556228528670642,0.006000981305606
423.0,0.0008331148712659264,0.0018636722233799797,0.003588174375006922,0.0060561501132513585
424.0,0.000840427061452327,0.001880153122405718,0.003620408364180271,0.006111836261959495
425.0,0.0008478027899674427,0.0018967790417998708,0.0036529335570924496,0.006168045542453238
426.0,0.0008552426994525462,0.00191355147301549,0.003685753055755436,0.006224783827904645
427.0,0.0008627474407299396,0.0019304719268385159,0.0037188700039731525,0.006282057075391148
