k_per_nm,integration_weight_nm_minus2
0,0
0.01111428878464,3.9319997469189345e-05
0.022228577569280001,7.8639994938378704e-05
0.033342866353920003,0.00011795999240756804
0.044457155138560002,0.00015727998987675733
0.055571443923200001,0.00019659998734594675
0.066685732707840006,0.00023591998481513603
0.077800021492479998,0.00027523998228432532
0.088914310277120004,0.00031455997975351465
0.10002859906176,0.00035387997722270399
0.1111428878464,0.00039319997469189333
0.12225717663103999,0.00043251997216108294
0.13337146541568001,0.00047183996963027233
0.14448575420032,0.00051115996709946102
0.15560004298496,0.00055047996456865031
0.16671433176959999,0.00058979996203784035
0.17782862055424001,0.00062911995950702974
0.18894290933888,0.00066843995697621827
0.20005719812351999,0.00070775995444540853
0.21117148690816001,0.00074707995191459781
0.2222857756928,0.00078639994938378623
0.23340006447743999,0.00082571994685297551
0.24451435326207999,0.00086503994432216469
0.25562864204671998,0.00090435994179135625
0.26674293083136003,0.00094367993926054597
0.27785721961600002,0.00098299993672973287
0.28897150840064001,0.001022319934198922
0.30008579718528,0.0010616399316681114
0.31120008596991999,0.0011009599291373006
0.32231437475455998,0.00114027992660649
0.33342866353919998,0.0011795999240756822
0.34454295232384002,0.0012189199215448718
0.35565724110848002,0.0012582399190140582
0.36677152989312001,0.0012975599164832474
0.37788581867776,0.0013368799139524365
0.38900010746239999,0.0013761999114216259
0.40011439624703998,0.0014155199088908151
0.41122868503167997,0.0014548399063600082
0.42234297381632002,0.0014941599038291976
0.43345726260096001,0.0015334799012983833
0.44457155138560001,0.0015727998987675725
0.45568584017024,0.0016121198962367619
0.46680012895487999,0.001651439893705951
0.47791441773951998,0.0016907598911751402
0.48902870652415997,0.0017300798886443339
0.50014299530880002,0.001769399886113519
0.51125728409343996,0.0018087198835827082
0.52237157287808,0.0018480398810519069
0.53348586166272005,0.0018873598785210872
0.54460015044735999,0.0019266798759902761
0.55571443923200003,0.00098299993672973786
