wavelength_nm,Re_electron,Im_electron,Re_hole,Im_hole,Re_total,Im_total,cancellation_fraction_modulus
400,6.1606862151380479,0.11041544533982577,-5.7608970029947546,-0.10276508458724322,0.39978921214329421,0.0076503607525825468,0.96646431256258591
401,6.2140944419994275,0.111910991941072,-5.8106321705955937,-0.10415031237031477,0.40346227140383473,0.007760679570757191,0.96644649057934251
402,6.2679413378721103,0.11342644543900599,-5.8607727896635975,-0.10555384421754074,0.40716854820851256,0.0078726012214652176,0.96642856894835538
403,6.3222309667550149,0.11496208712272654,-5.9113225755255696,-0.10697593617536143,0.41090839122944656,0.0079861509473650866,0.96641054676662619
404,6.3769674400317751,0.11651820277750066,-5.9622852862778339,-0.10841684833272826,0.4146821537539398,0.008101354444772401,0.96639242311988893
405,6.4321549171559544,0.11809508276798172,-6.013664723396035,-0.10987684489488792,0.41849019375992147,0.0082182378730938054,0.96637419708243255
406,6.487797606348269,0.1196930221232055,-6.065464732355383,-0.11135619425871962,0.42233287399288533,0.0083368278644858525,0.96635586771691828
407,6.5438997653059934,0.12131232062340898,-6.1176892032616479,-0.1128551690896632,0.42621056204434682,0.0084571515337457902,0.96633743407419381
408,6.6004657019248487,0.12295328288871522,-6.1703420714930148,-0.11437404640027461,0.43012363043183366,0.008579236488440601,0.96631889519310432
409,6.6574997750336609,0.12461621846973164,-6.2234273183531874,-0.11591310763045201,0.43407245668047256,0.0087031108392796007,0.9663002501003003
410,6.7150063951419252,0.12630144194010692,-6.2769489717357452,-0.11747263872936797,0.43805742340618103,0.008828803210738978,0.96628149781004102
411,6.7729900252007438,0.12800927299109793,-6.3309111068001727,-0.119052930239154,0.44207891840057101,0.0089563427519439402,0.96626263732399231
412,6.8314551813772084,0.12974003652819283,-6.3853178466597402,-0.12065427738037676,0.44613733471746808,0.0090857591478160742,0.96624366763102509
413,6.8904064338426823,0.13149406276984552,-6.4401733630814357,-0.12227698013935238,0.45023307076124564,0.0092170826304931591,0.96622458770700526
414,6.9498484075751703,0.13327168734837097,-6.4954818771982561,-0.12392134335734167,0.45436653037691288,0.0093503439910292765,0.96620539651458026
415,7.0097857831761203,0.13507325141305818,-6.5512476602341279,-0.12558767682167538,0.45853812294199325,0.009485574591382797,0.96618609300296554
416,7.070223297701923,0.13689910173555372,-6.6074750342416104,-0.12727629535885404,0.46274826346031361,0.009622806376699676,0.966166676107721
417,7.1311657455105042,0.13874959081757671,-6.6641683728528189,-0.12898751892967464,0.46699737265768748,0.0097620718879020477,0.96614714475052621
418,7.1926179791232023,0.14062507700101998,-6.7213321020436583,-0.13072167272643118,0.47128587707954384,0.0099034042745887799,0.96612749783895069
419,7.2545849101024107,0.14252592458050328,-6.7789707009118603,-0.13247908727224528,0.47561420919055153,0.010046837308258002,0.9661077342662201
420,7.3170715099451993,0.14445250391843559,-6.8370887024688702,-0.13426009852257473,0.47998280747632993,0.01019240539586087,0.96608785291097543
421,7.3800828109933132,0.14640519156265436,-6.8956906944460945,-0.13606504796896007,0.48439211654721737,0.01034014359369426,0.96606785263702999
422,7.4436239073599157,0.14838437036670676,-6.9547813201157158,-0.13789428274506155,0.48884258724420016,0.010490087621645227,0.96604773229312091
423,7.5076999558734032,0.1503904296128408,-7.0143652791263351,-0.13974815573504698,0.49333467674706744,0.010642273877793835,0.96602749071265381
424,7.5723161770387035,0.15242376513777545,-7.0744473283539051,-0.14162702568438876,0.49786884868479908,0.010796739453386654,0.96600712671344335
425,7.6374778560163996,0.15448477946132491,-7.1350322827681349,-0.14353125731313232,0.50244557324826378,0.010953522148192611,0.96598663909744997
426,7.7031903436200766,0.15657388191794624,-7.1961250163147943,-0.14546122143169793,0.50706532730528364,0.011112660486248319,0.96596602665050924
427,7.7694590573323605,0.15869148879129197,-7.2577304628142114,-0.14741729505928267,0.51172859451814823,0.011274193732009313,0.9659452881420556
428,7.8362894823399509,0.16083802345184217,-7.3198536168763573,-0.14939986154492724,0.51643586546359366,0.011438161906914955,0.96592442232484144
429,7.9036871725881497,0.16301391649769995,-7.3824995348328324,-0.15140931069131819,0.52118763775531574,0.011604605806381733,0.96590342793465034
