step,replaced_bands,node1_nm,node1_depth,node2_nm,node2_depth,peak_nm,peak_norm,rmse
15A parabolic,none,550.0,0.22977271718883724,1201.0,0.49217903054795836,1503.0,1.0,0.24646046434035826
15B e1,e1,550.0,0.226474842887763,1201.0,0.48914216382119075,1503.0,1.0,0.2460623181214263
15C e1+e2,e1+e2,553.0,0.25037866576136575,1201.0,0.5133134370178386,913.0,1.0,0.252280202197253
15D +h1,e1+e2+h1,558.0,0.24767333579012685,1201.0,0.49378846846441354,913.0,1.0,0.24562330629931015
15E +h2,e1+e2+h1+h2,584.0,0.25449887478946304,1269.0,0.5028424275458602,1045.0,1.0,0.20377168523644773
