model,ordering,node1_nm,node1_depth,node2_nm,node2_depth,peak_nm,peak_norm,rmse
demo21,A_abs_integral_sum,550.0,0.04508341942636754,1200.0,0.2797005782086153,1502.0,1.0,0.29124138370204883
demo21,B_integral_abs_sum,550.0,0.02424973554261427,1200.0,0.15045111524679564,1400.0,1.0,0.3758122586540517
demo21,C_sum_abs_integral_term,550.0,0.03459613781531997,1200.0,0.23419103374527014,1401.0,1.0,0.28501834397913306
demo21,D_integral_sum_abs_term,550.0,0.018300082504160813,1200.0,0.12387964457782974,1482.0,1.0,0.2914960638942413
hybrid,A_abs_integral_sum,584.0,0.25449887478946304,1269.0,0.5028424275458602,1045.0,1.0,0.20377168523644773
hybrid,B_integral_abs_sum,550.0,0.46531121620747623,1400.0,0.9103047504078208,1109.0,1.0,0.42931258856106225
hybrid,C_sum_abs_integral_term,629.0,0.2557231134547109,1347.0,0.502516235125082,1108.0,1.0,0.23227724724073429
hybrid,D_integral_sum_abs_term,550.0,0.2306580694194104,1400.0,0.9415175050055316,1160.0,1.0,0.4295100830531794
