wavelength_nm,real,imag,abs_real,magnitude,real_normalized,imag_normalized
4.000000000000000000e+02,-1.024395138242014891e+00,5.993622426257285210e-03,1.024395138242014891e+00,1.024412672102246624e+00,-2.487776337122141884e-02,1.455570364310414949e-04
4.010000000000000000e+02,-1.035645400916285208e+00,6.100997512606783774e-03,1.035645400916285208e+00,1.035663371279346823e+00,-2.515097959631488328e-02,1.481646747245533825e-04
4.020000000000000000e+02,-1.047034488874346359e+00,6.210523892430114962e-03,1.047034488874346359e+00,1.047052907688709844e+00,-2.542756723779950739e-02,1.508245578677195806e-04
4.030000000000000000e+02,-1.058564650178001720e+00,6.322253328827227500e-03,1.058564650178001720e+00,1.058583529766843334e+00,-2.570758089057475354e-02,1.535379429439680016e-04
4.040000000000000000e+02,-1.070238182178537389e+00,6.436239119481039495e-03,1.070238182178537389e+00,1.070257535253465564e+00,-2.599107634655093910e-02,1.563061243045643807e-04
4.050000000000000000e+02,-1.082057432920826123e+00,6.552536152144329551e-03,1.082057432920826123e+00,1.082077272596200901e+00,-2.627811062874832806e-02,1.591304349161293990e-04
4.060000000000000000e+02,-1.094024802597256762e+00,6.671200962521925404e-03,1.094024802597256762e+00,1.094045142405124293e+00,-2.656874202660628598e-02,1.620122477663259359e-04
4.070000000000000000e+02,-1.106142745053646514e+00,6.792291794669488847e-03,1.106142745053646514e+00,1.106163598959322369e+00,-2.686303013255483124e-02,1.649529773306629345e-04
4.080000000000000000e+02,-1.118413769349391629e+00,6.915868664036515373e-03,1.118413769349391629e+00,1.118435151767724234e+00,-2.716103587990340365e-02,1.679540811035147986e-04
4.090000000000000000e+02,-1.130840441374193261e+00,7.041993423289392984e-03,1.130840441374193261e+00,1.130862367186544093e+00,-2.746282158210356164e-02,1.710170611966554694e-04
4.100000000000000000e+02,-1.143425385523799687e+00,7.170729831057334747e-03,1.143425385523799687e+00,1.143447870095773089e+00,-2.776845097344491156e-02,1.741434660087752182e-04
4.110000000000000000e+02,-1.156171286437461809e+00,7.302143623753823420e-03,1.156171286437461809e+00,1.156194345637426846e+00,-2.807798925124978598e-02,1.773348919696876114e-04
4.120000000000000000e+02,-1.169080890799708783e+00,7.436302590633814963e-03,1.169080890799708783e+00,1.169104541018150423e+00,-2.839150311962993292e-02,1.805929853631174436e-04
4.130000000000000000e+02,-1.182157009209435561e+00,7.573276652257970171e-03,1.182157009209435561e+00,1.182181267379182055e+00,-2.870906083487789404e-02,1.839194442322299118e-04
4.140000000000000000e+02,-1.195402518119275559e+00,7.713137942544443654e-03,1.195402518119275559e+00,1.195427401736644857e+00,-2.903073225256530901e-02,1.873160203722843515e-04
4.150000000000000000e+02,-1.208820361848433222e+00,7.855960894600711591e-03,1.208820361848433222e+00,1.208845888995348616e+00,-2.935658887642518533e-02,1.907845214150877234e-04
4.160000000000000000e+02,-1.222413554672401315e+00,8.001822330538924805e-03,1.222413554672401315e+00,1.222439744039527376e+00,-2.968670390910134460e-02,1.943268130101891286e-04
4.170000000000000000e+02,-1.236185182993035259e+00,8.150801555491776762e-03,1.236185182993035259e+00,1.236212053903989805e+00,-3.002115230484939459e-02,1.979448211080852530e-04
4.180000000000000000e+02,-1.250138407592749079e+00,8.302980456058404318e-03,1.250138407592749079e+00,1.250165980029447121e+00,-3.036001082428057066e-02,2.016405343510104344e-04
4.190000000000000000e+02,-1.264276465976777786e+00,8.458443603425468832e-03,1.264276465976777786e+00,1.264304760605971412e+00,-3.070335809124435239e-02,2.054160065772652215e-04
4.200000000000000000e+02,-1.278602674807646000e+00,8.617278361423088423e-03,1.278602674807646000e+00,1.278631713008724580e+00,-3.105127465195028566e-02,2.092733594453890893e-04
