|k|[1/nm]            Band_1[m_0]          Band_2[m_0]          Band_3[m_0]          Band_4[m_0]          Band_5[m_0]          Band_6[m_0]          Band_7[m_0]          Band_8[m_0]          Band_9[m_0]          Band_10[m_0]         Band_11[m_0]         Band_12[m_0]         Band_13[m_0]         Band_14[m_0]        
0.00092619073205333  -0.078522565121631   -0.078677714802118   0.19003963986913     0.19163122841924     -0.16495635509433    -0.16526678605314    -0.0039017179672515  -0.0013431645104502  0.004305284683059    -0.0039071595893642  0.071418053582244    0.071419802112337    0.096026086469045    0.09603030637871
0.0018523814641067   -0.078516420745006   -0.078827106641381   0.17827432852495     0.18109552240991     -0.16484265654707    -0.16546397292268    0.16873516571078     0.17076304715776     0.16585835576251     0.16781698459302     0.068675341696528    0.068678574009921    0.081255766332138    0.081261797279588
0.00277857219616     -0.078470286914438   -0.078936197362522   0.17773929922386     0.18197656649797     -0.16470388873537    -0.16563603790855    0.1682774583735      0.16867681401507     0.16787759854229     0.16827473541843     0.068675061138911    0.068679904572128    0.081254694411921    0.081263731239238
0.0037047629282133   -0.07843679011807    -0.079057822124042   0.17727047466251     0.18293011328817     -0.1645716097859     -0.16581496458486    0.1681350659158      0.1683647550396      0.16819137397434     0.16842078636233     0.068674994940977    0.068681443334298    0.081253815303251    0.081265854990627
0.0046309536602667   -0.078416011166136   -0.079191976113212   0.17686735913306     0.18395800668558     -0.16444585431676    -0.16600070820708    0.16806043870435     0.16824982814415     0.16831075927328     0.16850007688849     0.06867512842639     0.068683192888355    0.081253086427635    0.081268135269884
0.00555714439232     -0.078407928068378   -0.079338636300742   0.17652912385881     0.18506147909131     -0.16432648852884    -0.1661934681301     0.16800795114009     0.16818366340358     0.16838246166895     0.16855826388124     0.068675484763851    0.068685160285691    0.081252550118095    0.081270602571988
0.0064833351243733   -0.078412600854479   -0.079497795441058   0.17625531802003     0.18624243207954     -0.16421358010329    -0.16639312610217    0.16796458231111     0.16813463455403     0.1684380612582      0.1686082553403      0.068676049284808    0.068687334697742    0.081252185734854    0.081273241852742
0.0074095258564267   -0.078430064719286   -0.079669460566679   0.17604546966069     0.18750251052775     -0.16410703215865    -0.16659992674963    0.16792580991809     0.16809309591316     0.16848712646425     0.16865458884162     0.068676807387803    0.068689703277593    0.081251984751355    0.081276041925938
0.00833571658848     -0.078460335841192   -0.079853590753253   0.1758990754505      0.18884375012572     -0.16400679082028    -0.16681375096215    0.16788959368724     0.16805544573969     0.16853335018284     0.16869941221727     0.068677797795002    0.068692306650451    0.081251969277327    0.081279042680118
0.0092619073205333   -0.078503482276961   -0.080050226947647   0.17581599713782     0.19026825141868     -0.16391289018403    -0.16703481683596    0.16785504883316     0.16802000711581     0.16857823481966     0.16874346395159     0.068678982328506    0.068695102678274    0.081252124959779    0.081282198151924
0.010188098052587    -0.078559513368158   -0.080259342595173   0.17579587586143     0.19177821930705     -0.163825264375      -0.16726317752783    0.16782166031028     0.16798611352347     0.16862268071793     0.16878732946877     0.068680393631828    0.068698121547433    0.081252462520496    0.081285533919379
0.01111428878464     -0.078628493086672   -0.080480936763192   0.17583845613053     0.19337606437002     -0.16374389143938    -0.16749881522429    0.16778928712057     0.16795332634565     0.16866690788462     0.16883131849698     0.068681989493515    0.06870133666968     0.08125295989616     0.081289039791204
0.012040479516693    -0.078710473197222   -0.080715039562438   0.17594397445071     0.19506440597337     -0.16366873150142    -0.16774186520886    0.1677575747641      0.16792136728352     0.16871133925841     0.16887540621742     0.068683827148152    0.068704778084927    0.081253641807243    0.081292737945733
0.012966670248747    -0.078805473426398   -0.080961628636537   0.17611207716894     0.19684598013875     -0.16359982275189    -0.1679924445824     0.1677266517001      0.16789023750563     0.1687559124563      0.1689198819984      0.068685841088785    0.068708408015272    0.081254501579628    0.081296585285021
0.0138928609808      -0.078913570726748   -0.081220729457446   0.17634306273896     0.1987237738222      -0.16353701112626    -0.16825057262028    0.16769633536646     0.1678596564171      0.16880092463982     0.1689646504259      0.068688099588887    0.068712272036754    0.081255524018369    0.08130062850869
0.014819051712853    -0.07903482109835    -0.081492360989404   0.17663698782784     0.20070094679129     -0.16348046539957    -0.16851632034035    0.1676665418401      0.16782978187187     0.16884622541713     0.16900982683117     0.068690544098138    0.068716329999768    0.081256739818274    0.081304834620895
0.015745242444907    -0.079169267521267   -0.081776541122087   0.17699403881866     0.20278088140035     -0.16342997020568    -0.16878987838442    0.16763736717667     0.16780046180743     0.16889192084965     0.16905548485626     0.068693207644475    0.068720604143082    0.081258111135652    0.081309220066271
0.01667143317696     -0.079316982424817   -0.082073272170711   0.17741466946708     0.20496731600915     -0.16338567723102    -0.1690712406299     0.16760871721501     0.16777163005632     0.16893819091395     0.16910152249258     0.068696080852857    0.068725092750369    0.081259666517697    0.081313776951891
0.017597623909013    -0.079478019990197   -0.082382598190134   0.17789907311402     0.20726396639828     -0.16334745568589    -0.16936054457172    0.16758062423926     0.16774342681791     0.1689847369906      0.16914803694621     0.068699158421137    0.068729780340573    0.081261394680125    0.081318514050868
0.018523814641067    -0.079654031870598   -0.082706202658158   0.1780137075529      0.20909282197478     -0.16331601908035    -0.16965849570238    0.049914515378401    0.049924377063354    0.050082039361108    0.050091725785197    0.068532953055333    0.068564266121722    0.080429534141501    0.080485793585081
0.01945000537312     -0.079841116923641   -0.083039916765288   0.17895410885421     0.21206074691854     -0.16328965433487    -0.16996360319924    0.10587432596389     0.10593415580575     0.10655213764412     0.10661168726572     0.068664067975446    0.06869760292994     0.081058015152132    0.081119877011111
0.020376196105173    -0.080042248679805   -0.083386856803041   0.17974156238192     0.21486283145691     -0.16326961103805    -0.17027714500471    0.16750240558346     0.16766485198304     0.16918076666995     0.16934382984519     0.06870976539294     0.068745124367721    0.081267971673837    0.081333778910444
0.021302386837227    -0.080257377704029   -0.08374691992506    0.1804869178939      0.21764604618385     -0.16325572157172    -0.17059917121018    0.16747614210491     0.16763847988283     0.16922910012942     0.16939204424368     0.068713691316582    0.068750666360645    0.081270397638324    0.081339215127868
0.02222857756928     -0.080486230698317   -0.084119758226146   0.18129912468729     0.22056340483257     -0.1632480116744     -0.17092965142158    0.16745042329981     0.16761254438057     0.16927797302113     0.16944077958681     0.068717831287169    0.068756417175819    0.081273026763905    0.081344844343448
0.023154768301333    -0.080728895234207   -0.08450544985465    0.18217919482204     0.22362124994496     -0.1632462676739     -0.17126871576974    0.16742514468993     0.16758720420915     0.16932722438409     0.16948996180648     0.068722173510326    0.06876236458254     0.08127579374677     0.08135061461701
0.024080959033387    -0.080985482496321   -0.084904043399086   0.18312800562583     0.22682580322143     -0.16325066689958    -0.17161643368351    0.16740041782561     0.16756228124199     0.16937710102072     0.16953967230747     0.068726733433682    0.068768543028388    0.081278760911       0.081356595933348
0.02500714976544     -0.081256092439769   -0.085315631855779   0.18414662777271     0.23018391271791     -0.16326108811254    -0.17197294778912    0.16737613297282     0.16753788361643     0.16942739241177     0.16958985083543     0.068731497118585    0.068774912886792    0.081281898945428    0.081362718899567
0.025933340497493    -0.081540835866709   -0.08574025399374    0.18523617391159     0.23370282668995     -0.16327758007703    -0.17233843923676    0.16735242122956     0.16751393462002     0.16947820015687     0.16964050269251     0.068736479447272    0.068781503769281    0.081285205914498    0.081369046643587
0.026859531229547    -0.081839849390067   -0.086178033516266   0.18639790801396     0.23739060630811     -0.16330017102123    -0.17271298763274    0.16732911737975     0.16749052287586     0.16952950953777     0.16969168621592     0.068741663949132    0.06878830484035     0.081288686483377    0.081375525994024
0.0277857219616      -0.082153237668267   -0.08662906267783    0.18763320300563     0.24125579436565     -0.16332881788958    -0.17309667765505    0.16730634735802     0.16746760982904     0.1695812776738      0.16974332169184     0.068747062659989    0.068795310951086    0.081292350573936    0.081382188205384
0.028711912693653    -0.082481165488614   -0.087093427330672   0.18894342748982     0.24530756618423     -0.1633635353942     -0.17348979157888    0.16728407137652     0.16744515716634     0.16963356852266     0.16979547200822     0.068752676933052    0.068802535573066    0.081296188312631    0.08138903539241
0.029638103425707    -0.08282376298328    -0.087571269292626   0.19033023546252     0.24955588629131     -0.16340435104514    -0.17389227335374    0.16726231489255     0.16742318242088     0.16968640727905     0.169848144749       0.068758485482136    0.068809959092605    0.081300191485987    0.081396031458997
0.03056429415776     -0.08318121312446    -0.088062708919167   0.19179515402653     0.25401152153883     -0.1634513279729     -0.17430450549192    0.1672410085253      0.1674017204402      0.16973967533886     0.16990123828908     0.068764530071817    0.068817602262012    0.081304376265574    0.081403235637104
0.031490484889813    -0.083553672690607   -0.088567895343761   0.19334016618287     0.25868618258213     -0.16350432122798    -0.17472643952227    0.16722020265617     0.16738072153461     0.16979345123797     0.16995489173457     0.068770754564907    0.068825449618776    0.081308738620111    0.08141058751982
0.032416675621867    -0.083941307801444   -0.089086974376962   0.19496699642823     0.26359261110695     -0.16356352779064    -0.17515833800119    0.16719987279229     0.16736023749722     0.16984777667727     0.17000902757076     0.068777215812853    0.068833516044989    0.081313271284847    0.081418132267865
0.03334286635392     -0.084344359844137   -0.089620147907689   0.19667784836323     0.26874446754814     -0.16362884925638    -0.17560030721906    0.16718007840208     0.16734022990326     0.16990254324412     0.1700636148546      0.068783873576745    0.068841783663398    0.08131797930322     0.081425832556026
0.034269057085973    -0.084763013891545   -0.090167577560556   0.19847480881399     0.27415665153802     -0.16370034884046    -0.176052618408      0.16716076025615     0.16732067216416     0.16995786244221     0.170118756665       0.068790744881233    0.068850261700377    0.081322863005802    0.081433729065225
0.035195247818027    -0.085197512109652   -0.090729491843199   0.20036030234382     0.27984589331361     -0.16377797670778    -0.17651531410734    0.16714189411229     0.16730162938146     0.17001365362382     0.17017440171113     0.068797822264924    0.068858961971816    0.081327922635407    0.081441783200726
0.03612143855008     -0.085648104910534   -0.09130612094429    0.20233674034807     0.28582928443151     -0.16386188374239    -0.17698860925545    0.16712353393538     0.16728310101467     0.17006993438665     0.17023044601176     0.068805122675964    0.068867857418071    0.081333160055337    0.081450019394113
0.037047629282133    -0.086115039859919   -0.091897722108316   0.20440681425696     0.29212722990362     -0.1639519799318     -0.17747279548047    0.16710568906852     0.16726499510667     0.17012678668127     0.1702871113613      0.068812616209058    0.068876966303074    0.081338556051587    0.081458431669595
0.037973820014187    -0.086598669246069   -0.092504573178388   0.2065733681689      0.2987603078975      -0.16404833218141    -0.1779678833068     0.16708831290293     0.16724742673667     0.17018404967533     0.17034419512077     0.068820337998688    0.06888630181973     0.081344148583261    0.081467017249832
0.03890001074624     -0.087099238989659   -0.093126975823853   0.20883938188962     0.30575224096733     -0.1641509921321     -0.17847427269193    0.1670714546417      0.16723028973819     0.17024187262528     0.17040181803666     0.068828259779017    0.068895829194744    0.081349915790768    0.081475777732383
0.039826201478293    -0.087617150672655   -0.093765279104004   0.21120811806882     0.31312888113242     -0.16425992139704    -0.17899195778632    0.16705501689848     0.1672137021923      0.17030021131351     0.17045991641371     0.068836384327188    0.068905568650006    0.08135583040813     0.081484713003749
0.040752392210347    -0.088152746777702   -0.094419838118536   0.21368304529222     0.32091882697095     -0.16437521976991    -0.17952129096235    0.16703911600633     0.16719753500492     0.17035899597682     0.17051853385556     0.068844744533885    0.068915529205475    0.081361953933772    0.081493818260512
0.0416785829424      -0.088706450928333   -0.095091081277655   0.2162675066438      0.329153082827       -0.16449690091193    -0.18006245690427    0.16702370522588     0.16718189123211     0.17041829694925     0.17057759765675     0.068853289230166    0.068925690169044    0.081368229561062    0.081503103860282
0.042604773674453    -0.089278714242561   -0.095779462940589   0.21896589196592     0.33786669886611     -0.16462496437826    -0.18061566462034    0.16700879565603     0.16716671989006     0.17047819168012     0.17063723550456     0.068862059370832    0.068936072024478    0.081374696724596    0.081512571325102
0.043530964406507    -0.089870011667927   -0.096485435401175   0.22178190387752     0.34709852821991     -0.1647594693582     -0.18118113103553    0.16699432393837     0.16715201161083     0.17053850019013     0.17069734186242     0.068871034922525    0.068946649101396    0.081381314794926    0.081522198927957
0.04445715513856     -0.090480882181031   -0.097209571951544   0.22472012570414     0.35689138721188     -0.16490050348504    -0.18175914971544    0.16698034553866     0.16713779708644     0.17059928144393     0.17075791787324     0.068880221266662    0.068957452817492    0.081388137353441    0.081531998162152
0.045383345870613    -0.091111894746399   -0.097952467544777   0.22778528758818     0.36729372448722     -0.16504804070682    -0.18234987492805    0.16696690945287     0.16712408593233     0.17066067293992     0.17081902634433     0.068889617765153    0.068968453912354    0.081395117016922    0.081542000546148
0.046309536602667    -0.091763737246579   -0.098714787706368   0.23098227942482     0.37835902758384     -0.16520214571035    -0.18295367366106    0.16695391524389     0.16711082648631     0.1707225367428      0.17088064397033     0.068899234715688    0.068979679177803    0.081402275294422    0.081552150922783
0.04723572733472     -0.092437038413362   -0.099497203940149   0.23431671549857     0.39014857995309     -0.16536285196829    -0.18357070601716    0.16694142859597     0.16709810370702     0.1707848563956      0.17094274719052     0.068909043396782    0.068991100794899    0.081409609443436    0.081562481129323
0.048161918066773    -0.093132636054627   -0.10030058022685    0.23779395887865     0.40273035138451     -0.16553025880685    -0.18420129994046    0.16692939987148     0.16708576580508     0.17084772585131     0.17100533264301     0.068919072626373    0.069002736942247    0.081417118792881    0.081572991210809
0.049088108798827    -0.093851342590016   -0.10112576171204    0.24142035587742     0.41618232837458     -0.1657043496627     -0.18484576228308    0.16691789815154     0.16707398518369     0.17091110737925     0.17106846794355     0.068929323467603    0.069014598190228    0.081424800737       0.081583679858568
0.05001429953088     -0.094594118138714   -0.10197371495271    0.2452024310095      0.43059166095069     -0.16588522511843    -0.185504264026      0.16690683672617     0.16706269107083     0.17097495182011     0.1711320521882      0.06893976870328     0.069026651200502    0.081432669519191    0.081594528666842
0.050940490262933    -0.095361999303303   -0.10284551378812    0.24914708230471     0.44606044966423     -0.16607292075314    -0.18617726302996    0.16689627275935     0.16705182411639     0.17103933489084     0.17119617533258     0.068950430246276    0.069038918710025    0.081440689739658    0.081605572554815
0.051866680994987    -0.096156110429742   -0.10374235704174    0.25326185488504     0.46270321438048     -0.16626746070713    -0.18686490346376    0.16688624125714     0.16704146547913     0.17110425278045     0.17126075803024     0.06896130351386     0.069051408298449    0.081448906512038    0.08161677054183
0.05279287172704     -0.096977757899772   -0.10466553278427    0.25755470917637     0.48065265812083     -0.16646899168856    -0.18756772871299    0.16687663645685     0.16703162729012     0.17116961508901     0.1713259025728      0.068972385796268    0.069064092335833    0.081457291239627    0.081628160145622
0.053719062459093    -0.097828349626382   -0.10561650872267    0.26203447393087     0.50006384657345     -0.16667744334528    -0.18828573472655    0.16686756604072     0.16702218257441     0.17123553951219     0.17139151319435     0.068983686474967    0.069077000728454    0.081465848985156    0.081639715171304
0.054645253191147    -0.098709461724772   -0.10659690937924    0.26670999644277     0.52111553449207     -0.1668930462093     -0.18901963616455    0.16685892163802     0.16701330914234     0.17130193777996     0.17145764523577     0.068995181572047    0.06909010959757     0.081474584818231    0.081651447172518
0.0555714439232      -0.099622827792947   -0.10760849311497    0.27159160985612     0.54401895424396     -0.16711574592741    -0.18976951676234    0.16685080751975     0.1670048504873      0.17136885023895     0.17152424287887     0.069006903275961    0.069103435779085    0.081483497544454    0.081663356843842
0.056497634655253    -0.10057045483697    -0.10865329051477    0.27668986398806     0.56902129828549     -0.16734559588857    -0.1905358515928     0.16684318816569     0.16699691068961     0.17143629620628     0.1715913943668      0.069018835634395    0.069116975010602    0.081492578797357    0.081675439762192
0.057423825387307    -0.1015545375814     -0.10973346589872    0.28201618788867     0.59641857555761     -0.16758279511798    -0.19131900820904    0.16683599820069     0.1669894213999      0.17150422991785     0.17165898022155     0.069030966658388    0.069130714714369    0.081501845882682    0.081687695490175
0.05835001611936     -0.10257749656181    -0.11085158387833    0.28758322334661     0.62656410396176     -0.16782724952825    -0.19211935857118    0.16682934321282     0.16698245561809     0.17157264747242     0.17172716990569     0.069043312910554    0.06914467152969     0.081511278930243    0.081700129578556
0.059276206851413    -0.10364219781749    -0.11201033485316    0.29340410766134     0.65988297421806     -0.16807922518262    -0.19293737505953    0.16682316918881     0.16697590486584     0.17164163142419     0.17179576648634     0.069055877956328    0.069158846625861    0.081520888664442    0.081712739874756
0.060202397583467    -0.10475168923624    -0.11321286482       0.29949375656297     0.69689840429029     -0.16833864488021    -0.19377335572975    0.16681743839854     0.16696990806868     0.171711068696       0.17186493803707     0.069068648971271    0.069173218162655    0.081530677874258    0.08172551828201
0.06112858831552     -0.105909585456      -0.11446263032817    0.30586760256304     0.73824804264792     -0.16860562074732    -0.19462781501319    0.16681227325426     0.16696431435085     0.1717810777993      0.17193457019714     0.069081625403025    0.069187808756168    0.081540633768843    0.081738474079492
0.062054779047573    -0.10711988299198    -0.11576357337099    0.31254282378575     0.78473337300223     -0.16888034823534    -0.19550117134142    0.16680744964103     0.16695926358367     0.171851503164       0.17200470663298     0.069094821751993    0.069202610676394    0.081550781365498    0.081751611475521
0.062980969779627    -0.10838714389502    -0.11712011215464    0.31953814965184     0.83735905154783     -0.16916278988363    -0.19639400913901    0.1668032767491      0.16695467045223     0.17192255759388     0.172075376268       0.069108225742473    0.069217616150421    0.081561085825701    0.081764917834195
0.06390716051168     -0.10971660275279    -0.11853718110232    0.32687329547262     0.89741975247259     -0.16945306958816    -0.19730664030522    0.16679947983486     0.16695053999312     0.17199403497331     0.17214655538427     0.069121843002028    0.069232845987471    0.081571578324303    0.081778401951753
0.064833351243733    -0.11111422465922    -0.12002048505466    0.33457074854486     0.96659155276984     -0.16975132648347    -0.19823959300354    0.16679620344124     0.16694693064829     0.17206606923837     0.17221821635804     0.069135665888564    0.069248278814317    0.081582239968521    0.081792059320202
0.065759541975787    -0.11258686493632    -0.12157645150088    0.34265453478903     1.0471069630601      -0.17005763913305    -0.1991935270142     0.16679339420717     0.16694373366517     0.17213854354398     0.17229037504231     0.069149699421204    0.069263910172099    0.081593072880215    0.08180588024502
0.06668573270784     -0.11414240289167    -0.12321231831074    0.35115063367281     1.1419838337714      -0.1703720681428     -0.20016881929616    0.16679107174184     0.16694106354748     0.17221162796943     0.17236307741982     0.069163953602701    0.069279780856977    0.081604099905806    0.081819916920125
0.067611923439893    -0.11579002081815    -0.12493652007582    0.36008782484874     1.2554209404843      -0.17069478727077    -0.20116609108852    0.16678925736056     0.16693887101693     0.17228514391505     0.1724362338891      0.069178407959572    0.06929583831087     0.081615283143194    0.081834070700258
0.068538114171947    -0.11754030073969    -0.1267585995297     0.36949872236621     1.3934332561781      -0.17102583224539    -0.20218596528617    0.16678786371582     0.1669371289619      0.17235923731864     0.17250994176573     0.069193082775397    0.069312118625611    0.081626641550284    0.081848441832997
