x[nm]                E_13[eV]             Psi^2_13[nm^-1]     
7.1142317671146      3.0911484520154      3.0911587096202
7.260978922993       3.0911484520154      3.094752666744
7.4003918486039      3.0911484520154      3.0928682268382
7.532837099151       3.0911484520154      3.0926419246218
7.6586629098899      3.0911484520154      3.0925298262433
7.7782001117354      3.0911484520154      3.0926352640328
7.891763001107       3.0911484520154      3.0929203992135
7.9996501663019      3.0911484520154      3.0933665971528
8.1021452725658      3.0911484520154      3.0939597342174
8.1995178079279      3.0911484520154      3.094689157801
8.2920237917592      3.0911484520154      3.0955464827362
8.3799064479186      3.0911484520154      3.0965246942888
8.4633968442558      3.0911484520154      3.0976171853796
8.5427145001525      3.0911484520154      3.0988154537665
8.6180679636999      3.0911484520154      3.1001005291143
8.6896553600291      3.0911484520154      3.1014102663089
8.7576649122373      3.0911484520154      3.102729019606
8.8222754362784      3.0911484520154      3.1040493636455
8.8836568111193      3.0911484520154      3.1053586529325
8.9419704253995      3.0911484520154      3.1066443350045
8.9973696017656      3.0911484520154      3.1078951940265
9.05                 3.0911484520154      3.1091017581658
9.1                  3.0911484520154      3.1102564579565
9.15                 3.0911484520154      3.1114111928122
9.2                  3.0911484520154      3.112557540151
9.25                 3.0911484520154      3.1136871146224
9.3                  3.0911484520154      3.1147921181378
9.35                 3.0911484520154      3.1158661070752
9.4                  3.0911484520154      3.1169050383248
9.45                 3.0911484520154      3.1179086726637
9.5                  3.0911484520154      3.1188824397374
9.55                 3.0911484520154      3.1198399113693
9.6                  3.0911484520154      3.1208061040533
9.65                 3.0911484520154      3.1218032568273
9.7                  3.0911484520154      3.1228283585561
9.75                 3.0911484520154      3.12386357554
9.8                  3.0911484520154      3.1248951951973
9.85                 3.0911484520154      3.125912394382
9.9                  3.0911484520154      3.1269064210737
9.95                 3.0911484520154      3.1278700357992
10                   3.0911484520154      3.1287971244319
10.05                3.0911484520154      3.1296824280394
10.1                 3.0911484520154      3.1305213544054
10.15                3.0911484520154      3.1313098471958
10.2                 3.0911484520154      3.1320442959817
10.25                3.0911484520154      3.1327214751991
10.3                 3.0911484520154      3.1333385035081
10.35                3.0911484520154      3.1338928174209
10.4                 3.0911484520154      3.1343821547887
10.45                3.0911484520154      3.1348045449855
10.5                 3.0911484520154      3.1351583035216
10.55                3.0911484520154      3.1354420294692
10.6                 3.0911484520154      3.1356546045456
10.65                3.0911484520154      3.1357951930366
10.7                 3.0911484520154      3.1358632419788
10.75                3.0911484520154      3.1358584811942
10.8                 3.0911484520154      3.1357809228897
10.85                3.0911484520154      3.1356308606246
10.9                 3.0911484520154      3.1354088675101
10.95                3.0911484520154      3.1351157935507
11                   3.0911484520154      3.1347527620714
11.05                3.0911484520154      3.1343211651972
11.1                 3.0911484520154      3.1338226583705
11.15                3.0911484520154      3.1332591539051
11.2                 3.0911484520154      3.132632813587
11.25                3.0911484520154      3.1319460403392
11.3                 3.0911484520154      3.1312014689759
11.35                3.0911484520154      3.1304019560772
11.4                 3.0911484520154      3.1295505690182
11.45                3.0911484520154      3.128650574195
11.5                 3.0911484520154      3.127705424489
11.55                3.0911484520154      3.1267187460173
11.6                 3.0911484520154      3.1256943242205
11.65                3.0911484520154      3.1246360893392
11.7                 3.0911484520154      3.1235481013351
11.75                3.0911484520154      3.1224345343156
