x[nm]                   E_10_real[eV]           Psi_10_z1_real[nm^-1/2] E_10_imag[eV]           Psi_10_z1_imag[nm^-1/2]
7.1142317671146         2.3390988947366         2.3390800653092         2.3390988947366         2.339121003515
7.260978922993          2.3390988947366         2.3386585874584         2.3390988947366         2.3396158863466
7.4003918486039         2.3390988947366         2.3385280355705         2.3390988947366         2.3397691752748
7.532837099151          2.3390988947366         2.3384947737701         2.3390988947366         2.3398082299818
7.6586629098899         2.3390988947366         2.3385120862331         2.3390988947366         2.3397879023639
7.7782001117354         2.3390988947366         2.3385508294421         2.3390988947366         2.339742411601
7.891763001107          2.3390988947366         2.3385969932858         2.3390988947366         2.3396882078186
7.9996501663019         2.3390988947366         2.3386437007358         2.3390988947366         2.339633365755
8.1021452725658         2.3390988947366         2.338687752993          2.3390988947366         2.339581641315
8.1995178079279         2.3390988947366         2.3387278217839         2.3390988947366         2.3395345941056
8.2920237917592         2.3390988947366         2.3387635133605         2.3390988947366         2.3394926864503
8.3799064479186         2.3390988947366         2.3387948803296         2.3390988947366         2.3394558565802
8.4633968442558         2.3390988947366         2.3388221676778         2.3390988947366         2.3394238168416
8.5427145001525         2.3390988947366         2.3388456837714         2.3390988947366         2.339396205163
8.6180679636999         2.3390988947366         2.3388657432814         2.3390988947366         2.3393726520697
8.6896553600291         2.3390988947366         2.3388826509297         2.3390988947366         2.3393527997694
8.7576649122373         2.3390988947366         2.3388969682273         2.3390988947366         2.3393359889578
8.8222754362784         2.3390988947366         2.3389092081928         2.3390988947366         2.3393216172683
8.8836568111193         2.3390988947366         2.3389197603833         2.3390988947366         2.3393092272983
8.9419704253995         2.3390988947366         2.3389289250858         2.3390988947366         2.3392984664626
8.9973696017656         2.3390988947366         2.3389369373839         2.3390988947366         2.3392890587351
9.05                    2.3390988947366         2.3389439840141         2.3390988947366         2.3392807848571
9.1                     2.3390988947366         2.3389502152894         2.3390988947366         2.339273468337
9.15                    2.3390988947366         2.3389560365093         2.3390988947366         2.3392666332879
9.2                     2.3390988947366         2.3389614837878         2.3390988947366         2.3392602373062
9.25                    2.3390988947366         2.338966590939          2.3390988947366         2.3392542406888
9.3                     2.3390988947366         2.3389713901769         2.3390988947366         2.339248605611
9.35                    2.3390988947366         2.3389759127181         2.3390988947366         2.3392432954198
9.4                     2.3390988947366         2.3389801892886         2.3390988947366         2.3392382740377
9.45                    2.3390988947366         2.3389842505273         2.3390988947366         2.3392335054899
9.5                     2.3390988947366         2.3389881272603         2.3390988947366         2.3392289535814
9.55                    2.3390988947366         2.3389918506084         2.3390988947366         2.3392245817715
9.6                     2.3390988947366         2.3389954518687         2.3390988947366         2.3392203533122
9.65                    2.3390988947366         2.3389989637818         2.3390988947366         2.339216229761
9.7                     2.3390988947366         2.3390023984116         2.3390988947366         2.3392121969529
9.75                    2.3390988947366         2.3390057478954         2.3390988947366         2.3392082641198
9.8                     2.3390988947366         2.3390090070528         2.3390988947366         2.3392044373445
9.85                    2.3390988947366         2.3390121726724         2.3390988947366         2.3392007203976
9.9                     2.3390988947366         2.3390152429994         2.3390988947366         2.3391971153395
9.95                    2.3390988947366         2.3390182173635         2.3390988947366         2.3391936229574
10                      2.3390988947366         2.3390210959057         2.3390988947366         2.3391902430855
10.05                   2.3390988947366         2.3390238793764         2.3390988947366         2.3391869748429
10.1                    2.3390988947366         2.3390265689837         2.3390988947366         2.3391838168111
10.15                   2.3390988947366         2.3390291662784         2.3390988947366         2.3391807671691
