x[nm]                 E_14[eV]              Psi^2_14_cb1[nm^-1/2]
7.1142317671146       3.0911484520155       3.0911504058118
7.260978922993        3.0911484520155       3.09189113102
7.4003918486039       3.0911484520155       3.0913263052518
7.532837099151        3.0911484520155       3.091194742484
7.6586629098899       3.0911484520155       3.0911484845793
7.7782001117354       3.0911484520155       3.0911938178273
7.891763001107        3.0911484520155       3.0913179970397
7.9996501663019       3.0911484520155       3.091512575981
8.1021452725658       3.0911484520155       3.0917713763455
8.1995178079279       3.0911484520155       3.0920897331103
8.2920237917592       3.0911484520155       3.0924639775947
8.3799064479186       3.0911484520155       3.0928910511297
8.4633968442558       3.0911484520155       3.0933681264163
8.5427145001525       3.0911484520155       3.0938918043444
8.6180679636999       3.0911484520155       3.0944552055739
8.6896553600291       3.0911484520155       3.0950233650691
8.7576649122373       3.0911484520155       3.0955970397614
8.8222754362784       3.0911484520155       3.096178065766
8.8836568111193       3.0911484520155       3.0967618609014
8.9419704253995       3.0911484520155       3.0973429480944
8.9973696017656       3.0911484520155       3.0979161165588
9.05                  3.0911484520155       3.0984767578254
9.1                   3.0911484520155       3.0990209901213
9.15                  3.0911484520155       3.0995734394964
9.2                   3.0911484520155       3.1001308323803
9.25                  3.0911484520155       3.1006898029694
9.3                   3.0911484520155       3.101247094019
9.35                  3.0911484520155       3.1017998471219
9.4                   3.0911484520155       3.1023460126632
9.45                  3.0911484520155       3.1028849188895
9.5                   3.0911484520155       3.1034180531822
9.55                  3.0911484520155       3.1039501295109
9.6                   3.0911484520155       3.1044905495153
9.65                  3.0911484520155       3.1050528624759
9.7                   3.0911484520155       3.1056376145543
9.75                  3.0911484520155       3.1062322020471
9.8                   3.0911484520155       3.106827191503
9.85                  3.0911484520155       3.1074153531975
9.9                   3.0911484520155       3.1079910069834
9.95                  3.0911484520155       3.1085495756675
10                    3.0911484520155       3.1090872788691
10.05                 3.0911484520155       3.1096009231108
10.1                  3.0911484520155       3.1100877582823
10.15                 3.0911484520155       3.1105453800215
10.2                  3.0911484520155       3.1109716638748
