x[nm]                 E_12[eV]              Psi^2_12_so2[nm^-1/2]
7.1142317671146       2.9525116792099       2.9525141002828
7.260978922993        2.9525116792099       2.9531614861887
7.4003918486039       2.9525116792099       2.9528842759466
7.532837099151        2.9525116792099       2.9528770263168
7.6586629098899       2.9525116792099       2.9528597370926
7.7782001117354       2.9525116792099       2.952856792331
7.891763001107        2.9525116792099       2.9528627196847
7.9996501663019       2.9525116792099       2.9528761981065
8.1021452725658       2.9525116792099       2.952896354347
8.1995178079279       2.9525116792099       2.9529226813825
8.2920237917592       2.9525116792099       2.9529548751537
8.3799064479186       2.9525116792099       2.9529927417892
8.4633968442558       2.9525116792099       2.9530361334334
8.5427145001525       2.9525116792099       2.9530848778938
8.6180679636999       2.9525116792099       2.9531386144072
8.6896553600291       2.9525116792099       2.9531988818858
8.7576649122373       2.9525116792099       2.9532609336935
8.8222754362784       2.9525116792099       2.9533217296219
8.8836568111193       2.9525116792099       2.9533801293904
8.9419704253995       2.9525116792099       2.9534354217798
8.9973696017656       2.9525116792099       2.9534870622915
9.05                  2.9525116792099       2.9535346222185
9.1                   2.9525116792099       2.9535777817632
9.15                  2.9525116792099       2.9536183251421
9.2                   2.9525116792099       2.9536555416828
9.25                  2.9525116792099       2.9536887144756
9.3                   2.9525116792099       2.9537171617604
9.35                  2.9525116792099       2.9537402958547
9.4                   2.9525116792099       2.9537577031363
9.45                  2.9525116792099       2.9537692491406
9.5                   2.9525116792099       2.9537752136401
9.55                  2.9525116792099       2.9537764622999
9.6                   2.9525116792099       2.9537746655534
9.65                  2.9525116792099       2.9537677896229
9.7                   2.9525116792099       2.9537539601499
9.75                  2.9525116792099       2.9537354546458
9.8                   2.9525116792099       2.9537138022275
9.85                  2.9525116792099       2.9536900220617
9.9                   2.9525116792099       2.9536647903285
9.95                  2.9525116792099       2.953638554835
10                    2.9525116792099       2.9536116126516
10.05                 2.9525116792099       2.9535841621963
10.1                  2.9525116792099       2.9535563379113
10.15                 2.9525116792099       2.9535282331949
10.2                  2.9525116792099       2.9534999154665
10.25                 2.9525116792099       2.9534714359904
10.3                  2.9525116792099       2.9534428362272
10.35                 2.9525116792099       2.9534141518949
10.4                  2.9525116792099       2.9533854155276
10.45                 2.9525116792099       2.9533566580556
10.5                  2.9525116792099       2.9533279097512
10.55                 2.9525116792099       2.9532992007692
10.6                  2.9525116792099       2.95327056143
10.65                 2.9525116792099       2.9532420223437
10.7                  2.9525116792099       2.9532136144364
10.75                 2.9525116792099       2.9531853689201
10.8                  2.9525116792099       2.9531573172314
10.85                 2.9525116792099       2.9531294909539
10.9                  2.9525116792099       2.9531019217352
10.95                 2.9525116792099       2.9530746412035
11                    2.9525116792099       2.9530476808863
11.05                 2.9525116792099       2.9530210721341
11.1                  2.9525116792099       2.9529948460485
11.15                 2.9525116792099       2.9529690334157
11.2                  2.9525116792099       2.9529436646446
11.25                 2.9525116792099       2.9529187697091
11.3                  2.9525116792099       2.9528943780948
11.35                 2.9525116792099       2.9528705187491
11.4                  2.9525116792099       2.9528472200345
11.45                 2.9525116792099       2.9528245096845
11.5                  2.9525116792099       2.9528024147627
11.55                 2.9525116792099       2.9527809616236
11.6                  2.9525116792099       2.9527601758753
11.65                 2.9525116792099       2.9527400823449
11.7                  2.9525116792099       2.9527207050451
11.75                 2.9525116792099       2.9527020671424
11.8                  2.9525116792099       2.9526841909271
11.85                 2.9525116792099       2.9526670977847
11.9                  2.9525116792099       2.9526508081688
11.95                 2.9525116792099       2.9526353415754
12                    2.9525116792099       2.9526207165183
12.05                 2.9525116792099       2.9526069505065
12.1                  2.9525116792099       2.9525940600222
12.15                 2.9525116792099       2.952582060501
12.2                  2.9525116792099       2.9525709663126
12.25                 2.9525116792099       2.9525607907432
12.3                  2.9525116792099       2.9525515459799
12.35                 2.9525116792099       2.9525432430951
12.4                  2.9525116792099       2.9525358920336
12.45                 2.9525116792099       2.9525295016006
12.5                  2.9525116792099       2.9525240794506
12.55                 2.9525116792099       2.9525196320787
12.6                  2.9525116792099       2.9525161648122
12.65                 2.9525116792099       2.9525136818046
12.7                  2.9525116792099       2.9525121860304
12.75                 2.9525116792099       2.9525116792818
12.8                  2.9525116792099       2.9525121621661
12.85                 2.9525116792099       2.9525136341053
12.9                  2.9525116792099       2.9525160933368
12.95                 2.9525116792099       2.9525195369156
13                    2.9525116792099       2.9525239607177
13.05                 2.9525116792099       2.9525293594453
13.1                  2.9525116792099       2.9525357266333
13.15                 2.9525116792099       2.952543054657
13.2                  2.9525116792099       2.9525513347419
13.25                 2.9525116792099       2.9525605569738
13.3                  2.9525116792099       2.9525707103115
13.35                 2.9525116792099       2.9525817826003
13.4                  2.9525116792099       2.952593760587
13.45                 2.9525116792099       2.9526066299366
13.5                  2.9525116792099       2.9526203752499
13.55                 2.9525116792099       2.9526349800835
13.6                  2.9525116792099       2.95265042697
13.65                 2.9525116792099       2.9526666974413
13.7                  2.9525116792099       2.9526837720517
13.75                 2.9525116792099       2.9527016304044
13.8                  2.9525116792099       2.9527202511784
13.85                 2.9525116792099       2.9527396121575
13.9                  2.9525116792099       2.9527596902619
13.95                 2.9525116792099       2.9527804615809
14                    2.9525116792099       2.9528019014082
14.05                 2.9525116792099       2.9528239842805
14.1                  2.9525116792099       2.952846684017
14.15                 2.9525116792099       2.9528699737643
14.2                  2.9525116792099       2.9528938260427
14.25                 2.9525116792099       2.9529182127974
14.3                  2.9525116792099       2.9529431054542
14.35                 2.9525116792099       2.9529684749793
14.4                  2.9525116792099       2.9529942919444
14.45                 2.9525116792099       2.9530205265975
14.5                  2.9525116792099       2.9530471489387
14.55                 2.9525116792099       2.9530741288008
14.6                  2.9525116792099       2.9531014359324
14.65                 2.9525116792099       2.9531290400812
14.7                  2.9525116792099       2.9531569110706
14.75                 2.9525116792099       2.9531850188595
14.8                  2.9525116792099       2.9532133335686
14.85                 2.9525116792099       2.9532418254462
14.9                  2.9525116792099       2.9532704647286
14.95                 2.9525116792099       2.953299221331
15                    2.9525116792099       2.9533280642594
15.05                 2.9525116792099       2.9533569605876
15.1                  2.9525116792099       2.9533858737488
15.15                 2.9525116792099       2.9534147607706
15.2                  2.9525116792099       2.9534435678845
15.25                 2.9525116792099       2.9534722236557
15.3                  2.9525116792099       2.9535006283486
15.35                 2.9525116792099       2.9535286376063
15.4                  2.9525116792099       2.9535560375916
15.45                 2.9525116792099       2.9535825073805
15.5                  2.9525116792099       2.9536075624787
15.55                 2.9525116792099       2.9536304706895
15.6                  2.9525116792099       2.9536501281425
15.65                 2.9525116792099       2.9536648793744
15.7                  2.9525116792099       2.9536722621667
15.75                 2.9525116792099       2.9536742874165
15.8                  2.9525116792099       2.9536731178283
15.85                 2.9525116792099       2.9536668530855
15.9                  2.9525116792099       2.953654470522
15.95                 2.9525116792099       2.9536355938835
16                    2.9525116792099       2.9536103106244
16.05                 2.9525116792099       2.9535790264615
16.1                  2.9525116792099       2.9535423507049
16.15                 2.9525116792099       2.9535010077391
16.2                  2.9525116792099       2.9534557707188
16.25                 2.9525116792099       2.9534074138931
16.3                  2.9525116792099       2.9533566803106
16.35                 2.9525116792099       2.9533042621625
16.4                  2.9525116792099       2.9532507918178
16.45                 2.9525116792099       2.9531968430477
16.5                  2.9525116792099       2.9531429449277
16.55                 2.9525116792099       2.9530896180957
16.6                  2.9525116792099       2.9530374622896
16.65                 2.9525116792099       2.9529873805539
16.7                  2.9525116792099       2.9529412076383
16.75                 2.9525116792099       2.95289879683
