x[nm]                  E_8_real[eV]           Psi_8_y1_real[nm^-1/2] E_8_imag[eV]           Psi_8_y1_imag[nm^-1/2]
7.1142317671146        2.3390669310193        2.3390669310193        2.3390669310193        2.3379542343056
7.260978922993         2.3390669310193        2.3390669310195        2.3390669310193        2.3130476306084
7.4003918486039        2.3390669310193        2.3390669310195        2.3390669310193        2.3053330913517
7.532837099151         2.3390669310193        2.3390669310195        2.3390669310193        2.3033678946054
7.6586629098899        2.3390669310193        2.3390669310195        2.3390669310193        2.3043914019662
7.7782001117354        2.3390669310193        2.3390669310195        2.3390669310193        2.3066813927583
7.891763001107         2.3390669310193        2.3390669310195        2.3390669310193        2.3094099443055
7.9996501663019        2.3390669310193        2.3390669310195        2.3390669310193        2.3121706603914
8.1021452725658        2.3390669310193        2.3390669310195        2.3390669310193        2.3147745090716
8.1995178079279        2.3390669310193        2.3390669310194        2.3390669310193        2.3171429972114
8.2920237917592        2.3390669310193        2.3390669310194        2.3390669310193        2.3192528578054
8.3799064479186        2.3390669310193        2.3390669310194        2.3390669310193        2.3211072015267
8.4633968442558        2.3390669310193        2.3390669310194        2.3390669310193        2.3227205080713
8.5427145001525        2.3390669310193        2.3390669310194        2.3390669310193        2.324111002817
8.6180679636999        2.3390669310193        2.3390669310194        2.3390669310193        2.3252972838023
8.6896553600291        2.3390669310193        2.3390669310194        2.3390669310193        2.326297347514
8.7576649122373        2.3390669310193        2.3390669310194        2.3390669310193        2.3271443637729
8.8222754362784        2.3390669310193        2.3390669310194        2.3390669310193        2.3278686394455
8.8836568111193        2.3390669310193        2.3390669310194        2.3390669310193        2.3284931869705
8.9419704253995        2.3390669310193        2.3390669310194        2.3390669310193        2.3290357445968
8.9973696017656        2.3390669310193        2.3390669310194        2.3390669310193        2.3295101983386
9.05                   2.3390669310193        2.3390669310194        2.3390669310193        2.3299275779787
9.1                    2.3390669310193        2.3390669310194        2.3390669310193        2.3302967615977
9.15                   2.3390669310193        2.3390669310194        2.3390669310193        2.3306417459346
9.2                    2.3390669310193        2.3390669310194        2.3390669310193        2.3309646636353
9.25                   2.3390669310193        2.3390669310194        2.3390669310193        2.3312675111324
9.3                    2.3390669310193        2.3390669310194        2.3390669310193        2.3315521900241
9.35                   2.3390669310193        2.3390669310194        2.3390669310193        2.3318205426186
9.4                    2.3390669310193        2.3390669310194        2.3390669310193        2.3320743818921
9.45                   2.3390669310193        2.3390669310194        2.3390669310193        2.3323155152615
9.5                    2.3390669310193        2.3390669310194        2.3390669310193        2.3325457607543
9.55                   2.3390669310193        2.3390669310194        2.3390669310193        2.3327669532452
9.6                    2.3390669310193        2.3390669310194        2.3390669310193        2.3329809373237
9.65                   2.3390669310193        2.3390669310194        2.3390669310193        2.333189648923
9.7                    2.3390669310193        2.3390669310194        2.3390669310193        2.3333938072228
9.75                   2.3390669310193        2.3390669310194        2.3390669310193        2.3335929524581
9.8                    2.3390669310193        2.3390669310194        2.3390669310193        2.3337867831914
9.85                   2.3390669310193        2.3390669310194        2.3390669310193        2.3339751141325
9.9                    2.3390669310193        2.3390669310194        2.3390669310193        2.3341578458301
9.95                   2.3390669310193        2.3390669310194        2.3390669310193        2.3343349426894
10                     2.3390669310193        2.3390669310194        2.3390669310193        2.3345064168661
10.05                  2.3390669310193        2.3390669310194        2.3390669310193        2.3346723163382
10.1                   2.3390669310193        2.3390669310194        2.3390669310193        2.3348327159766
10.15                  2.3390669310193        2.3390669310194        2.3390669310193        2.3349877107854
10.2                   2.3390669310193        2.3390669310194        2.3390669310193        2.3351374107322
10.25                  2.3390669310193        2.3390669310194        2.3390669310193        2.3352819367541
10.3                   2.3390669310193        2.3390669310194        2.3390669310193        2.3354214176449
10.35                  2.3390669310193        2.3390669310194        2.3390669310193        2.3355559876105
10.4                   2.3390669310193        2.3390669310194        2.3390669310193        2.3356857843372
10.45                  2.3390669310193        2.3390669310194        2.3390669310193        2.3358109474578
10.5                   2.3390669310193        2.3390669310194        2.3390669310193        2.3359316173297
10.55                  2.3390669310193        2.3390669310194        2.3390669310193        2.3360479340623
10.6                   2.3390669310193        2.3390669310194        2.3390669310193        2.3361600367408
10.65                  2.3390669310193        2.3390669310194        2.3390669310193        2.3362680628108
10.7                   2.3390669310193        2.3390669310194        2.3390669310193        2.3363721475928
10.75                  2.3390669310193        2.3390669310194        2.3390669310193        2.3364724239019
10.8                   2.3390669310193        2.3390669310194        2.3390669310193        2.3365690217545
10.85                  2.3390669310193        2.3390669310194        2.3390669310193        2.3366620681466
10.9                   2.3390669310193        2.3390669310194        2.3390669310193        2.3367516868903
10.95                  2.3390669310193        2.3390669310193        2.3390669310193        2.3368379984986
11                     2.3390669310193        2.3390669310193        2.3390669310193        2.3369211201107
11.05                  2.3390669310193        2.3390669310193        2.3390669310193        2.3370011654493
11.1                   2.3390669310193        2.3390669310193        2.3390669310193        2.3370782448051
