k_per_nm,state_1_eV,state_2_eV,state_3_eV,state_4_eV,state_5_eV,state_6_eV,state_7_eV,state_8_eV,state_9_eV,state_10_eV,state_11_eV,state_12_eV,state_13_eV,state_14_eV
0,1.3976942530797001,1.3976942530798,1.4167478423565001,1.4167478423565001,1.4437721218702999,1.4437721218702999,2.3390669310193002,2.3390669310193002,2.3390988947365998,2.3390988947365998,2.9525116792099002,2.9525116792099002,3.0911484520153998,3.0911484520155001
0.0018523814641067001,1.3976925903202,1.3976925925090999,1.4167270162326,1.4167701667967001,1.4437713298095001,1.4437713308021001,2.3389973704232001,2.3390292990035002,2.3391717600869999,2.3392036746874001,2.9525099569034001,2.9525172805499,3.0911440421459999,3.0911563227881
0.0037047629282133,1.397687597067,1.3976876145654999,1.4167076351575001,1.4167939134415,1.4437689515383001,1.4437689594792,2.3389122198445,2.3389441542095999,2.3392609858258999,2.3392928922337002,2.9525120053113998,2.9525266524251998,3.0911427263540001,3.0911672873993998
0.0055571443923200002,1.3976792704984,1.397679329484,1.4166897289003999,1.4168190892792001,1.4437649845202001,1.4437650113227001,2.3388286241991998,2.3388605619309999,2.3393517665847998,2.3393836623858002,2.9525178609995,2.9525398312230999,3.0911446284419002,3.0911814694137001
0.0074095258564266997,1.3976676093881999,1.3976677489674001,1.4166733036549,1.4168456778514,1.4437594263853999,1.4437594899238,2.3387465847994,2.3387785242533998,2.3394441001859998,2.3394759837424002,2.9525275239405002,2.9525568167374998,3.0911497484593999,3.0911988686430001
0.0092619073205332993,1.3976526146779,1.3976528866969999,1.4166583634900001,1.4168736607682999,1.4437522750058001,1.443752399121,2.3386661024212998,2.3386980420449999,2.3395379856342,2.3395698554020998,2.9525409940606999,2.9525776087164002,3.091158086429,3.0912194848715999
0.01111428878464,1.3976342894852001,1.3976347582798001,1.4166449103442,1.4169030177638999,1.4437435284943001,1.4437437430007001,2.3385871777246998,2.3386191159876999,2.3396334220852002,2.3396652765453001,2.9525582712395999,2.9526022068605999,3.0911696423450001,3.0912433178562
0.012966670248747,1.3976126391054999,1.3976133811925,1.4166329440276999,1.4169337267572,1.4437331852044999,1.4437335258991999,2.3385098113210998,2.3385417467012002,2.3397304087221,2.3397622463651002,2.9525793553103998,2.9526306108249001,3.0911844161744,3.0912703673256998
0.014819051712853,1.3975876710057999,1.3975887747196001,1.4166224622315999,1.4169657639182001,1.4437212437302001,1.4437217524032,2.3384340037926998,2.3384659347710999,2.3398289447268001,2.3398607640489999,2.9526042460594999,2.9526628202173,3.0912024078564002,3.0913006329817998
0.016671433176960002,1.3975593948128999,1.3975609598897001,1.4166134605456999,1.4169991037387999,1.4437077029042999,1.4437084273517,2.3383597556982001,2.3383916807582001,2.3399290292705999,2.3399608287729001,2.9526329432265999,2.9526988345994001,3.0912236173023002,3.0913341144981001
