wavelength_nm,k_per_nm,k_fraction_pi_over_a,Re_cumulative,Im_cumulative,Re_shell_ending_here,Im_shell_ending_here
540,0,0,0,0,0,0
540,0.0018523814641067001,0.00033333333333318132,1.4396928922676263e-05,1.3655726323348966e-07,1.4396928922676263e-05,1.3655726323348966e-07
540,0.0037047629282133,0.00066666666666634453,5.7587853000087139e-05,5.4623129666690385e-07,4.3190924077410875e-05,4.0967403343341417e-07
540,0.0055571443923200002,0.00099999999999952601,0.00012957318454615048,1.2290288377275999e-06,7.1985331546063345e-05,6.8279754106069597e-07
540,0.0074095258564266997,0.0013333333333327071,0.00023035361183776457,2.1849611330248238e-06,0.00010078042729161407,9.5593229529722383e-07
540,0.0092619073205332993,0.0016666666666658705,0.00035993010054320078,3.4140439614443712e-06,0.00012957648870543618,1.2290828284195475e-06
540,0.01111428878464,0.001999999999999052,0.00051830389571241484,4.9162976663309396e-06,0.00015837379516921407,1.5022537048865684e-06
540,0.012966670248747,0.0023333333333322871,0.00070547652431984114,6.6917471966086376e-06,0.00018717262860742633,1.7754495302776979e-06
540,0.014819051712853,0.0026666666666653425,0.00092144979834780363,8.7404221566519948e-06,0.00021597327402796251,2.0486749600433573e-06
540,0.016671433176960002,0.002999999999998578,0.0011662258183971039,1.1062356864688052e-05,0.00024477602004930037,2.3219347080360564e-06
540,0.018523814641067001,0.0033333333333318135,0.0014398069778064305,1.3657590419450826e-05,0.00027358115940932651,2.595233554762774e-06
540,0.020376196105173001,0.0036666666666648686,0.0017421959724645663,1.6526166858461822e-05,0.00030238899465813576,2.8685764390109955e-06
540,0.022228577569280001,0.003999999999998104,0.0020733958022665952,1.9668135181974544e-05,0.00033119982980202897,3.141968323512721e-06
540,0.024080959033387001,0.0043333333333313391,0.0024334097709269174,2.3083549350567029e-05,0.00036001396866032237,3.4154141685924844e-06
540,0.025933340497493001,0.0046666666666643946,0.002822241495567198,2.6772468440027515e-05,0.00038883172464028069,3.6889190894604853e-06
540,0.0277857219616,0.0049999999999976296,0.003239894913597224,3.0734956752780172e-05,0.00041765341803002583,3.9624883127526571e-06
540,0.029638103425707,0.0053333333333308646,0.0036863742894497308,3.4971083927063197e-05,0.00044647937585250678,4.236127174283023e-06
540,0.031490484889813,0.0056666666666639201,0.0041616842216668989,3.948092505184572e-05,0.00047530993221716852,4.5098411247825213e-06
540,0.033342866353920003,0.005999999999997156,0.0046658296503101025,4.4264560787042984e-05,0.00050414542864320384,4.7836357351972663e-06
540,0.035195247818026999,0.0063333333333303902,0.0051988158646630589,4.9322077488573941e-05,0.00053298621435295655,5.0575167015309573e-06
540,0.037047629282133003,0.0066666666666634466,0.0057606485112063127,5.4653567337882518e-05,0.000561832646543254,5.3314898493085805e-06
540,0.038900010746239999,0.0069999999999966808,0.00635133360183383,6.0259128475472984e-05,0.00059068509062751762,5.6055611375904651e-06
540,0.040752392210347002,0.0073333333333299175,0.0069708775222821545,6.6138865138011275e-05,0.00061954392044832418,5.8797366625382954e-06
540,0.042604773674452999,0.0076666666666629713,0.0076192870407516371,7.2292887798634933e-05,0.00064840951846948281,6.1540226606236546e-06
540,0.044457155138560002,0.0079999999999962081,0.0082965693166920217,7.8721313310048526e-05,0.00067728227594038477,6.4284255114135876e-06
540,0.046309536602666998,0.0083333333333294422,0.0090027319097242941,8.5424265049984308e-05,0.00070616259303227257,6.7029517399357838e-06
540,0.048161918066773002,0.0086666666666624995,0.0097377827886818268,9.2401873068721172e-05,0.00073505087895753263,6.9776080187368704e-06
