x[nm]                Bandgap_Gamma[eV]    Bandgap_min[eV]     
0                    2.1448955938038      2.1448955938038
0.50230712325208     2.1448955938038      2.1448955938038
0.97950959568568     2.1448955938038      2.1448955938038
1.4328621148027      2.1448955938038      2.1448955938038
1.8635566699704      2.1448955938038      2.1448955938038
2.2727256764919      2.1448955938038      2.1448955938038
2.6614449530396      2.1448955938038      2.1448955938038
3.0307365502803      2.1448955938038      2.1448955938038
3.3815714381299      2.1448955938038      2.1448955938038
3.7148720587022      2.1448955938038      2.1448955938038
4.0315147516646      2.1448955938038      2.1448955938038
4.3323320583782      2.1448955938038      2.1448955938038
4.6181149108791      2.1448955938038      2.1448955938038
4.8896147114586      2.1448955938038      2.1448955938038
5.1475453083072      2.1448955938038      2.1448955938038
5.3925848724201      2.1448955938038      2.1448955938038
5.6253776806957      2.1448955938038      2.1448955938038
5.8465358099188      2.1448955938038      2.1448955938038
6.0566407460798      2.1448955938038      2.1448955938038
6.2562449132622      2.1448955938038      2.1448955938038
6.4458731261189      2.1448955938038      2.1448955938038
6.6260239697552      2.1448955938038      2.1448955938038
6.7971711106471      2.1448955938038      2.1448955938038
6.9597645420419      2.1448955938038      2.1448955938038
7.1142317671146      2.1448955938038      2.1448955938038
7.260978922993       2.1448955938038      2.1448955938038
7.4003918486039      2.1448955938038      2.1448955938038
7.532837099151       2.1448955938038      2.1448955938038
7.6586629098899      2.1448955938038      2.1448955938038
7.7782001117354      2.1448955938038      2.1448955938038
7.891763001107       2.1448955938038      2.1448955938038
7.9996501663019      2.1448955938038      2.1448955938038
8.1021452725658      2.1448955938038      2.1448955938038
8.1995178079279      2.1448955938038      2.1448955938038
8.2920237917592      2.1448955938038      2.1448955938038
8.3799064479186      2.1448955938038      2.1448955938038
8.4633968442558      2.1448955938038      2.1448955938038
8.5427145001525      2.1448955938038      2.1448955938038
8.6180679636999      2.1262004436992      2.1262004436992
8.6896553600291      2.0830539143189      2.0830539143189
8.7576649122373      2.0366679556124      2.0366679556124
8.8222754362784      1.9936236192884      1.9936236192884
8.8836568111193      1.9533252302739      1.9533252302739
8.9419704253995      1.9152955572221      1.9152955572221
8.9973696017656      1.8791545651386      1.8791545651386
9.05                 1.8446016769185      1.8446016769185
9.1                  1.8105629210648      1.8105629210648
9.15                 1.7768495482441      1.7768495482441
9.2                  1.7424338838608      1.7424338838608
9.25                 1.7071524644775      1.7071524644775
9.3                  1.6708418266568      1.6708418266568
9.35                 1.633338506961       1.633338506961
9.4                  1.5944790419527      1.5944790419527
9.45                 1.5540999681944      1.5540999681944
9.5                  1.5120378222487      1.5120378222487
9.55                 1.4681291406779      1.4681291406779
9.6                  1.4340874379569      1.4340874379569
9.65                 1.4224821428571      1.4224821428571
9.7                  1.4224821428571      1.4224821428571
9.75                 1.4224821428571      1.4224821428571
9.8                  1.4224821428571      1.4224821428571
9.85                 1.4224821428571      1.4224821428571
9.9                  1.4224821428571      1.4224821428571
9.95                 1.4224821428571      1.4224821428571
10                   1.4224821428571      1.4224821428571
10.05                1.4224821428571      1.4224821428571
10.1                 1.4224821428571      1.4224821428571
10.15                1.4224821428571      1.4224821428571
10.2                 1.4224821428571      1.4224821428571
10.25                1.4224821428571      1.4224821428571
10.3                 1.4224821428571      1.4224821428571
10.35                1.4224821428571      1.4224821428571
10.4                 1.4224821428571      1.4224821428571
10.45                1.4224821428571      1.4224821428571
10.5                 1.4224821428571      1.4224821428571
10.55                1.4224821428571      1.4224821428571
10.6                 1.4224821428571      1.4224821428571
10.65                1.4224821428571      1.4224821428571
10.7                 1.4224821428571      1.4224821428571
10.75                1.4224821428571      1.4224821428571
10.8                 1.4224821428571      1.4224821428571
10.85                1.4224821428571      1.4224821428571
10.9                 1.4224821428571      1.4224821428571
10.95                1.4224821428571      1.4224821428571
11                   1.4224821428571      1.4224821428571
11.05                1.4224821428571      1.4224821428571
11.1                 1.4224821428571      1.4224821428571
11.15                1.4224821428571      1.4224821428571
11.2                 1.4224821428571      1.4224821428571
11.25                1.4224821428571      1.4224821428571
11.3                 1.4224821428571      1.4224821428571
11.35                1.4224821428571      1.4224821428571
11.4                 1.4224821428571      1.4224821428571
11.45                1.4224821428571      1.4224821428571
11.5                 1.4224821428571      1.4224821428571
11.55                1.4224821428571      1.4224821428571
11.6                 1.4224821428571      1.4224821428571
11.65                1.4224821428571      1.4224821428571
11.7                 1.4224821428571      1.4224821428571
11.75                1.4224821428571      1.4224821428571
11.8                 1.4224821428571      1.4224821428571
11.85                1.4224821428571      1.4224821428571
11.9                 1.4224821428571      1.4224821428571
11.95                1.4224821428571      1.4224821428571
12                   1.4224821428571      1.4224821428571
12.05                1.4224821428571      1.4224821428571
12.1                 1.4224821428571      1.4224821428571
12.15                1.4224821428571      1.4224821428571
12.2                 1.4224821428571      1.4224821428571
12.25                1.4224821428571      1.4224821428571
12.3                 1.4224821428571      1.4224821428571
12.35                1.4224821428571      1.4224821428571
12.4                 1.4224821428571      1.4224821428571
12.45                1.4224821428571      1.4224821428571
12.5                 1.4224821428571      1.4224821428571
12.55                1.4224821428571      1.4224821428571
12.6                 1.4224821428571      1.4224821428571
12.65                1.4224821428571      1.4224821428571
