x[nm]                E_1[eV]              E_2[eV]              E_3[eV]              E_4[eV]              E_5[eV]              E_6[eV]              Psi^2_1[nm^-1]       Psi^2_2[nm^-1]       Psi^2_3[nm^-1]       Psi^2_4[nm^-1]       Psi^2_5[nm^-1]       Psi^2_6[nm^-1]      
7.1142317671146      1.4478054423839      1.412791422186       1.4067269055969      1.3561664814032      1.2837468270643      1.269939459991       1.4478054423839      1.412791422186       1.4067269055969      1.3561664814032      1.2837468270643      1.269939459991
7.260978922993       1.4478054423839      1.412791422186       1.4067269055969      1.3561664814032      1.2837468270643      1.269939459991       1.4478069611526      1.4128003817819      1.4067270480258      1.3562066884768      1.2838944940561      1.2699826310378
7.4003918486039      1.4478054423839      1.412791422186       1.4067269055969      1.3561664814032      1.2837468270643      1.269939459991       1.4478116449712      1.412827678659       1.4067274810413      1.3563267755013      1.2843243074343      1.270107666602
7.532837099151       1.4478054423839      1.412791422186       1.4067269055969      1.3561664814032      1.2837468270643      1.269939459991       1.4478202265012      1.4128766685525      1.4067282553705      1.3565350373561      1.285036579438       1.2703130367414
7.6586629098899      1.4478054423839      1.412791422186       1.4067269055969      1.3561664814032      1.2837468270643      1.269939459991       1.4478341051666      1.4129539162983      1.4067294708908      1.3568496641613      1.2860514810913      1.2706022639521
7.7782001117354      1.4478054423839      1.412791422186       1.4067269055969      1.3561664814032      1.2837468270643      1.269939459991       1.4478553709328      1.4130690941683      1.4067312744821      1.3572972828476      1.2874031559243      1.2709823037022
7.891763001107       1.4478054423839      1.412791422186       1.4067269055969      1.3561664814032      1.2837468270643      1.269939459991       1.4478868915024      1.4132351633943      1.4067338621808      1.3579123590005      1.2891358556907      1.271462458355
7.9996501663019      1.4478054423839      1.412791422186       1.4067269055969      1.3561664814032      1.2837468270643      1.269939459991       1.4479324303308      1.4134686754268      1.4067374831218      1.3587369514214      1.2913011676444      1.2720535961411
8.1021452725658      1.4478054423839      1.412791422186       1.4067269055969      1.3561664814032      1.2837468270643      1.269939459991       1.4479967752976      1.413790096018       1.4067424437886      1.3598205370704      1.2939558177009      1.2727675462165
8.1995178079279      1.4478054423839      1.412791422186       1.4067269055969      1.3561664814032      1.2837468270643      1.269939459991       1.4480858629173      1.4142240866012      1.4067491115911      1.3612197435012      1.2971597693358      1.2736165980277
