x[nm]                Psi_1[nm^-1/2]       Psi_2[nm^-1/2]       Psi_3[nm^-1/2]       Psi_4[nm^-1/2]       Psi_5[nm^-1/2]       Psi_6[nm^-1/2]      
7.1142317671146      0                    0                    0                    0                    0                    0
7.260978922993       0.001232383351322    -0.0029932584075429  0.00037739754770964  -0.006340904795434   -0.01215183080246    -0.0065704677775089
7.4003918486039      0.0024904994196762   -0.0060213348158185  0.00075858050966881  -0.012660730551937   -0.024030821252241   -0.012969449141399
7.532837099151       0.0038450120043589   -0.0092328958892595  0.0011617975850783   -0.019197811150074   -0.035913122584408   -0.019328133651262
7.6586629098899      0.0053537634144791   -0.012747317846772   0.0016016534938395   -0.026137764979223   -0.0480068122983     -0.025744979336597
7.7782001117354      0.007066013649858    -0.016663492499408   0.0020901878349011   -0.03362739128219    -0.060467585200855   -0.032293090765414
7.891763001107       0.0090249165377949   -0.021065165754069   0.0026375336814683   -0.041783700139059   -0.073410003585313   -0.039025611641196
7.9996501663019      0.011268892885742    -0.026024089624852   0.003252310701818    -0.050699802940342   -0.086915709627898   -0.045979736298856
8.1021452725658      0.013832314112438    -0.031601801088142   0.0039418513137039   -0.060448785490173   -0.10103954986355    -0.053179753905901
8.1995178079279      0.016745761654872    -0.037850553696908   0.0047123236584585   -0.071086300354129   -0.11581425763513    -0.06063940993066
8.2920237917592      0.02003603639667     -0.044813747450442   0.0055687933075726   -0.082652365101528   -0.1312541336684     -0.068363781097053
8.3799064479186      0.023726034853305    -0.052526086397015   0.0065152515083076   -0.095172688246932   -0.14735802460217    -0.076350799280152
8.4633968442558      0.027834571305242    -0.061013616815056   0.0075546284411848   -0.10865973419642    -0.16411180305932    -0.08459251781453
8.5427145001525      0.032376199619149    -0.070293746758365   0.0086888036202553   -0.1231136633569     -0.18149048663257    -0.093076184617352
8.6180679636999      0.037361070555281    -0.080375311416509   0.0099186211486337   -0.13852323189745    -0.19946008761235    -0.10178516640618
8.6896553600291      0.042778899769601    -0.091223941325132   0.011239611802783    -0.15480533836298    -0.21788795524684    -0.11065284968086
8.7576649122373      0.048585935605409    -0.10273619950288    0.01263884842109     -0.17176667997003    -0.23649977983022    -0.11954196403782
8.8222754362784      0.054727027718405    -0.11478813328177    0.014100959221794    -0.18919008597043    -0.25500787805071    -0.12831037398183
8.8836568111193      0.06114531260456     -0.12725599409173    0.015610680341162    -0.20686934451899    -0.27315814436548    -0.13683461771626
8.9419704253995      0.067783335906082    -0.14001849163239    0.017153128992856    -0.22461217739552    -0.29073145728767    -0.14501026819688
8.9973696017656      0.074584225385988    -0.15295901360124    0.018714069549827    -0.24224283369631    -0.30754422688018    -0.15275184934931
9.05                 0.081492801930579    -0.16596760718202    0.020280148272699    -0.2596040711615     -0.32344798378973    -0.15999227864041
9.1                  0.088456556514693    -0.17894260450087    0.021839082965218    -0.27655842982348    -0.33832806027349    -0.16668187785144
9.15                 0.095801653833755    -0.19247983423516    0.023462212594574    -0.29385867003115    -0.35281235381696    -0.17309951905157
9.2                  0.10351517261742     -0.2065321148451     0.025143369642971    -0.31138912096107    -0.36671851230453    -0.17915352213944
9.25                 0.11157854234011     -0.2210406667386     0.026874975321925    -0.32901783617886    -0.37985159511809    -0.18474700796328
9.3                  0.11996696140696     -0.23593426529911    0.028647943826482    -0.34659626021179    -0.39200536286786    -0.18977869312421
9.35                 0.12864883350739     -0.25112848613734    0.030451598942245    -0.36395915175264    -0.40296396973596    -0.19414388359198
9.4                  0.13758523567364     -0.26652507138591    0.032273606521899    -0.38092480324732    -0.41250408016136    -0.19773567409773
9.45                 0.14672943326156     -0.28201144811916    0.034099926596745    -0.39729559651145    -0.42039742522246    -0.20044635658444
9.5                  0.15602645866937     -0.29746043185201    0.03591478908529     -0.4128589328604     -0.42641380621401    -0.2021690366048
9.55                 0.16541277207044     -0.31273014943052    0.037700697190609    -0.42738857387178    -0.4303245435426     -0.20279945146757
9.6                  0.17481602369482     -0.32766421634677    0.039438462625539    -0.44064642518691    -0.43190635819551    -0.2022379781764
9.65                 0.18417290636021     -0.34212671105733    0.041111448440122    -0.45243326263115    -0.43099653146049    -0.20041600915747
9.7                  0.19345668479558     -0.35605252284557    0.042711600616807    -0.46265304990376    -0.42754938121777    -0.19732156510453
9.75                 0.20266367396663     -0.36941980674843    0.044236084302804    -0.47127038969709    -0.42158520121618    -0.19297429316464
9.8                  0.21179021931925     -0.38220759394717    0.045682198700721    -0.47825543494878    -0.41313910323276    -0.18740179490033
9.85                 0.22083269823009     -0.39439582466048    0.047047381853332    -0.48358399222022    -0.40226081036596    -0.18063945104264
9.9                  0.22978752144451     -0.4059653796116     0.048329215182377    -0.48723760549309    -0.3890143643103     -0.17273019685292
9.95                 0.23865113450127     -0.4168981100201     0.049525427773353    -0.4892036200937     -0.373477748336      -0.16372424951959
10                   0.24742001914343     -0.42717686607124    0.050633900398696    -0.48947522652377    -0.35574242819293    -0.15367878932074
10.05                0.25609069471483     -0.43678552381839    0.051652669272237    -0.48805148404589    -0.33591281364178    -0.14265759657694
10.1                 0.2646597195417      -0.44570901047608    0.052579929528275    -0.48493732394181    -0.31410564378249    -0.13073064669917
10.15                0.27312369229876     -0.4539333280642     0.053414038419102    -0.48014353243246    -0.29044929979837    -0.1179736659032
10.2                 0.28147925335931     -0.46144557536616    0.054153518225317    -0.47368671331873    -0.26508304916217    -0.10446765041104
10.25                0.28972308612882     -0.46823396816663    0.054797058873777    -0.46558923047244    -0.23815622575326    -0.090298352192281
10.3                 0.29785191836133     -0.47428785773703    0.055343520258544    -0.45587913037678    -0.20982735071285    -0.075555734510372
10.35                0.30586252345835     -0.47959774753984    0.055791934260707    -0.44459004498428    -0.18026319921276    -0.060333400730712
10.4                 0.31375172174959     -0.48415530812554    0.056141506463522    -0.43176107522909    -0.14963781863182    -0.044728000017084
10.45                0.3215163817551      -0.48795339019867    0.056391617559808    -0.41743665559671    -0.11813150392       -0.028838613689822
10.5                 0.3291534214282      -0.49098603583277    0.056541824449121    -0.40166640022055    -0.085929736182422   -0.012766126141806
10.55                0.33665980937891     -0.49324848781636    0.056591861022759    -0.3845049310381     -0.053222090731896   0.0033874156935629
10.6                 0.34403256607716     -0.49473719711539    0.056541638635203    -0.36601168860214    -0.020201121038401   0.019519450255546
10.65                0.35126876503549     -0.49544982844055    0.056391246261163    -0.34625072620214    0.012938774854147    0.035527552536709
10.7                 0.35836553397066     -0.49538526391049    0.056140950337948    -0.32529048800892    0.046002498770354    0.051310084396567
10.75                0.36532005594373     -0.49454360480548    0.055791194293444    -0.30320357201113    0.078795400967541    0.06676683987927
10.8                 0.37212957047825     -0.49292617140849    0.055342597760528    -0.28006647856442    0.11112442605997     0.081799681438118
10.85                0.37879137465592     -0.49053550093409    0.05479595547932     -0.25595934542447    0.14279924955695     0.096313163027387
10.9                 0.38530282418951     -0.48737534354845    0.054152235889208    -0.2309656701814     0.17363339832377     0.11021513610537
10.95                0.39166133447245     -0.48345065648656    0.053412579413146    -0.20517202105712    0.20344534836943     0.123417334701
11                   0.39786438160473     -0.47876759627597    0.052578296437269    -0.17866773706719    0.23205959349807     0.13583593582939
11.05                0.40390950339476     -0.47333350907925    0.051650864989388    -0.15154461858572    0.2593076785331      0.1473920916981
