x[nm]                Psi^2_1[nm^-1]       Psi^2_2[nm^-1]       Psi^2_3[nm^-1]       Psi^2_4[nm^-1]       Psi^2_5[nm^-1]       Psi^2_6[nm^-1]      
7.1142317671146      0                    0                    0                    0                    0                    0
7.260978922993       1.5187687246158e-06  8.959595894326e-06   1.4242890901725e-07  4.0207073624758e-05  0.00014766699185162  4.3171046815282e-05
7.4003918486039      6.2025873594077e-06  3.6256472964188e-05  5.754443896494e-07   0.00016029409810875  0.00057748037005717  0.00016820661103133
7.532837099151       1.4784117313664e-05  8.5246366501906e-05  1.3497736286937e-06  0.0003685559529539   0.0012897523737627   0.00037357675044106
7.6586629098899      2.8662782698215e-05  0.00016249411228663  2.5652939143283e-06  0.00068318275810911  0.0023046540270442   0.00066280396104181
7.7782001117354      4.992854889998e-05   0.00027767198227782  4.3688851851687e-06  0.0011308014444455   0.0036563288600227   0.0010428437111833
7.891763001107       8.1449118514163e-05  0.00044374120824639  6.9565839208798e-06  0.0017458775973108   0.0053890286263957   0.0015229983639694
7.9996501663019      0.00012698794687033  0.00067725324080232  1.057752490116e-05   0.0025704700181895   0.007554340580121    0.0021141361501124
8.1021452725658      0.00019133291370515  0.0009986738320145   1.5538191779349e-05  0.0036540556672369   0.01020899063663     0.0028280862254922
8.1995178079279      0.00028042053340179  0.0014326644151625   2.2205994262067e-05  0.0050532620980374   0.013412942271575    0.0036771380367386
8.2920237917592      0.00040144275448869  0.002008271960552    3.1011458902466e-05  0.0068314134568763   0.017227647605041    0.0046736065658858
8.3799064479186      0.00056292472986023  0.0027589897521867   4.2448502216504e-05  0.0090578405881478   0.021714387414653    0.0058294445507181
8.4633968442558      0.00077476335974663  0.0037226614368545   5.7072410884358e-05  0.011806937835638    0.02693268390338     0.0071558940702015
8.5427145001525      0.001048218301779    0.0049412108333291   7.5495308351362e-05  0.015156974105156    0.032938796738129    0.0086631761429234
8.6180679636999      0.0013958495930366   0.0064601906853009   9.8379045490123e-05  0.019188685775313    0.039784326550324    0.010360220100334
8.6896553600291      0.0018300342654976   0.0083218074708911   0.00012632887347725  0.023964692785677    0.047475161041649    0.012244053142496
8.7576649122373      0.002360593138653    0.010554726688295    0.00015974048941129  0.029503792347927    0.055932145859741    0.01429028116602
8.8222754362784      0.0029950475628911   0.013176315542314    0.00019883705097471  0.035792888629499    0.065029017867925    0.016463552071357
8.8836568111193      0.0037387492535094   0.016194088032274    0.00024369334071394  0.042794925701716    0.074615371833193    0.018723712605555
8.9419704253995      0.0045945806265568   0.019605177999011    0.00029422983424555  0.050450630234358    0.084524780256612    0.021027977882532
8.9973696017656      0.0055628066764279   0.023396459841865    0.00035021639911577  0.05868159047722     0.09458345148733     0.023333127479635
9.05                 0.0066410767664965   0.027545246633724    0.00041128441396264  0.067394273763626    0.10461859821764     0.025597529224552
