x[nm]                E_1[eV]              E_2[eV]              E_3[eV]              E_4[eV]              E_5[eV]              E_6[eV]              Psi_1[nm^-1/2]       Psi_2[nm^-1/2]       Psi_3[nm^-1/2]       Psi_4[nm^-1/2]       Psi_5[nm^-1/2]       Psi_6[nm^-1/2]      
7.1142317671146      1.4478054423839      1.412791422186       1.4067269055969      1.3561664814032      1.2837468270643      1.269939459991       1.4478054423839      1.412791422186       1.4067269055969      1.3561664814032      1.2837468270643      1.269939459991
7.260978922993       1.4478054423839      1.412791422186       1.4067269055969      1.3561664814032      1.2837468270643      1.269939459991       1.4490378257352      1.4097981637785      1.4071043031446      1.3498255766077      1.2715949962618      1.2633689922135
7.4003918486039      1.4478054423839      1.412791422186       1.4067269055969      1.3561664814032      1.2837468270643      1.269939459991       1.4502959418036      1.4067700873702      1.4074854861065      1.3435057508512      1.259716005812       1.2569700108496
7.532837099151       1.4478054423839      1.412791422186       1.4067269055969      1.3561664814032      1.2837468270643      1.269939459991       1.4516504543882      1.4035585262967      1.4078887031819      1.3369686702531      1.2478337044799      1.2506113263397
7.6586629098899      1.4478054423839      1.412791422186       1.4067269055969      1.3561664814032      1.2837468270643      1.269939459991       1.4531592057984      1.4000441043392      1.4083285590907      1.330028716424       1.235740014766       1.2441944806544
7.7782001117354      1.4478054423839      1.412791422186       1.4067269055969      1.3561664814032      1.2837468270643      1.269939459991       1.4548714560337      1.3961279296866      1.4088170934318      1.322539090121       1.2232792418634      1.2376463692256
7.891763001107       1.4478054423839      1.412791422186       1.4067269055969      1.3561664814032      1.2837468270643      1.269939459991       1.4568303589217      1.3917262564319      1.4093644392783      1.3143827812641      1.210336823479       1.2309138483498
7.9996501663019      1.4478054423839      1.412791422186       1.4067269055969      1.3561664814032      1.2837468270643      1.269939459991       1.4590743352696      1.3867673325612      1.4099792162987      1.3054666784628      1.1968311174364      1.2239597236922
8.1021452725658      1.4478054423839      1.412791422186       1.4067269055969      1.3561664814032      1.2837468270643      1.269939459991       1.4616377564963      1.3811896210979      1.4106687569106      1.295717695913       1.1827072772007      1.2167597060851
8.1995178079279      1.4478054423839      1.412791422186       1.4067269055969      1.3561664814032      1.2837468270643      1.269939459991       1.4645512040388      1.3749408684891      1.4114392292553      1.2850801810491      1.1679325694291      1.2093000500603
8.2920237917592      1.4478054423839      1.412791422186       1.4067269055969      1.3561664814032      1.2837468270643      1.269939459991       1.4678414787806      1.3679776747356      1.4122956989044      1.2735141163017      1.1524926933959      1.201575678894
8.3799064479186      1.4478054423839      1.412791422186       1.4067269055969      1.3561664814032      1.2837468270643      1.269939459991       1.4715314772372      1.360265335789       1.4132421571052      1.2609937931562      1.1363888024621      1.1935886607109
8.4633968442558      1.4478054423839      1.412791422186       1.4067269055969      1.3561664814032      1.2837468270643      1.269939459991       1.4756400136891      1.3517778053709      1.4142815340381      1.2475067472068      1.119635024005       1.1853469421765
8.5427145001525      1.4478054423839      1.412791422186       1.4067269055969      1.3561664814032      1.2837468270643      1.269939459991       1.480181642003       1.3424976754276      1.4154157092171      1.2330528180463      1.1022563404317      1.1768632753737
8.6180679636999      1.4478054423839      1.412791422186       1.4067269055969      1.3561664814032      1.2837468270643      1.269939459991       1.4851665129392      1.3324161107695      1.4166455267455      1.2176432495057      1.0842867394519      1.1681542935848
8.6896553600291      1.4478054423839      1.412791422186       1.4067269055969      1.3561664814032      1.2837468270643      1.269939459991       1.4905843421535      1.3215674808609      1.4179665173997      1.2013611430402      1.0658588718174      1.1592866103101
8.7576649122373      1.4478054423839      1.412791422186       1.4067269055969      1.3561664814032      1.2837468270643      1.269939459991       1.4963913779893      1.3100552226831      1.419365754018       1.1843998014332      1.0472470472341      1.1503974959532
8.8222754362784      1.4478054423839      1.412791422186       1.4067269055969      1.3561664814032      1.2837468270643      1.269939459991       1.5025324701023      1.2980032889042      1.4208278648187      1.1669763954328      1.0287389490136      1.1416290860092
8.8836568111193      1.4478054423839      1.412791422186       1.4067269055969      1.3561664814032      1.2837468270643      1.269939459991       1.5089507549884      1.2855354280943      1.422337585938       1.1492971368842      1.0105886826988      1.1331048422747
