pathway,amplitude_scale,Feature,feature_type,paper_wavelength_nm,model_wavelength_nm,peak_shift_nm,model_normalized_amplitude,normalized_amplitude_change,normalized_amplitude_at_paper_nm,node_depth_change_at_paper_nm,local_normalized_RMSE,note
C_m1_n1_l1,1.1,P2,peak,760.0,749.0,-3.0,0.5009259773112802,-0.02889100092893504,0.32440197342103333,0.004588121955111435,0.13854242740604905,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
C_m1_n1_l1,1.1,P3,peak,1080.0,1160.0,0.0,0.16457963127870884,0.0529710910976218,0.14354173205662946,0.05267042552947808,0.4836456491205697,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
C_m1_n1_l1,1.1,Z2,minimum,1330.0,1250.0,0.0,0.2176288416668169,0.05437397162467347,0.34714641579981653,0.037543416095809745,0.3610676304149061,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
C_m1_n1_l1,1.1,P4,peak,1520.0,1495.0,-8.0,1.0,0.0,0.6144940306771122,0.05198193843235821,0.2850291930708662,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
V_m1_n1_l1,0.9,P1,peak,540.0,575.0,0.0,0.03493378417165872,0.007277651353977253,0.024456487030378678,0.0057718530056027305,0.17731515100487283,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
V_m1_n1_l1,0.9,Z1,minimum,605.0,550.0,0.0,0.026988895018439887,0.006183274203181835,0.04916931537997709,0.008521476334707012,0.04713335519552533,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
V_m1_n1_l1,0.9,P2,peak,760.0,749.0,-3.0,0.501135878387125,-0.028681099853090197,0.3241412532879479,0.004327401822026011,0.13867677074505444,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
V_m1_n1_l1,0.9,P3,peak,1080.0,1160.0,0.0,0.1645997739883594,0.05299123380727236,0.14353568692388313,0.052664380396731755,0.48365172450154703,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
V_m1_n1_l1,0.9,Z2,minimum,1330.0,1250.0,0.0,0.21771266303263015,0.054457792990486725,0.34745955594911976,0.03785655624511297,0.3615922262840304,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
V_m1_n1_l1,0.9,P4,peak,1520.0,1495.0,-8.0,1.0,0.0,0.6136202604207183,0.05110816817596431,0.2851627858728361,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
V_m1_n1_l1,0.95,P1,peak,540.0,575.0,0.0,0.035056691309085626,0.007400558491404162,0.024255507103530183,0.005570873078754236,0.17748547189956407,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
V_m1_n1_l1,0.95,Z1,minimum,605.0,550.0,0.0,0.02684607470052004,0.006040453885261986,0.05007239057685583,0.009424551531585751,0.04748151598195859,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
V_m1_n1_l1,0.95,P2,peak,760.0,750.0,-2.0,0.5201852594338355,-0.009631718806379697,0.3010125481341267,-0.018801303331795194,0.16179324688948085,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
