wavelength_nm,pathway,real,imag,magnitude
400.0,C_m1_n1_l1,4.925513800280737,0.02170534104650961,4.925561624686665
401.0,C_m1_n1_l1,4.96760544061956,0.02199436819360368,4.9676541310668245
402.0,C_m1_n1_l1,5.010033898807307,0.02228714307444658,5.010083470756228
403.0,C_m1_n1_l1,5.052802176665934,0.022583716730638425,5.05285264586069
404.0,C_m1_n1_l1,5.0959133094378535,0.022884140982695658,5.09596469191206
405.0,C_m1_n1_l1,5.1393703662443375,0.023188468443705805,5.139422678326742
406.0,C_m1_n1_l1,5.183176450551497,0.023496752533256456,5.1832297088717985
407.0,C_m1_n1_l1,5.227334700643895,0.023809047491644888,5.227388922138687
408.0,C_m1_n1_l1,5.271848290106038,0.02412540839437456,5.271903492024883
409.0,C_m1_n1_l1,5.316720428311876,0.024445891166945507,5.3167766282235105
410.0,C_m1_n1_l1,5.361954360922396,0.024770552599944592,5.3620115767210725
411.0,C_m1_n1_l1,5.407553370391598,0.02509945036444354,5.407611620303563
412.0,C_m1_n1_l1,5.453520776480849,0.025432643027710856,5.453580079070964
413.0,C_m1_n1_l1,5.499859936781971,0.025770190069245837,5.499920310960477
414.0,C_m1_n1_l1,5.546574247249046,0.026112151897141302,5.546635712278482
415.0,C_m1_n1_l1,5.593667142739272,0.026458589864783506,5.593729718241539
416.0,C_m1_n1_l1,5.641142097562935,0.02680956628789647,5.64120580352652
417.0,C_m1_n1_l1,5.689002626042738,0.027165144461939187,5.6890674828301
418.0,C_m1_n1_l1,5.737252283082639,0.027525388679863858,5.737318311437751
419.0,C_m1_n1_l1,5.785894664746423,0.027890364250243806,5.785961885802492
420.0,C_m1_n1_l1,5.834933408846192,0.028260137515779497,5.835001844133544
421.0,C_m1_n1_l1,5.884372195540929,0.028634775872192108,5.88444186699507
422.0,C_m1_n1_l1,5.9342147479454015,0.029014347787513384,5.934285677915265
423.0,C_m1_n1_l1,5.984464832749597,0.029398922821781585,5.984537044005973
424.0,C_m1_n1_l1,6.035126260848866,0.029788571647153022,6.035199776593016
425.0,C_m1_n1_l1,6.0862028879850305,0.030183366068439382,6.086277731857506
426.0,C_m1_n1_l1,6.137698615398679,0.030583379044080688,6.137774811488331
427.0,C_m1_n1_l1,6.189617390492844,0.03098868470756498,6.189694963346041
428.0,C_m1_n1_l1,6.241963207508354,0.031399358389304986,6.24204218213841
429.0,C_m1_n1_l1,6.294740108211019,0.031815476638983216,6.294820510107833
430.0,C_m1_n1_l1,6.347952182590985,0.03223711724837667,6.348034037730905
431.0,C_m1_n1_l1,6.401603569574427,0.03266435927467312,6.4016869044303375
432.0,C_m1_n1_l1,6.455698457747901,0.03309728306429081,6.455783299299541
433.0,C_m1_n1_l1,6.510241086095566,0.03353597027721389,6.510327461840088
434.0,C_m1_n1_l1,6.565235744749598,0.03398050391185656,6.5653236827123695
