state,shift_meV,Feature,feature_type,paper_wavelength_nm,model_wavelength_nm,model_normalized_amplitude,normalized_amplitude_at_paper_nm,local_normalized_RMSE,global_normalized_RMSE,note
e2,-10.0,P2,peak,760.0,756.0,0.5304266713671063,0.421595854565404,0.17480505469145788,0.25165645069692827,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
e2,-10.0,P3,peak,1080.0,1160.0,0.11023781668511252,0.0906191045382555,0.5355206315430797,0.25165645069692827,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
e2,-10.0,Z2,minimum,1330.0,1250.0,0.15836575798498553,0.28580022892421186,0.298863619643913,0.25165645069692827,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
e2,-10.0,P4,peak,1520.0,1512.0,1.0,0.7706575282239798,0.21681744740143039,0.25165645069692827,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
e2,-5.0,P1,peak,540.0,575.0,0.02723981725233531,0.01846396897031645,0.18252934353812258,0.25704987385786704,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
e2,-5.0,Z1,minimum,605.0,550.0,0.020543461862426435,0.039856392849695076,0.04812128524426136,0.25704987385786704,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
e2,-5.0,P2,peak,760.0,754.0,0.5316304189513327,0.36138219689774587,0.18404028077789306,0.25704987385786704,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
e2,-5.0,P3,peak,1080.0,1160.0,0.1110188401000819,0.09082771526567211,0.5353139718244937,0.25704987385786704,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
e2,-5.0,Z2,minimum,1330.0,1250.0,0.16091198344884247,0.297391357054975,0.32794788722693474,0.25704987385786704,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
e2,-5.0,P4,peak,1520.0,1508.0,1.0,0.6476737452273367,0.261292550800279,0.25704987385786704,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
e2,0.0,P1,peak,540.0,575.0,0.027656132817681464,0.018684634024775947,0.18233322581211692,0.2623911178693676,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
e2,0.0,Z1,minimum,605.0,550.0,0.020805620815258052,0.04064783904527008,0.04803291770578306,0.2623911178693676,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
e2,0.0,P2,peak,760.0,752.0,0.5298169782402152,0.3198138514659219,0.19391486600926822,0.2623911178693676,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
e2,0.0,P3,peak,1080.0,1160.0,0.11160854018108704,0.09087130652715138,0.535268929323567,0.2623911178693676,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
e2,0.0,Z2,minimum,1330.0,1250.0,0.16325487004214342,0.3096029997040068,0.3645474142729788,0.2623911178693676,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
e2,0.0,P4,peak,1520.0,1503.0,1.0,0.562512092244754,0.30120735313987446,0.2623911178693676,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
e2,5.0,P1,peak,540.0,575.0,0.02814157124836965,0.01894895280604066,0.1820988348797006,0.2677972348201959,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
e2,5.0,Z1,minimum,605.0,550.0,0.02111712997616894,0.041552958443106136,0.04796878800541788,0.2677972348201959,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
e2,5.0,P2,peak,760.0,749.0,0.5315312083796784,0.2902688015601275,0.20338454358962638,0.2677972348201959,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
e2,5.0,P3,peak,1080.0,1160.0,0.11245933649510227,0.0911184346006443,0.5350238130164522,0.2677972348201959,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
e2,5.0,Z2,minimum,1330.0,1250.0,0.16605980418037852,0.3238934104045114,0.40177906681101117,0.2677972348201959,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
e2,5.0,P4,peak,1520.0,1498.0,1.0,0.501082275417116,0.3356851638703743,0.2677972348201959,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
e2,10.0,P1,peak,540.0,575.0,0.028556075029816892,0.019162387364420958,0.18190914014182077,0.2727653544362317,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
e2,10.0,Z1,minimum,605.0,550.0,0.021372688062338614,0.04236602800496573,0.047956113225505595,0.2727653544362317,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
e2,10.0,P2,peak,760.0,747.0,0.5328422084754009,0.2669687083181142,0.2132264850573149,0.2727653544362317,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
e2,10.0,P3,peak,1080.0,1160.0,0.11300937103143589,0.09111270250351203,0.5350264954215425,0.2727653544362317,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
e2,10.0,Z2,minimum,1330.0,1250.0,0.16850581855701202,0.33894209098507294,0.43188033190910924,0.2727653544362317,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
e2,10.0,P4,peak,1520.0,1494.0,1.0,0.4519031058083414,0.3647759108893671,0.2727653544362317,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
hh1,-10.0,P1,peak,540.0,575.0,0.027724053888544358,0.01873129075249088,0.18229224415115872,0.26244282573907385,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
hh1,-10.0,Z1,minimum,605.0,550.0,0.020857310365478908,0.04074691654125152,0.04801986881547436,0.26244282573907385,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
hh1,-10.0,P2,peak,760.0,752.0,0.5298500417660341,0.3198964148873335,0.19475379611637944,0.26244282573907385,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
hh1,-10.0,P3,peak,1080.0,1160.0,0.11193453783574124,0.09117146033424225,0.5349737881481899,0.26244282573907385,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
hh1,-10.0,Z2,minimum,1330.0,1250.0,0.16366180615226444,0.3102132385003895,0.36526426404354445,0.26244282573907385,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
hh1,-10.0,P4,peak,1520.0,1503.0,1.0,0.5607070954706782,0.30078360707598467,0.26244282573907385,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
