Feature,paper_wavelength_nm,k_peak_contribution_per_nm,k_peak_as_fraction_of_kmax,k50_lo_per_nm,k50_hi_per_nm,k90_lo_per_nm,k90_hi_per_nm,k50_fraction_of_bz_hi,k90_fraction_of_bz_hi,diagnosis_uses_finite_k,k_peak_at_grid_edge,integration_status
P1,540.0,0.5538620577681559,0.9966666666666666,0.4075239221036599,0.5538620577681559,0.18894290933896957,0.5557144392322635,0.09966666666666667,0.1,True,True,TRUNCATED - integrand peaks at the k cutoff
Z1,605.0,0.5538620577681559,0.9966666666666666,0.41863821088830516,0.5538620577681559,0.19820481665950732,0.5557144392322635,0.09966666666666667,0.1,True,True,TRUNCATED - integrand peaks at the k cutoff
P2,760.0,0.18709052787486202,0.3366666666666666,0.11670003223877533,0.33342866353935807,0.05186668099501126,0.4834715621320692,0.06,0.08700000000000001,True,False,CONVERGED - integrand peaks inside the grid
P3,1080.0,0.5538620577681559,0.9966666666666666,0.3927048703907995,0.5538620577681559,0.17597623909021676,0.5557144392322635,0.09966666666666667,0.1,True,True,TRUNCATED - integrand peaks at the k cutoff
Z2,1330.0,0.5538620577681559,0.9966666666666666,0.4445715513858108,0.5557144392322635,0.2185810127646903,0.5557144392322635,0.1,0.1,True,True,TRUNCATED - integrand peaks at the k cutoff
P4,1520.0,0.15374766152092623,0.27666666666666667,0.09817621759769987,0.3056429415777449,0.050014299530903715,0.4779144177397466,0.05499999999999999,0.08600000000000001,True,False,CONVERGED - integrand peaks inside the grid
