transition,k_per_nm,transition_energy_eV,one_photon_fundamental_wavelength_nm,two_photon_fundamental_wavelength_nm
DeltaE_11,0.0,1.4933526957039993,830.2405639998619,1660.4811279997239
DeltaE_11,0.0018523814641075449,1.4933554267852494,830.2390456376578,1660.4780912753156
DeltaE_11,0.0037047629282150898,1.4933635117239505,830.2345507964898,1660.4691015929795
DeltaE_11,0.005557144392322634,1.4933769865542523,830.2270595402407,1660.4541190804814
DeltaE_11,0.0074095258564301795,1.4933958505488052,830.2165724354835,1660.433144870967
DeltaE_11,0.009261907320537725,1.493420102689543,830.203090275225,1660.40618055045
DeltaE_11,0.011114288784645269,1.493449741666993,830.1866140792172,1660.3732281584344
DeltaE_11,0.012966670248752815,1.493484765880195,830.1671450939062,1660.3342901878125
DeltaE_11,0.014819051712860359,1.4935251734360953,830.1446847926549,1660.2893695853097
DeltaE_11,0.016671433176967905,1.493570962149398,830.1192348756874,1660.2384697513749
DeltaE_11,0.01852381464107545,1.4936221295420506,830.0907972702186,1660.1815945404371
DeltaE_11,0.020376196105182993,1.493678678138205,830.0593711877865,1660.118742375573
DeltaE_11,0.022228577569290538,1.4937406001553595,830.0249616319261,1660.0499232638522
DeltaE_11,0.024080959033398082,1.4938078916507649,829.9875715356466,1659.9751430712931
DeltaE_11,0.02593334049750563,1.49388054896867,829.9472037359025,1659.894407471805
DeltaE_11,0.027785721961613174,1.4939585681575827,829.9038612971923,1659.8077225943846
DeltaE_11,0.029638103425720718,1.4940419449689362,829.8575475120152,1659.7150950240305
DeltaE_11,0.031490484889828266,1.4941306748563403,829.8082659009812,1659.6165318019623
DeltaE_11,0.03334286635393581,1.4942247529747466,829.756020212949,1659.512040425898
DeltaE_11,0.035195247818043354,1.4943241741790514,829.7008144254537,1659.4016288509074
DeltaE_11,0.0370476292821509,1.4944289330235083,829.6426527446648,1659.2853054893296
DeltaE_11,0.03890001074625844,1.4945390237600646,829.5815396059196,1659.1630792118392
DeltaE_11,0.04075239221036599,1.494654440337373,829.5174796738607,1659.0349593477215
DeltaE_11,0.04260477367447353,1.4947751763997306,829.4504778425928,1658.9009556851856
DeltaE_11,0.044457155138581075,1.4949012252849208,829.3805392364267,1658.7610784728533
DeltaE_11,0.04630953660268862,1.4950325800238757,829.3076692095915,1658.615338419183
DeltaE_11,0.048161918066796164,1.4951692333382838,829.2318733470667,1658.4637466941333
DeltaE_11,0.050014299530903715,1.4953111776395411,829.1531574646452,1658.3063149292905
DeltaE_11,0.05186668099501126,1.4954584050265494,829.071527609617,1658.143055219234
DeltaE_11,0.0537190624591188,1.4956109072850592,828.9869900605721,1657.9739801211442
DeltaE_11,0.05557144392322635,1.4957686758847697,828.8995513284281,1657.7991026568561
DeltaE_11,0.05742382538733389,1.4959317019782796,828.809218156408,1657.618436312816
DeltaE_11,0.059276206851441436,1.4960999763987903,828.7159975206888,1657.4319950413776
DeltaE_11,0.06112858831554898,1.496273489658157,828.6198966308361,1657.2397932616723
DeltaE_11,0.06298096977965653,1.4964522319455162,828.5209229298964,1657.0418458597928
DeltaE_11,0.06483335124376408,1.4966361931240764,828.4190840954861,1656.8381681909723
DeltaE_11,0.06668573270787162,1.496825362729986,828.3143880397082,1656.6287760794164
DeltaE_11,0.06853811417197916,1.4970197299695467,828.2068429099623,1656.4136858199247
DeltaE_11,0.07039049563608671,1.497219283717058,828.0964570893851,1656.1929141787703
DeltaE_11,0.07224287710019425,1.4974240125127716,827.9832391972062,1655.9664783944124
DeltaE_11,0.0740952585643018,1.4976339045601343,827.8671980894776,1655.7343961789552
DeltaE_11,0.07594764002840934,1.4978489477233972,827.7483428595766,1655.4966857191532
DeltaE_11,0.07780002149251689,1.4980691295255115,827.6266828385295,1655.253365677059
DeltaE_11,0.07965240295662443,1.4982944371448026,827.5022275959889,1655.0044551919777
DeltaE_11,0.08150478442073197,1.498524857413416,827.3749869402083,1654.7499738804165
DeltaE_11,0.08335716588483952,1.4987603768136795,827.2449709191474,1654.4899418382947
DeltaE_11,0.08520954734894706,1.4990009814758432,827.112189820793,1654.224379641586
DeltaE_11,0.0870619288130546,1.4992466571753567,826.9766541737146,1653.9533083474291
DeltaE_11,0.08891431027716215,1.499497389330272,826.8383747475274,1653.6767494950548
DeltaE_11,0.0907666917412697,1.4997531629977876,826.6973625538081,1653.3947251076163
DeltaE_11,0.09261907320537724,1.5000139628722022,826.5536288462098,1653.1072576924196
DeltaE_11,0.09447145466948478,1.5002797732816204,826.4071851212443,1652.8143702424886
DeltaE_11,0.09632383613359233,1.5005505781848898,826.2580431189143,1652.5160862378286
DeltaE_11,0.09817621759769987,1.5008263611695543,826.1062148227637,1652.2124296455274
DeltaE_11,0.10002859906180743,1.5011071054478706,825.9517124609727,1651.9034249219453
DeltaE_11,0.10188098052591497,1.501392793854887,825.7945485062959,1651.5890970125918
DeltaE_11,0.10373336199002252,1.501683408844704,825.6347356769794,1651.2694713539588
DeltaE_11,0.10558574345413006,1.5019789324884696,825.4722869367015,1650.944573873403
DeltaE_11,0.1074381249182376,1.5022793464708888,825.3072154953095,1650.614430990619
DeltaE_11,0.10929050638234515,1.5025846320880065,825.1395348088353,1650.2790696176705
DeltaE_11,0.1111428878464527,1.5028947702439759,824.9692585800468,1649.9385171600936
DeltaE_11,0.11299526931056024,1.5032097384558742,824.7964024006336,1649.5928048012672
DeltaE_11,0.11484765077466778,1.5035295137529416,824.620982156345,1649.24196431269
DeltaE_11,0.11670003223877533,1.5038540819578594,824.4430089373159,1648.8860178746318
DeltaE_11,0.11855241370288287,1.5041834223834287,824.2624974336119,1648.5249948672238
