case,major_peak_count,peak_wavelengths_nm,dominant_peak_nm,normalized_RMSE,spectral_correlation,rank1_peak_nm,rank1_peak_norm,rank2_peak_nm,rank2_peak_norm,rank3_peak_nm,rank3_peak_norm,rank4_peak_nm,rank4_peak_norm,Z1_minimum_nm,Z1_minimum_norm,Z2_minimum_nm,Z2_minimum_norm
23A,4,644.0;751.0;1287.0;1502.0,1502.0,0.2913604332576591,0.11151253089873811,1502.0,1.0,1287.0,0.9734511287965952,751.0,0.5541210224851444,644.0,0.44542420005001127,550.0,0.04508129286892499,1250.0,0.4277626108061773
23B,3,751.0;1377.0;1502.0,1502.0,0.2766391185110278,0.23059506399534518,1502.0,1.0,1377.0,0.9861389710774016,751.0,0.5348843939077984,,,550.0,0.022910028544721097,1250.0,0.17955097527494754
23C,3,752.0;1375.0;1503.0,1503.0,0.25891467029269294,0.25603316075168153,1503.0,1.0,1375.0,0.8595893424850244,752.0,0.5291294168356009,,,550.0,0.020413113633735,1250.0,0.16026058814817717
23D,3,752.0;1376.0;1503.0,1503.0,0.2623911178693678,0.24755539373508834,1503.0,1.0,1376.0,0.9075002905390831,752.0,0.5298169782402193,,,550.0,0.020805620815258073,1250.0,0.16325487004214348
24_state_corrected_hh2_pair1+2,3,683.0;1365.0;1495.0,1365.0,0.28030644976444374,0.1485999898079364,1365.0,1.0,1495.0,0.8033639093273364,683.0,0.4731739661125806,,,550.0,0.02366714942685447,1250.0,0.18766040950258106
