case,major_peak_count,peak_wavelengths_nm,dominant_peak_nm,normalized_RMSE,spectral_correlation,rank1_peak_nm,rank1_peak_norm,rank2_peak_nm,rank2_peak_norm,rank3_peak_nm,rank3_peak_norm,Z1_minimum_nm,Z1_minimum_norm,Z2_minimum_nm,Z2_minimum_norm,relative_complex_RMSE_vs_production
production [010],3,752.0;1376.0;1503.0,1503.0,0.2623911178693678,0.24755539373508834,1503.0,1.0,1376.0,0.9075002905390831,752.0,0.5298169782402193,550.0,0.020805620815258073,1250.0,0.16325487004214348,0.0
alternate yz45,3,752.0;1379.0;1503.0,1503.0,0.2681998238338868,0.2359336980042204,1503.0,1.0,1379.0,0.9748378156306986,752.0,0.5335681637799935,550.0,0.021230674080899504,1250.0,0.16637710797066582,0.019866317620910116
