wavelength_nm,real_chi2_pm_per_V,imag_chi2_pm_per_V,abs_chi2_pm_per_V
400.0,0.40012186068645395,0.001914530616324899,0.400126441049165
401.0,0.40379999643737224,0.0019421475634137843,0.4038046669616139
402.0,0.4075114294292946,0.0019701659365599714,0.4075161919106093
403.0,0.41125650971258537,0.0019985920609302903,0.41126136598421675
404.0,0.41503559198016166,0.002027432375424107,0.4150405439139171
405.0,0.41884903564357595,0.002056693435039511,0.41885408515071126
406.0,0.42269720491059604,0.002086381913296046,0.4227023539427224
407.0,0.4265804688643159,0.0021165046047155866,0.4265857194143299
408.0,0.4304992015438338,0.002147068427362906,0.43050455564687146
409.0,0.43445378202653656,0.002178080425447579,0.4344592417609517
410.0,0.4384445945120199,0.00220954777198889,0.4384501620003877
411.0,0.44247202840769423,0.002241477771545525,0.4424777058178408
412.0,0.44653647841610344,0.002273877863011759,0.4465422679621618
413.0,0.4506383446240071,0.002306755622482077,0.4506442485675005
414.0,0.4547780325932603,0.002340118766186043,0.4547840532442143
415.0,0.45895595345354046,0.0023739751534954468,0.4589620931716233
416.0,0.4631725239969564,0.002408332790005693,0.4631787851926495
417.0,0.46742816677459587,0.0024431998306935847,0.4674345519103954
418.0,0.47172331019504427,0.0024785845831535717,0.4717298217866937
419.0,0.47605838862493816,0.002514495510914777,0.47606502924269395
420.0,0.48043384249158444,0.0025509412368410057,0.4804406147615149
421.0,0.4848501183877122,0.002587930546616168,0.48485702499303096
422.0,0.4893076691783974,0.0026254723923175103,0.48931471286083233
423.0,0.49380695411021824,0.002663575896079199,0.4938141376714172
424.0,0.4983484389226954,0.0027022503538488498,0.4983557652256692
425.0,0.5029325959620708,0.002741505239239688,0.5029400679326756
426.0,0.5075599042974875,0.002781350207481091,0.5075675249259466
427.0,0.5122308498396239,0.00282179509947042,0.5122386221820907
428.0,0.5169459254618486,0.002862849945929046,0.5169538526420129
429.0,0.5217056311239541,0.0029045249716656532,0.5217137163346909
430.0,0.5265104739985373,0.002946830599949959,0.5265187205036012
431.0,0.5313609686000929,0.0029897774570001147,0.5313693797358587
432.0,0.5362576369168843,0.0030333763765871624,0.5362662160941364
433.0,0.5412010085456662,0.0030776384047599766,0.5412097592514354
434.0,0.5461916208293308,0.003122574804694359,0.5462005466287839
435.0,0.55123001899755,0.003168197061669941,0.5512391235359305
436.0,0.5563167563104903,0.0032145168881787586,0.5563260433151137
437.0,0.5614523942056837,0.00326154622916946,0.5614618674879884
438.0,0.5666375024481266,0.003309297267431253,0.5666471659057821
439.0,0.5718726592837027,0.0033577824291218536,0.5718825169027771
440.0,0.5771584515960027,0.0034070143894437753,0.5771685074531919
441.0,0.5824954750666418,0.0034570060784735665,0.5825057333315607
442.0,0.587884334339152,0.003507770687148618,0.5878947992766915
443.0,0.5933256431865644,0.0035593216734164717,0.5933363191593156
444.0,0.598820024682751,0.003611672768551598,0.5988309161534978
445.0,0.6043681113776516,0.0036648379836448854,0.6043792229119361
446.0,0.6099705454764704,0.003718831616271186,0.609981881745231
447.0,0.615627979022959,0.003773668257340537,0.615639544805245
448.0,0.6213410740868899,0.0038293627981387996,0.621352874272655
449.0,0.6271105029558334,0.0038859304375636794,0.6271225425488098
450.0,0.6329369483313572,0.003943386689562351,0.6329492324520146
451.0,0.6388211035297634,0.004001747390777043,0.6388336374183534
452.0,0.6447636726874912,0.004061028708405281,0.6447764617071817
453.0,0.6507653709713103,0.004121247148281612,0.6507784206114123
454.0,0.6568269247934333,0.004182419563187957,0.6568402406727233
455.0,0.6629490720316902,0.004244563161399974,0.6629626599018306
456.0,0.6691325622548948,0.00430769551547707,0.669146428003957
457.0,0.6753781569535576,0.004371834571304011,0.6753923066096498
458.0,0.6816866297760849,0.004436998657392321,0.6817010695110891
459.0,0.6880587667706217,0.0045032064944500435,0.6880735029040433
460.0,0.6944953666326976,0.004570477205228632,0.6945104056356309
461.0,0.7009972409588392,0.004638830324656229,0.7010125894580538
462.0,0.7075652145063133,0.004708285810266743,0.7075808792884642
463.0,0.7142001254591801,0.004778864052934669,0.7142161134751477
464.0,0.7209028257008396,0.004850585887925862,0.7209191440702011
465.0,0.7276741810932447,0.0049234726062748575,0.7276908371088844
466.0,0.734515071762987,0.0049975459664998315,0.7345320728958493
467.0,0.741426392394449,0.005072828206666592,0.7414437462984375
468.0,0.748409052530221,0.0051493420568134735,0.7484267670472518
469.0,0.7554639768790051,0.0052271107517495585,0.7554820600442164
470.0,0.7625921056312215,0.005306158044238965,0.7626105656783484
471.0,0.7697943947825385,0.005386508218584514,0.7698132401494557
472.0,0.7770718164655721,0.005468186104624687,0.7770910558000128
473.0,0.7844253592899815,0.005551217092158183,0.7844450014554372
474.0,0.7918560286912282,0.005635627145810973,0.791876082773037
475.0,0.7993648472882416,0.00572144282036149,0.7993853225998715
476.0,0.8069528552502764,0.0058086912765400395,0.8069737613398094
477.0,0.8146211106732151,0.005897400297319153,0.814642457330042
478.0,0.8223706899656333,0.00598759830471247,0.8223924872273642
479.0,0.8302026882448963,0.006079314377100187,0.8302249464044958
480.0,0.8381182197436093,0.006172578267100009,0.8381409493567658
481.0,0.8461184182267427,0.006267420420003317,0.8461416301194772
482.0,0.8542044374197474,0.006363871992796838,0.8542281426962751
483.0,0.8623774514480138,0.006461964873791316,0.8624016614988642
484.0,0.8706386552880263,0.006561731702879169,0.8706633817984326
485.0,0.8789892652305719,0.0066632058924443426,0.8790145201891411
