wavelength_nm,real_chi2_pm_per_V,imag_chi2_pm_per_V,abs_chi2_pm_per_V
400.0,0.3998461260137823,0.0019126380684906072,0.39985070047782895
401.0,0.40352073443453135,0.0019402223899742512,0.4035253989298643
402.0,0.4072285979573098,0.001968207609651918,0.40723335427672297
403.0,0.41097006614688736,0.0019966000447694436,0.4109749161208209
404.0,0.41474549320536797,0.0020254061262069403,0.4147504387027698
405.0,0.41855523804823797,0.002054632400844745,0.41856028097744746
406.0,0.4223996643819124,0.0020842855339860125,0.4224048066915662
407.0,0.4262791407828155,0.0021143723118374922,0.4262843844627768
408.0,0.4301940407780251,0.002144899644050058,0.4301993878603364
409.0,0.4341447429275301,0.0021758745663206743,0.4341501954873907
410.0,0.4381316309081205,0.002207304243057423,0.4381371910648889
411.0,0.44215509359896565,0.0022391959701094006,0.44216076351718797
412.0,0.4462155251689086,0.0022715571775632146,0.4462213070593737
413.0,0.4503133251655236,0.002304395432607979,0.4503192212863453
414.0,0.45444889860597387,0.002337718442470681,0.4544549112637017
415.0,0.45862265606971614,0.0023715340574239252,0.4586287876204749
416.0,0.4628350137930927,0.002405850273868027,0.46284126664375186
417.0,0.467086393765861,0.002440675237489617,0.4670927703752348
418.0,0.471377223829698,0.002476017246498845,0.47138372670977746
419.0,0.4757079377787402,0.0025118847549474906,0.4757145694959572
420.0,0.4800789754621945,0.0025482863761301954,0.48008573863871973
421.0,0.484490782889081,0.002585230886071256,0.4844976802041563
422.0,0.48894381233515294,0.0026227272270993906,0.48895084652645915
423.0,0.49343852245204944,0.0026607845115130258,0.4934456963171109
424.0,0.497975378378738,0.0026994120253386877,0.49798269477636453
425.0,0.5025548518552964,0.0027386192321852323,0.5025623137070643
426.0,0.5071774213390995,0.002778415777196645,0.5071850316308728
427.0,0.5118435721234654,0.0028188114911063366,0.5118513339069574
428.0,0.516553796458824,0.002859816394395856,0.516561712853202
429.0,0.5213085936764702,0.00290144070156111,0.5213166678700037
430.0,0.5261084703149663,0.002943694825489255,0.5261167055667206
431.0,0.5309539402492622,0.002986589381949508,0.5309623398908377
432.0,0.5358455248225997,0.0030301351942013067,0.5358540922599196
433.0,0.5407837529812709,0.0030743432977232412,0.5407924916964182
434.0,0.5457691614123049,0.0031192249450664256,0.5457780749654098
435.0,0.5508022946841584,0.0031647916108360204,0.5508113867153388
