requested_index,k_per_nm,kx_per_nm,ky_per_nm,kz_per_nm
0,0,0,0,0
1,0.00092619073205377244,0,0.00092619073205377244,0
2,0.0018523814641075449,0,0.0018523814641075449,0
3,0.0027785721961613172,0,0.0027785721961613172,0
4,0.0037047629282150898,0,0.0037047629282150898,0
5,0.0046309536602688623,0,0.0046309536602688623,0
6,0.0055571443923226344,0,0.0055571443923226344,0
7,0.0064833351243764074,0,0.0064833351243764074,0
8,0.0074095258564301795,0,0.0074095258564301795,0
9,0.0083357165884839525,0,0.0083357165884839525,0
10,0.0092619073205377246,0,0.0092619073205377246,0
11,0.010188098052591497,0,0.010188098052591497,0
12,0.011114288784645269,0,0.011114288784645269,0
13,0.012040479516699041,0,0.012040479516699041,0
14,0.012966670248752815,0,0.012966670248752815,0
15,0.013892860980806587,0,0.013892860980806587,0
16,0.014819051712860359,0,0.014819051712860359,0
17,0.015745242444914133,0,0.015745242444914133,0
18,0.016671433176967905,0,0.016671433176967905,0
19,0.017597623909021677,0,0.017597623909021677,0
20,0.018523814641075449,0,0.018523814641075449,0
21,0.019450005373129221,0,0.019450005373129221,0
22,0.020376196105182993,0,0.020376196105182993,0
23,0.021302386837236766,0,0.021302386837236766,0
24,0.022228577569290538,0,0.022228577569290538,0
25,0.02315476830134431,0,0.02315476830134431,0
26,0.024080959033398082,0,0.024080959033398082,0
27,0.025007149765451857,0,0.025007149765451857,0
28,0.02593334049750563,0,0.02593334049750563,0
29,0.026859531229559402,0,0.026859531229559402,0
30,0.027785721961613174,0,0.027785721961613174,0
31,0.028711912693666946,0,0.028711912693666946,0
32,0.029638103425720718,0,0.029638103425720718,0
33,0.03056429415777449,0,0.03056429415777449,0
34,0.031490484889828266,0,0.031490484889828266,0
35,0.032416675621882038,0,0.032416675621882038,0
36,0.03334286635393581,0,0.03334286635393581,0
37,0.034269057085989582,0,0.034269057085989582,0
38,0.035195247818043354,0,0.035195247818043354,0
39,0.036121438550097126,0,0.036121438550097126,0
40,0.037047629282150898,0,0.037047629282150898,0
41,0.037973820014204671,0,0.037973820014204671,0
42,0.038900010746258443,0,0.038900010746258443,0
