x[nm]                    E_12_real[eV]            Psi_12_so2_real[nm^-1/2] E_12_imag[eV]            Psi_12_so2_imag[nm^-1/2]
7.1142317671146          2.9525116792099          2.9509891562254          2.9525116792099          2.9528326102536
7.260978922993           2.9525116792099          2.9774548754435          2.9525116792099          2.9472539286974
7.4003918486039          2.9525116792099          2.9713993950925          2.9525116792099          2.9485303571318
7.532837099151           2.9525116792099          2.9712147429574          2.9525116792099          2.9485692797642
7.6586629098899          2.9525116792099          2.970766839675           2.9525116792099          2.9486636928334
7.7782001117354          2.9525116792099          2.9706894512775          2.9525116792099          2.9486800054536
7.891763001107           2.9525116792099          2.9708448892653          2.9525116792099          2.9486472408411
7.9996501663019          2.9525116792099          2.9711935318169          2.9525116792099          2.9485737508386
8.1021452725658          2.9525116792099          2.9717030933089          2.9525116792099          2.9484663408992
8.1995178079279          2.9525116792099          2.9723489525076          2.9525116792099          2.9483302009073
8.2920237917592          2.9525116792099          2.9731112326745          2.9525116792099          2.94816952066
8.3799064479186          2.9525116792099          2.9739732104851          2.9525116792099          2.9479878252497
8.4633968442558          2.9525116792099          2.974920226941           2.9525116792099          2.9477882046313
8.5427145001525          2.9525116792099          2.9759384544064          2.9525116792099          2.9475735735179
8.6180679636999          2.9525116792099          2.97701197029            2.9525116792099          2.9473472882162
8.6896553600291          2.9525116792099          2.9781625633321          2.9525116792099          2.9471047558999
8.7576649122373          2.9525116792099          2.9792956272038          2.9525116792099          2.9468659185394
8.8222754362784          2.9525116792099          2.9803610855218          2.9525116792099          2.9466413316835
8.8836568111193          2.9525116792099          2.9813475036451          2.9525116792099          2.9464334056285
8.9419704253995          2.9525116792099          2.9822512979697          2.9525116792099          2.9462428957584
8.9973696017656          2.9525116792099          2.9830712694686          2.9525116792099          2.946070054815
9.05                     2.9525116792099          2.983807448896           2.9525116792099          2.9459148763156
9.1                      2.9525116792099          2.9844608366545          2.9525116792099          2.9457771493864
9.15                     2.9525116792099          2.9850626738659          2.9525116792099          2.9456502887436
9.2                      2.9525116792099          2.9856054933777          2.9525116792099          2.9455358683807
9.25                     2.9525116792099          2.986081935385           2.9525116792099          2.9454354396632
9.3                      2.9525116792099          2.9864851863365          2.9525116792099          2.9453504388126
9.35                     2.9525116792099          2.9868096254371          2.9525116792099          2.9452820506304
9.4                      2.9525116792099          2.9870517408843          2.9525116792099          2.9452310153659
9.45                     2.9525116792099          2.9872114007828          2.9525116792099          2.9451973608212
9.5                      2.9525116792099          2.9872935916992          2.9525116792099          2.945180035883
9.55                     2.9525116792099          2.9873107736806          2.9525116792099          2.945176414111
9.6                      2.9525116792099          2.9872860471595          2.9525116792099          2.9451816261887
9.65                     2.9525116792099          2.9871912589369          2.9525116792099          2.9452016065001
9.7                      2.9525116792099          2.9869998236562          2.9525116792099          2.9452419589447
9.75                     2.9525116792099          2.9867419853752          2.9525116792099          2.945296308409
9.8                      2.9525116792099          2.9864378132971          2.9525116792099          2.9453604245265
9.85                     2.9525116792099          2.9861005770586          2.9525116792099          2.9454315102041
9.9                      2.9525116792099          2.9857390132607          2.9525116792099          2.9455077238628
9.95                     2.9525116792099          2.9853588455875          2.9525116792099          2.945587859013
10                       2.9525116792099          2.9849638027752          2.9525116792099          2.9456711296785
10.05                    2.9525116792099          2.9845562990329          2.9525116792099          2.9457570269705
10.1                     2.9525116792099          2.9841378877863          2.9525116792099          2.945845223444
10.15                    2.9525116792099          2.9837095633847          2.9525116792099          2.9459355095012
10.2                     2.9525116792099          2.9832719609861          2.9525116792099          2.9460277512578
10.25                    2.9525116792099          2.9828254883775          2.9525116792099          2.9461218627567
10.3                     2.9525116792099          2.982370412399           2.9525116792099          2.9462177877512
10.35                    2.9525116792099          2.9819069151782          2.9525116792099          2.9463154878505
10.4                     2.9525116792099          2.9814351303585          2.9525116792099          2.9464149348843
10.45                    2.9525116792099          2.98095516613            2.9525116792099          2.9465161060471
10.5                     2.9525116792099          2.9804671196038          2.9525116792099          2.9466189808691
10.55                    2.9525116792099          2.9799710855503          2.9525116792099          2.9467235393738
10.6                     2.9525116792099          2.9794671615029          2.9525116792099          2.9468297610021
10.65                    2.9525116792099          2.9789554505495          2.9525116792099          2.9469376240242
10.7                     2.9525116792099          2.9784360626753          2.9525116792099          2.9470471052565
10.75                    2.9525116792099          2.9779091152244          2.9525116792099          2.9471581799642
10.8                     2.9525116792099          2.9773747328421          2.9525116792099          2.9472708218733
10.85                    2.9525116792099          2.9768330471307          2.9525116792099          2.9473850032437
10.9                     2.9525116792099          2.9762841961634          2.9525116792099          2.9475006949709
10.95                    2.9525116792099          2.9757283239451          2.9525116792099          2.9476178667004
11                       2.9525116792099          2.9751655798725          2.9525116792099          2.9477364869409
11.05                    2.9525116792099          2.974596118222           2.9525116792099          2.9478565231727
11.1                     2.9525116792099          2.974020097679           2.9525116792099          2.9479779419466
11.15                    2.9525116792099          2.9734376809164          2.9525116792099          2.9481007089731
11.2                     2.9525116792099          2.9728490342195          2.9525116792099          2.9482247892009
11.25                    2.9525116792099          2.9722543271567          2.9525116792099          2.9483501468871
11.3                     2.9525116792099          2.9716537322909          2.9525116792099          2.9484767456571
11.35                    2.9525116792099          2.9710474249277          2.9525116792099          2.9486045485585
11.4                     2.9525116792099          2.9704355828941          2.9525116792099          2.9487335181074
11.45                    2.9525116792099          2.9698183863449          2.9525116792099          2.948863616329
11.5                     2.9525116792099          2.9691960175916          2.9525116792099          2.9489948047943
11.55                    2.9525116792099          2.9685686609508          2.9525116792099          2.9491270446511
11.6                     2.9525116792099          2.9679365026086          2.9525116792099          2.9492602966537
11.65                    2.9525116792099          2.9672997304979          2.9525116792099          2.9493945211877
11.7                     2.9525116792099          2.9666585341878          2.9525116792099          2.9495296782941
11.75                    2.9525116792099          2.9660131047814          2.9525116792099          2.9496657276905
11.8                     2.9525116792099          2.965363634821           2.9525116792099          2.9498026287911
