x[nm]                E_2[eV]              Psi^2_2[nm^-1]      
7.1142317671146      1.3976942530798      1.3976942945828
7.260978922993       1.3976942530798      1.3977153017412
7.4003918486039      1.3976942530798      1.3977746521162
7.532837099151       1.3976942530798      1.3978765894084
7.6586629098899      1.3976942530798      1.3980300686295
7.7782001117354      1.3976942530798      1.3982480864012
7.891763001107       1.3976942530798      1.3985474099384
7.9996501663019      1.3976942530798      1.398948467332
8.1021452725658      1.3976942530798      1.3994752667526
8.1995178079279      1.3976942530798      1.4001552680296
8.2920237917592      1.3976942530798      1.4010191624399
8.3799064479186      1.3976942530798      1.4021005375469
8.4633968442558      1.3976942530798      1.4034354191609
8.5427145001525      1.3976942530798      1.4050616944224
8.6180679636999      1.3976942530798      1.4070184295903
8.6896553600291      1.3976942530798      1.4093148211384
8.7576649122373      1.3976942530798      1.4119485525024
8.8222754362784      1.3976942530798      1.4149110697762
8.8836568111193      1.3976942530798      1.4181848790119
8.9419704253995      1.3976942530798      1.4217445802017
8.9973696017656      1.3976942530798      1.4255582554239
9.05                 1.3976942530798      1.4295890617701
9.1                  1.3976942530798      1.4337968914287
9.15                 1.3976942530798      1.4383774302608
9.2                  1.3976942530798      1.4433284342936
9.25                 1.3976942530798      1.4486402247033
9.3                  1.3976942530798      1.4542946465586
9.35                 1.3976942530798      1.4602640944513
9.4                  1.3976942530798      1.4665106513534
9.45                 1.3976942530798      1.4729853915237
9.5                  1.3976942530798      1.4796279014515
9.55                 1.3976942530798      1.486366074262
9.6                  1.3976942530798      1.4931162323042
9.65                 1.3976942530798      1.4998236131589
9.7                  1.3976942530798      1.5064588780391
9.75                 1.3976942530798      1.5129843033301
9.8                  1.3976942530798      1.5193627898901
9.85                 1.3976942530798      1.5255580739715
9.9                  1.3976942530798      1.5315349333918
9.95                 1.3976942530798      1.5372593877827
10                   1.3976942530798      1.5426988917799
10.05                1.3976942530798      1.5478225200536
10.1                 1.3976942530798      1.5526011431291
10.15                1.3976942530798      1.5570075929973
10.2                 1.3976942530798      1.5610168175733
10.25                1.3976942530798      1.564606023126
10.3                 1.3976942530798      1.5677548038674
10.35                1.3976942530798      1.5704452579662
10.4                 1.3976942530798      1.5726620893255
10.45                1.3976942530798      1.5743926945461
10.5                 1.3976942530798      1.5756272345806
10.55                1.3976942530798      1.5763586906718
10.6                 1.3976942530798      1.5765829042567
10.65                1.3976942530798      1.5762986006088
10.7                 1.3976942530798      1.5755073960859
10.75                1.3976942530798      1.5742137889401
10.8                 1.3976942530798      1.5724251337442
10.85                1.3976942530798      1.5701515995781
10.9                 1.3976942530798      1.567406112215
10.95                1.3976942530798      1.5642042806335
11                   1.3976942530798      1.560564308276
11.05                1.3976942530798      1.556506889556
11.1                 1.3976942530798      1.5520550922041
11.15                1.3976942530798      1.5472342261199
11.2                 1.3976942530798      1.5420716994778
11.25                1.3976942530798      1.5365968629021
11.3                 1.3976942530798      1.5308408425997
11.35                1.3976942530798      1.5248363633974
11.4                 1.3976942530798      1.5186175626906
11.45                1.3976942530798      1.5122197963616
11.5                 1.3976942530798      1.5056794377697
11.55                1.3976942530798      1.4990336709571
11.6                 1.3976942530798      1.4923202792456
11.65                1.3976942530798      1.4855774304264
11.7                 1.3976942530798      1.4788434597637
11.75                1.3976942530798      1.4721566520467
11.8                 1.3976942530798      1.465555023928
11.85                1.3976942530798      1.4590761077866
11.9                 1.3976942530798      1.4527567383448
11.95                1.3976942530798      1.4466328432503
12                   1.3976942530798      1.4407392388164
12.05                1.3976942530798      1.4351094320799
12.1                 1.3976942530798      1.4297754303028
12.15                1.3976942530798      1.4247675590009
12.2                 1.3976942530798      1.4201142895332
12.25                1.3976942530798      1.4158420772332
12.3                 1.3976942530798      1.4119752110021
12.35                1.3976942530798      1.408535675218
12.4                 1.3976942530798      1.4055430247481
12.45                1.3976942530798      1.4030142737729
12.5                 1.3976942530798      1.4009637990551
12.55                1.3976942530798      1.3994032582029
12.6                 1.3976942530798      1.398341523393
12.65                1.3976942530798      1.3977846309293
12.7                 1.3976942530798      1.3977357469245
12.75                1.3976942530798      1.3981951493
12.8                 1.3976942530798      1.3991602262054
12.85                1.3976942530798      1.4006254908682
12.9                 1.3976942530798      1.4025826127874
12.95                1.3976942530798      1.4050204650955
13                   1.3976942530798      1.4079251878181
13.05                1.3976942530798      1.4112802666721
13.1                 1.3976942530798      1.4150666269552
13.15                1.3976942530798      1.4192627419913
13.2                 1.3976942530798      1.4238447555169
13.25                1.3976942530798      1.4287866173113
13.3                 1.3976942530798      1.4340602313007
13.35                1.3976942530798      1.4396356152934
13.4                 1.3976942530798      1.4454810714383
13.45                1.3976942530798      1.4515633664369
13.5                 1.3976942530798      1.457847920486
13.55                1.3976942530798      1.4642990038744
13.6                 1.3976942530798      1.4708799401183
13.65                1.3976942530798      1.4775533144783
13.7                 1.3976942530798      1.4842811866749
13.75                1.3976942530798      1.4910253065906
13.8                 1.3976942530798      1.4977473317347
13.85                1.3976942530798      1.5044090452322
13.9                 1.3976942530798      1.5109725730991
13.95                1.3976942530798      1.5174005995686
14                   1.3976942530798      1.5236565792425
14.05                1.3976942530798      1.5297049448644
14.1                 1.3976942530798      1.5355113095303
14.15                1.3976942530798      1.5410426621896
14.2                 1.3976942530798      1.5462675553233
14.25                1.3976942530798      1.5511562837334
14.3                 1.3976942530798      1.5556810534266
14.35                1.3976942530798      1.5598161396318
14.4                 1.3976942530798      1.5635380330539
14.45                1.3976942530798      1.5668255735318
14.5                 1.3976942530798      1.5696600703404
14.55                1.3976942530798      1.5720254084538
14.6                 1.3976942530798      1.5739081401639
14.65                1.3976942530798      1.5752975615354
14.7                 1.3976942530798      1.576185773261
14.75                1.3976942530798      1.5765677255713
14.8                 1.3976942530798      1.5764412469446
14.85                1.3976942530798      1.5758070564526
14.9                 1.3976942530798      1.5746687596721
14.95                1.3976942530798      1.5730328281865
15                   1.3976942530798      1.5709085627925
15.05                1.3976942530798      1.568308040622
15.1                 1.3976942530798      1.5652460464801
15.15                1.3976942530798      1.5617399887882
15.2                 1.3976942530798      1.5578098006121
15.25                1.3976942530798      1.5534778263355
15.3                 1.3976942530798      1.5487686946256
15.35                1.3976942530798      1.5437091784107
15.4                 1.3976942530798      1.5383280426679
15.45                1.3976942530798      1.5326558808846
15.5                 1.3976942530798      1.5267249411249
15.55                1.3976942530798      1.520568942689
15.6                 1.3976942530798      1.5142228844079
15.65                1.3976942530798      1.5077228456641
15.7                 1.3976942530798      1.5011057812685
