x[nm]                  E_7_real[eV]           Psi_7_s2_real[nm^-1/2] E_7_imag[eV]           Psi_7_s2_imag[nm^-1/2]
7.1142317671146        2.3390669310193        2.2994057579057        2.3390669310193        2.3049906743617
7.260978922993         2.3390669310193        3.2567160489786        2.3390669310193        3.1274966321688
7.4003918486039        2.3390669310193        2.9573489129454        2.3390669310193        2.870285093491
7.532837099151         2.3390669310193        2.886312131199         2.3390669310193        2.8092514069687
7.6586629098899        2.3390669310193        2.8068216467866        2.3390669310193        2.7409544319672
7.7782001117354        2.3390669310193        2.7441180646727        2.3390669310193        2.6870804996117
7.891763001107         2.3390669310193        2.6923936597244        2.3390669310193        2.6426397037373
7.9996501663019        2.3390669310193        2.6495730808668        2.3390669310193        2.605848935315
8.1021452725658        2.3390669310193        2.6138959290251        2.3390669310193        2.5751956871247
8.1995178079279        2.3390669310193        2.5839982909744        2.3390669310193        2.5495081063577
8.2920237917592        2.3390669310193        2.5588095437956        2.3390669310193        2.5278663306268
8.3799064479186        2.3390669310193        2.5374811407203        2.3390669310193        2.5095413018837
8.4633968442558        2.3390669310193        2.5193257122836        2.3390669310193        2.4939424430863
8.5427145001525        2.3390669310193        2.5037360203055        2.3390669310193        2.4805480247332
8.6180679636999        2.3390669310193        2.4899861969884        2.3390669310193        2.4687343926198
8.6896553600291        2.3390669310193        2.4782593736909        2.3390669310193        2.4586588903314
8.7576649122373        2.3390669310193        2.4682407092666        2.3390669310193        2.450051011303
8.8222754362784        2.3390669310193        2.4595817250111        2.3390669310193        2.442611348108
8.8836568111193        2.3390669310193        2.452042833305         2.3390669310193        2.436134050829
8.9419704253995        2.3390669310193        2.4454388621631        2.3390669310193        2.4304600226064
8.9973696017656        2.3390669310193        2.4396217062865        2.3390669310193        2.4254620136947
9.05                   2.3390669310193        2.4344712255959        2.3390669310193        2.4210368016259
9.1                    2.3390669310193        2.4298891582619        2.3390669310193        2.4170999613804
9.15                   2.3390669310193        2.425583945575         2.3390669310193        2.413400990297
9.2                    2.3390669310193        2.4215354675587        2.3390669310193        2.4099226016079
9.25                   2.3390669310193        2.4177250588268        2.3390669310193        2.4066487583066
9.3                    2.3390669310193        2.4141360107112        2.3390669310193        2.4035651045681
9.35                   2.3390669310193        2.4107539967086        2.3390669310193        2.4006593312859
9.4                    2.3390669310193        2.4075675472717        2.3390669310193        2.3979215840053
9.45                   2.3390669310193        2.4045686603784        2.3390669310193        2.3953449875146
9.5                    2.3390669310193        2.4017536244289        2.3390669310193        2.3929263528656
9.55                   2.3390669310193        2.3991241362954        2.3390669310193        2.3906671379841
9.6                    2.3390669310193        2.3966888145924        2.3390669310193        2.3885747478483
9.65                   2.3390669310193        2.3944179482347        2.3390669310193        2.3866236551608
9.7                    2.3390669310193        2.3922690120211        2.3390669310193        2.3847773229369
9.75                   2.3390669310193        2.3902256204122        2.3390669310193        2.3830216729787
9.8                    2.3390669310193        2.3882757843696        2.3390669310193        2.381346404493
9.85                   2.3390669310193        2.3864105354939        2.3390669310193        2.3797438119716
9.9                    2.3390669310193        2.3846229896092        2.3390669310193        2.3782079806391
9.95                   2.3390669310193        2.38290770908          2.3390669310193        2.3767342385643
10                     2.3390669310193        2.3812602682165        2.3390669310193        2.3753187832642
10.05                  2.3390669310193        2.3796769567646        2.3390669310193        2.3739584269467
10.1                   2.3390669310193        2.3781545772945        2.3390669310193        2.3726504224304
10.15                  2.3390669310193        2.3766903064567        2.3390669310193        2.3713923439378
10.2                   2.3390669310193        2.3752815996904        2.3390669310193        2.3701820052222
10.25                  2.3390669310193        2.3739261255065        2.3390669310193        2.3690174031049
10.3                   2.3390669310193        2.3726217199122        2.3390669310193        2.3678966783173
10.35                  2.3390669310193        2.3713663545629        2.3390669310193        2.3668180881374
10.4                   2.3390669310193        2.3701581142792        2.3390669310193        2.3657799870733
10.45                  2.3390669310193        2.3689951809647        2.3390669310193        2.3647808130452
10.5                   2.3390669310193        2.367875821906         2.3390669310193        2.3638190773329
10.55                  2.3390669310193        2.3667983810813        2.3390669310193        2.3628933571084
10.6                   2.3390669310193        2.3657612725451        2.3390669310193        2.3620022897525
10.65                  2.3390669310193        2.364762975251         2.3390669310193        2.3611445684058
10.7                   2.3390669310193        2.3638020288782        2.3390669310193        2.3603189383837
10.75                  2.3390669310193        2.3628770303678        2.3390669310193        2.3595241942
10.8                   2.3390669310193        2.3619866309634        2.3390669310193        2.3587591770246
10.85                  2.3390669310193        2.3611295336208        2.3390669310193        2.3580227724572
10.9                   2.3390669310193        2.3603044906884        2.3390669310193        2.3573139085353
10.95                  2.3390669310193        2.3595103017946        2.3390669310193        2.3566315539186
11                     2.3390669310193        2.3587458118964        2.3390669310193        2.3559747162122
11.05                  2.3390669310193        2.3580099094567        2.3390669310193        2.3553424404008
11.1                   2.3390669310193        2.3573015247282        2.3390669310193        2.3547338073745
11.15                  2.3390669310193        2.3566196281286        2.3390669310193        2.3541479325322
11.2                   2.3390669310193        2.3559632286943        2.3390669310193        2.3535839644536
11.25                  2.3390669310193        2.3553313726048        2.3390669310193        2.3530410836313
11.3                   2.3390669310193        2.3547231417716        2.3390669310193        2.3525185012578
11.35                  2.3390669310193        2.3541376524848        2.3390669310193        2.3520154580637
11.4                   2.3390669310193        2.3535740541163        2.3390669310193        2.3515312232025
11.45                  2.3390669310193        2.3530315278733        2.3390669310193        2.3510650931804
11.5                   2.3390669310193        2.3525092856011        2.3390669310193        2.3506163908273
11.55                  2.3390669310193        2.3520065686324        2.3390669310193        2.350184464308
11.6                   2.3390669310193        2.3515226466803        2.3390669310193        2.3497686861717
11.65                  2.3390669310193        2.3510568167744        2.3390669310193        2.3493684524371
11.7                   2.3390669310193        2.3506084022361        2.3390669310193        2.3489831817127
11.75                  2.3390669310193        2.3501767516939        2.3390669310193        2.3486123143504
11.8                   2.3390669310193        2.3497612381354        2.3390669310193        2.3482553116307
11.85                  2.3390669310193        2.3493612579944        2.3390669310193        2.3479116549793
11.9                   2.3390669310193        2.3489762302737        2.3390669310193        2.3475808452125
11.95                  2.3390669310193        2.3486055956996        2.3390669310193        2.347262401811
12                     2.3390669310193        2.3482488159091        2.3390669310193        2.3469558622218
12.05                  2.3390669310193        2.3479053726666        2.3390669310193        2.3466607811852
12.1                   2.3390669310193        2.3475747671114        2.3390669310193        2.3463767300877
12.15                  2.3390669310193        2.3472565190318        2.3390669310193        2.346103296339
12.2                   2.3390669310193        2.3469501661675        2.3390669310193        2.3458400827723
12.25                  2.3390669310193        2.3466552635379        2.3390669310193        2.3455867070674
12.3                   2.3390669310193        2.3463713827951        2.3390669310193        2.3453428011945
12.35                  2.3390669310193        2.3460981116021        2.3390669310193        2.3451080108799
12.4                   2.3390669310193        2.345835053033         2.3390669310193        2.3448819950913
12.45                  2.3390669310193        2.3455818249964        2.3390669310193        2.3446644255418
12.5                   2.3390669310193        2.3453380596808        2.3390669310193        2.3444549862135
12.55                  2.3390669310193        2.3451034030195        2.3390669310193        2.3442533728978
12.6                   2.3390669310193        2.3448775141768        2.3390669310193        2.3440592927539
12.65                  2.3390669310193        2.3446600650522        2.3390669310193        2.3438724638834
12.7                   2.3390669310193        2.3444507398046        2.3390669310193        2.3436926149202
12.75                  2.3390669310193        2.3442492343926        2.3390669310193        2.3435194846369
12.8                   2.3390669310193        2.3440552561335        2.3390669310193        2.3433528215651
12.85                  2.3390669310193        2.3438685232778        2.3390669310193        2.34319238363
12.9                   2.3390669310193        2.3436887645998        2.3390669310193        2.3430379377988
12.95                  2.3390669310193        2.3435157190041        2.3390669310193        2.3428892597424
13                     2.3390669310193        2.3433491351458        2.3390669310193        2.3427461335092
13.05                  2.3390669310193        2.3431887710656        2.3390669310193        2.3426083512117
13.1                   2.3390669310193        2.3430343938385        2.3390669310193        2.3424757127243
13.15                  2.3390669310193        2.3428857792353        2.3390669310193        2.3423480253927
