x[nm]                  E_8_real[eV]           Psi_8_z1_real[nm^-1/2] E_8_imag[eV]           Psi_8_z1_imag[nm^-1/2]
7.1142317671146        2.3390669310193        2.3391654375388        2.3390669310193        2.3391515662729
7.260978922993         2.3390669310193        2.3413704075106        2.3390669310193        2.3410460418231
7.4003918486039        2.3390669310193        2.3420533720615        2.3390669310193        2.3416328342329
7.532837099151         2.3390669310193        2.34222735001          2.3390669310193        2.3417823133522
7.6586629098899        2.3390669310193        2.3421367393822        2.3390669310193        2.3417044621247
7.7782001117354        2.3390669310193        2.3419340075688        2.3390669310193        2.3415302781365
7.891763001107         2.3390669310193        2.341692450177         2.3390669310193        2.3413227358213
7.9996501663019        2.3390669310193        2.3414480452736        2.3390669310193        2.341112746969
8.1021452725658        2.3390669310193        2.3412175277683        2.3390669310193        2.3409146899508
8.1995178079279        2.3390669310193        2.3410078466215        2.3390669310193        2.3407345352045
8.2920237917592        2.3390669310193        2.3408210616502        2.3390669310193        2.3405740524924
8.3799064479186        2.3390669310193        2.3406568974682        2.3390669310193        2.340433005207
8.4633968442558        2.3390669310193        2.3405140721947        2.3390669310193        2.3403102919763
8.5427145001525        2.3390669310193        2.3403909723454        2.3390669310193        2.3402045265203
8.6180679636999        2.3390669310193        2.3402859514448        2.3390669310193        2.3401142942128
8.6896553600291        2.3390669310193        2.3401974162724        2.3390669310193        2.3400382261839
8.7576649122373        2.3390669310193        2.3401224303193        2.3390669310193        2.3399737994314
8.8222754362784        2.3390669310193        2.3400583105328        2.3390669310193        2.3399187087185
8.8836568111193        2.3390669310193        2.3400030196327        2.3390669310193        2.3398712036459
8.9419704253995        2.3390669310193        2.3399549872599        2.3390669310193        2.339829934986
8.9973696017656        2.3390669310193        2.3399129840921        2.3390669310193        2.3397938465243
9.05                   2.3390669310193        2.3398760336679        2.3390669310193        2.3397620993004
9.1                    2.3390669310193        2.3398433500148        2.3390669310193        2.3397340180193
9.15                   2.3390669310193        2.3398128087129        2.3390669310193        2.3397077774126
9.2                    2.3390669310193        2.3397842209599        2.3390669310193        2.3396832152645
9.25                   2.3390669310193        2.3397574100127        2.3390669310193        2.33966017972
9.3                    2.3390669310193        2.3397322075236        2.3390669310193        2.3396385261374
9.35                   2.3390669310193        2.339708450394         2.3390669310193        2.339618114385
