x[nm]                   E_12_real[eV]           Psi_12_y2_real[nm^-1/2] E_12_imag[eV]           Psi_12_y2_imag[nm^-1/2]
7.1142317671146         2.9525116792099         2.9524985589985         2.9525116792099         2.9525056729163
7.260978922993          2.9525116792099         2.9522045773834         2.9525116792099         2.9523710912523
7.4003918486039         2.9525116792099         2.9520907798683         2.9525116792099         2.9523189959573
7.532837099151          2.9525116792099         2.9520314429257         2.9525116792099         2.9522918321346
7.6586629098899         2.9525116792099         2.9519991021298         2.9525116792099         2.9522770268613
7.7782001117354         2.9525116792099         2.9519773498963         2.9525116792099         2.9522670689197
7.891763001107          2.9525116792099         2.9519587408597         2.9525116792099         2.9522585499002
7.9996501663019         2.9525116792099         2.9519397516685         2.9525116792099         2.9522498568499
8.1021452725658         2.9525116792099         2.9519187733139         2.9525116792099         2.9522402531818
8.1995178079279         2.9525116792099         2.9518951263467         2.9525116792099         2.9522294278511
8.2920237917592         2.9525116792099         2.9518685781206         2.9525116792099         2.9522172743549
8.3799064479186         2.9525116792099         2.9518391004805         2.9525116792099         2.952203779804
8.4633968442558         2.9525116792099         2.9518067454659         2.9525116792099         2.9521889680216
8.5427145001525         2.9525116792099         2.9517715797659         2.9525116792099         2.9521728695373
8.6180679636999         2.9525116792099         2.9517336473218         2.9525116792099         2.9521555044669
8.6896553600291         2.9525116792099         2.9516938259778         2.9525116792099         2.9521372746781
8.7576649122373         2.9525116792099         2.9516534587771         2.9525116792099         2.952118795002
8.8222754362784         2.9525116792099         2.9516136194716         2.9525116792099         2.9521005569906
8.8836568111193         2.9525116792099         2.951575055067          2.9525116792099         2.9520829026154
8.9419704253995         2.9525116792099         2.951538274881          2.9525116792099         2.9520660650365
8.9973696017656         2.9525116792099         2.9515036170149         2.9525116792099         2.9520501990332
9.05                    2.9525116792099         2.9514712932248         2.9525116792099         2.952035401545
9.1                     2.9525116792099         2.9514414195933         2.9525116792099         2.9520217257135
9.15                    2.9525116792099         2.9514126396651         2.9525116792099         2.9520085505677
9.2                     2.9525116792099         2.951385214781          2.9525116792099         2.9519959957468
9.25                    2.9525116792099         2.9513594004142         2.9525116792099         2.9519841782036
9.3                     2.9525116792099         2.951335443491          2.9525116792099         2.9519732109783
9.35                    2.9525116792099         2.9513135796855         2.9525116792099         2.9519632019601
9.4                     2.9525116792099         2.9512940315023         2.9525116792099         2.9519542530093
9.45                    2.9525116792099         2.9512770083399         2.9525116792099         2.9519464599862
9.5                     2.9525116792099         2.951262710261          2.9525116792099         2.9519399144774
9.55                    2.9525116792099         2.9512513379212         2.9525116792099         2.9519347083409
9.6                     2.9525116792099         2.9512431120865         2.9525116792099         2.951930942641
9.65                    2.9525116792099         2.9512381308998         2.9525116792099         2.9519286623066
9.7                     2.9525116792099         2.9512362263568         2.9525116792099         2.951927790427
9.75                    2.9525116792099         2.9512370754578         2.9525116792099         2.9519281791364
9.8                     2.9525116792099         2.9512403601044         2.9525116792099         2.9519296828128
9.85                    2.9525116792099         2.9512457832284         2.9525116792099         2.9519321654614
9.9                     2.9525116792099         2.9512530764839         2.9525116792099         2.9519355042364
9.95                    2.9525116792099         2.9512620028208         2.9525116792099         2.9519395906187
10                      2.9525116792099         2.9512723560725         2.9525116792099         2.9519443302275
10.05                   2.9525116792099         2.9512839589153         2.9525116792099         2.9519496418858
10.1                    2.9525116792099         2.951296660046          2.9525116792099         2.9519554563287
10.15                   2.9525116792099         2.951310331091          2.9525116792099         2.951961714788
10.2                    2.9525116792099         2.9513248635486         2.9525116792099         2.9519683675929
10.25                   2.9525116792099         2.9513401659281         2.9525116792099         2.9519753728599
10.3                    2.9525116792099         2.9513561611651         2.9525116792099         2.9519826953097
10.35                   2.9525116792099         2.9513727843414         2.9525116792099         2.9519903052234
10.4                    2.9525116792099         2.9513899807065         2.9525116792099         2.9519981775369
10.45                   2.9525116792099         2.951407703983          2.9525116792099         2.9520062910648
10.5                    2.9525116792099         2.9514259149265         2.9525116792099         2.9520146278415
10.55                   2.9525116792099         2.9514445801126         2.9525116792099         2.9520231725657
10.6                    2.9525116792099         2.9514636709198         2.9525116792099         2.9520319121347
10.65                   2.9525116792099         2.9514831626803         2.9525116792099         2.9520408352558
10.7                    2.9525116792099         2.9515030339739         2.9525116792099         2.9520499321231
10.75                   2.9525116792099         2.9515232660427         2.9525116792099         2.9520591941496
10.8                    2.9525116792099         2.9515438423064         2.9525116792099         2.9520686137448
10.85                   2.9525116792099         2.9515647479626         2.9525116792099         2.9520781841324
10.9                    2.9525116792099         2.9515859696564         2.9525116792099         2.9520878991986
10.95                   2.9525116792099         2.9516074952095         2.9525116792099         2.9520977533684
11                      2.9525116792099         2.9516293133967         2.9525116792099         2.952107741503
11.05                   2.9525116792099         2.9516514137627         2.9525116792099         2.9521178588161
11.1                    2.9525116792099         2.9516737864716         2.9525116792099         2.9521281008048
11.15                   2.9525116792099         2.9516964221839         2.9525116792099         2.9521384631937
11.2                    2.9525116792099         2.9517193119555         2.9525116792099         2.9521489418883
11.25                   2.9525116792099         2.9517424471553         2.9525116792099         2.9521595329373
11.3                    2.9525116792099         2.9517658193977         2.9525116792099         2.9521702325019
11.35                   2.9525116792099         2.9517894204884         2.9525116792099         2.9521810368308
11.4                    2.9525116792099         2.9518132423789         2.9525116792099         2.9521919422395
11.45                   2.9525116792099         2.9518372771311         2.9525116792099         2.952202945094
11.5                    2.9525116792099         2.9518615168873         2.9525116792099         2.9522140417972
11.55                   2.9525116792099         2.9518859538471         2.9525116792099         2.9522252287781
11.6                    2.9525116792099         2.951910580248          2.9525116792099         2.9522365024831
11.65                   2.9525116792099         2.9519353883507         2.9525116792099         2.9522478593693
11.7                    2.9525116792099         2.9519603704266         2.9525116792099         2.9522592958986
11.75                   2.9525116792099         2.9519855187486         2.9525116792099         2.9522708085335
11.8                    2.9525116792099         2.9520108255836         2.9525116792099         2.9522823937341
11.85                   2.9525116792099         2.9520362831872         2.9525116792099         2.9522940479549
11.9                    2.9525116792099         2.9520618837993         2.9525116792099         2.9523057676435
