x[nm]                E_8[eV]              Psi^2_8_cb2[nm^-1/2]
7.1142317671146      2.3390669310193      2.3402105976601
7.260978922993       2.3390669310193      2.9513068528902
7.4003918486039      2.3390669310193      2.6170008317672
7.532837099151       2.3390669310193      2.5568039456824
7.6586629098899      2.3390669310193      2.4981429416869
7.7782001117354      2.3390669310193      2.4583525383081
7.891763001107       2.3390669310193      2.429832540215
7.9996501663019      2.3390669310193      2.4091654357694
8.1021452725658      2.3390669310193      2.393982242447
8.1995178079279      2.3390669310193      2.3826840654358
8.2920237917592      2.3390669310193      2.3741741889481
8.3799064479186      2.3390669310193      2.3676898476052
8.4633968442558      2.3390669310193      2.3626913536202
8.5427145001525      2.3390669310193      2.3587817370778
8.6180679636999      2.3390669310193      2.3556268310381
8.6896553600291      2.3390669310193      2.3531533192756
8.7576649122373      2.3390669310193      2.3511985026564
8.8222754362784      2.3390669310193      2.3496265699223
8.8836568111193      2.3390669310193      2.3483467601353
8.9419704253995      2.3390669310193      2.3472935698177
8.9973696017656      2.3390669310193      2.3464183934368
9.05                 2.3390669310193      2.3456845870717
9.1                  2.3390669310193      2.3450641877122
9.15                 2.3390669310193      2.344509092092
9.2                  2.3390669310193      2.3440116876039
9.25                 2.3390669310193      2.3435653049375
9.3                  2.3390669310193      2.3431641627295
9.35                 2.3390669310193      2.3428033016537
9.4                  2.3390669310193      2.3424785246821
9.45                 2.3390669310193      2.3421863511785
9.5                  2.3390669310193      2.3419239890828
9.55                 2.3390669310193      2.3416893288643
9.6                  2.3390669310193      2.3414809642444
9.65                 2.3390669310193      2.3412944404685
9.7                  2.3390669310193      2.3411248372499
9.75                 2.3390669310193      2.3409697924432
9.8                  2.3390669310193      2.3408275072435
9.85                 2.3390669310193      2.3406965684116
9.9                  2.3390669310193      2.3405758316066
9.95                 2.3390669310193      2.3404643442416
10                   2.3390669310193      2.3403612940335
10.05                2.3390669310193      2.3402659743327
10.1                 2.3390669310193      2.3401777604585
10.15                2.3390669310193      2.3400960932855
10.2                 2.3390669310193      2.3400204676344
10.25                2.3390669310193      2.3399504238642
10.3                 2.3390669310193      2.3398855416187
10.35                2.3390669310193      2.3398254350357
10.4                 2.3390669310193      2.3397697489665
10.45                2.3390669310193      2.3397181559022
10.5                 2.3390669310193      2.3396703534075
10.55                2.3390669310193      2.3396260619275
10.6                 2.3390669310193      2.3395850228769
10.65                2.3390669310193      2.339546996948
10.7                 2.3390669310193      2.3395117625953
10.75                2.3390669310193      2.3394791146657
10.8                 2.3390669310193      2.3394488631515
10.85                2.3390669310193      2.3394208320494
10.9                 2.3390669310193      2.3393948583139
10.95                2.3390669310193      2.3393707908928
11                   2.3390669310193      2.3393484898387
11.05                2.3390669310193      2.3393278254881
11.1                 2.3390669310193      2.3393086777025
11.15                2.3390669310193      2.3392909351667
11.2                 2.3390669310193      2.3392744947397
11.25                2.3390669310193      2.339259260853
11.3                 2.3390669310193      2.3392451449543
11.35                2.3390669310193      2.3392320649919
11.4                 2.3390669310193      2.3392199449369
11.45                2.3390669310193      2.3392087143411
11.5                 2.3390669310193      2.3391983079272
11.55                2.3390669310193      2.339188665209
11.6                 2.3390669310193      2.3391797301398
11.65                2.3390669310193      2.3391714507861
11.7                 2.3390669310193      2.3391637790262
11.75                2.3390669310193      2.3391566702702
11.8                 2.3390669310193      2.3391500832005
11.85                2.3390669310193      2.3391439795319
11.9                 2.3390669310193      2.3391383237889
11.95                2.3390669310193      2.3391330830996
12                   2.3390669310193      2.3391282270045
12.05                2.3390669310193      2.3391237272795
12.1                 2.3390669310193      2.3391195577718
12.15                2.3390669310193      2.3391156942478
12.2                 2.3390669310193      2.3391121142525
12.25                2.3390669310193      2.3391087969788
12.3                 2.3390669310193      2.3391057231465
12.35                2.3390669310193      2.3391028748903
12.4                 2.3390669310193      2.3391002356561
12.45                2.3390669310193      2.3390977901045
12.5                 2.3390669310193      2.339095524022
12.55                2.3390669310193      2.3390934242379
12.6                 2.3390669310193      2.3390914785485
12.65                2.3390669310193      2.3390896756451
12.7                 2.3390669310193      2.3390880050494
12.75                2.3390669310193      2.3390864570519
12.8                 2.3390669310193      2.3390850226554
12.85                2.3390669310193      2.3390836935235
12.9                 2.3390669310193      2.339082461931
12.95                2.3390669310193      2.33908132072
13                   2.3390669310193      2.3390802632578
13.05                2.3390669310193      2.3390792833984
13.1                 2.3390669310193      2.3390783754469
13.15                2.3390669310193      2.3390775341262
13.2                 2.3390669310193      2.3390767545465
13.25                2.3390669310193      2.3390760321771
13.3                 2.3390669310193      2.3390753628194
13.35                2.3390669310193      2.3390747425832
13.4                 2.3390669310193      2.3390741678637
13.45                2.3390669310193      2.3390736353205
13.5                 2.3390669310193      2.3390731418586
13.55                2.3390669310193      2.3390726846099
13.6                 2.3390669310193      2.3390722609169
13.65                2.3390669310193      2.3390718683172
13.7                 2.3390669310193      2.3390715045289
13.75                2.3390669310193      2.3390711674377
13.8                 2.3390669310193      2.3390708550844
13.85                2.3390669310193      2.3390705656536
13.9                 2.3390669310193      2.3390702974632
13.95                2.3390669310193      2.3390700489545
14                   2.3390669310193      2.339069818683
14.05                2.3390669310193      2.3390696053104
14.1                 2.3390669310193      2.3390694075968
14.15                2.3390669310193      2.3390692243928
14.2                 2.3390669310193      2.3390690546338
14.25                2.3390669310193      2.339068897333
14.3                 2.3390669310193      2.3390687515764
14.35                2.3390669310193      2.3390686165167
14.4                 2.3390669310193      2.3390684913689
14.45                2.3390669310193      2.3390683754058
14.5                 2.3390669310193      2.3390682679533
14.55                2.3390669310193      2.3390681683869
14.6                 2.3390669310193      2.3390680761281
14.65                2.3390669310193      2.3390679906406
14.7                 2.3390669310193      2.3390679114277
14.75                2.3390669310193      2.3390678380291
14.8                 2.3390669310193      2.3390677700183
14.85                2.3390669310193      2.3390677070002
14.9                 2.3390669310193      2.339067648609
14.95                2.3390669310193      2.3390675945056
15                   2.3390669310193      2.3390675443764
15.05                2.3390669310193      2.3390674979308
15.1                 2.3390669310193      2.3390674549002
15.15                2.3390669310193      2.3390674150363
15.2                 2.3390669310193      2.3390673781103
15.25                2.3390669310193      2.339067343911
15.3                 2.3390669310193      2.3390673122451
15.35                2.3390669310193      2.3390672829361
15.4                 2.3390669310193      2.3390672558241
15.45                2.3390669310193      2.3390672307667
15.5                 2.3390669310193      2.3390672076394
15.55                2.3390669310193      2.3390671863379
15.6                 2.3390669310193      2.3390671667809
15.65                2.3390669310193      2.339067148915
15.7                 2.3390669310193      2.3390671327223
15.75                2.3390669310193      2.3390671179232
15.8                 2.3390669310193      2.3390671041634
15.85                2.3390669310193      2.3390670912934
15.9                 2.3390669310193      2.3390670792191
15.95                2.3390669310193      2.3390670678816
16                   2.3390669310193      2.3390670572441
16.05                2.3390669310193      2.3390670472822
16.1                 2.3390669310193      2.3390670379777
16.15                2.3390669310193      2.3390670293145
16.2                 2.3390669310193      2.3390670212763
16.25                2.3390669310193      2.3390670138453
16.3                 2.3390669310193      2.3390670070013
16.35                2.3390669310193      2.339067000722
16.4                 2.3390669310193      2.3390669949833
16.45                2.3390669310193      2.3390669897591
16.5                 2.3390669310193      2.3390669850219
16.55                2.3390669310193      2.339066980743
16.6                 2.3390669310193      2.3390669768907
16.65                2.3390669310193      2.3390669734277
16.7                 2.3390669310193      2.3390669702985
16.75                2.3390669310193      2.3390669675289
16.8                 2.3390669310193      2.3390669651431
16.85                2.3390669310193      2.3390669630931
16.9                 2.3390669310193      2.3390669613436
16.95                2.3390669310193      2.3390669598664
17                   2.3390669310193      2.3390669586385
17.05                2.3390669310193      2.3390669576414
17.1                 2.3390669310193      2.3390669568597
17.15                2.3390669310193      2.3390669562817
17.2                 2.3390669310193      2.3390669558988
17.25                2.3390669310193      2.339066955705
17.3                 2.3390669310193      2.3390669556973
17.35                2.3390669310193      2.3390669558757
17.4                 2.3390669310193      2.3390669562425
17.45                2.3390669310193      2.3390669568023
17.5                 2.3390669310193      2.339066957562
17.55                2.3390669310193      2.3390669585094
17.6                 2.3390669310193      2.3390669596351
17.65                2.3390669310193      2.3390669609558
17.7                 2.3390669310193      2.3390669624815
17.75                2.3390669310193      2.3390669642202
17.8                 2.3390669310193      2.3390669661797
17.85                2.3390669310193      2.3390669683674
17.9                 2.3390669310193      2.3390669707906
17.95                2.3390669310193      2.3390669734564
18                   2.3390669310193      2.3390669763713
18.05                2.3390669310193      2.3390669795412
18.1                 2.3390669310193      2.3390669829715
18.15                2.3390669310193      2.3390669866671
18.2                 2.3390669310193      2.3390669906333
18.25                2.3390669310193      2.3390669948767
18.3                 2.3390669310193      2.339066999407
18.35                2.3390669310193      2.3390670042398
18.4                 2.3390669310193      2.3390670094003
18.45                2.3390669310193      2.3390670149297
18.5                 2.3390669310193      2.3390670208935
18.55                2.3390669310193      2.3390670274379
18.6                 2.3390669310193      2.3390670346736
18.65                2.3390669310193      2.3390670426036
18.7                 2.3390669310193      2.3390670512466
18.75                2.3390669310193      2.3390670606339
18.8                 2.3390669310193      2.3390670708065
18.85                2.3390669310193      2.339067081814
18.9                 2.3390669310193      2.3390670937138
18.95                2.3390669310193      2.3390671065704
19                   2.3390669310193      2.3390671204552
19.05                2.3390669310193      2.3390671354466
19.1                 2.3390669310193      2.3390671516301
19.15                2.3390669310193      2.3390671690987
19.2                 2.3390669310193      2.3390671879532
19.25                2.3390669310193      2.3390672083027
19.3                 2.3390669310193      2.3390672302652
19.35                2.3390669310193      2.3390672539681
19.4                 2.3390669310193      2.3390672795494
19.45                2.3390669310193      2.339067307158
19.5                 2.3390669310193      2.3390673369547
19.55                2.3390669310193      2.3390673691134
19.6                 2.3390669310193      2.3390674038222
19.65                2.3390669310193      2.3390674412845
19.7                 2.3390669310193      2.3390674817206
19.75                2.3390669310193      2.3390675253694
19.8                 2.3390669310193      2.3390675724905
19.85                2.3390669310193      2.3390676233667
19.9                 2.3390669310193      2.3390676783072
19.95                2.3390669310193      2.3390677376518
20                   2.3390669310193      2.3390678017767
20.05                2.3390669310193      2.3390678711022
20.1                 2.3390669310193      2.3390679461035
20.15                2.3390669310193      2.3390680273273
20.2                 2.3390669310193      2.3390681154142
20.25                2.3390669310193      2.3390682111342
20.3                 2.3390669310193      2.339068315438
20.35                2.3390669310193      2.3390684295357
20.4                 2.3390669310193      2.3390685550163
20.45                2.3390669310193      2.33906869519
20.5                 2.3390669310193      2.3390688530536
20.55                2.3390669310193      2.3390690295531
20.6                 2.3390669310193      2.3390692261076
20.65                2.3390669310193      2.3390694445956
20.7                 2.3390669310193      2.3390696873585
20.75                2.3390669310193      2.3390699572198
20.8                 2.3390669310193      2.3390702575159
20.85                2.3390669310193      2.3390705921359
20.9                 2.3390669310193      2.3390709655666
20.95                2.3390669310193      2.3390713829293
21.002630398234      2.3390669310193      2.3390718765844
21.058029574601      2.3390669310193      2.3390724653438
21.116343188881      2.3390669310193      2.3390731738588
21.177724563722      2.3390669310193      2.339074034828
21.242335087763      2.3390669310193      2.3390750923177
21.310344639971      2.3390669310193      2.3390764073858
21.3819320363        2.3390669310193      2.3390780713967
21.457285499847      2.3390669310193      2.3390801938035
21.536603155744      2.3390669310193      2.3390828239283
21.620093552081      2.3390669310193      2.339086186576
21.707976208241      2.3390669310193      2.339090548801
21.800482192072      2.3390669310193      2.3390962736687
21.897854727434      2.3390669310193      2.3391038743158
22.000349833698      2.3390669310193      2.3391140885384
22.108236998893      2.3390669310193      2.3391279919643
22.221799888265      2.3390669310193      2.3391471782845
22.34133709011       2.3390669310193      2.3391739465688
22.467162900849      2.3390669310193      2.3392134097131
22.599608151396      2.3390669310193      2.3392539060948
22.739021077007      2.3390669310193      2.3394788045089
22.885768232885      2.3390669310193      2.3390677004007
