x[nm]                   E_14_real[eV]           Psi_14_x2_real[nm^-1/2] E_14_imag[eV]           Psi_14_x2_imag[nm^-1/2]
7.1142317671146         3.0911484520155         3.0917416095673         3.0911484520155         3.0887127580576
7.260978922993          3.0911484520155         3.0803221498844         3.0911484520155         3.1356046991039
7.4003918486039         3.0911484520155         3.0824423188572         3.0911484520155         3.1268986095654
7.532837099151          3.0911484520155         3.0823165898515         3.0911484520155         3.1274148929352
7.6586629098899         3.0911484520155         3.082376851155          3.0911484520155         3.1271674408165
7.7782001117354         3.0911484520155         3.0823355639017         3.0911484520155         3.1273369794375
7.891763001107          3.0911484520155         3.0822320718555         3.0911484520155         3.127761950764
7.9996501663019         3.0911484520155         3.0820733497662         3.0911484520155         3.1284137142505
8.1021452725658         3.0911484520155         3.081867131583          3.0911484520155         3.1292605118359
8.1995178079279         3.0911484520155         3.0816200435467         3.0911484520155         3.1302751340645
8.2920237917592         3.0911484520155         3.0813378863044         3.0911484520155         3.1314337616299
8.3799064479186         3.0911484520155         3.0810258417741         3.0911484520155         3.1327151159255
8.4633968442558         3.0911484520155         3.0806889211795         3.0911484520155         3.1340986192696
8.5427145001525         3.0911484520155         3.0803336073707         3.0911484520155         3.1355576510134
8.6180679636999         3.0911484520155         3.0799742021226         3.0911484520155         3.1370334835113
8.6896553600291         3.0911484520155         3.0795897566683         3.0911484520155         3.1386121390764
8.7576649122373         3.0911484520155         3.0792228213726         3.0911484520155         3.1401188923493
8.8222754362784         3.0911484520155         3.078897175434          3.0911484520155         3.1414560983625
8.8836568111193         3.0911484520155         3.0786170162073         3.0911484520155         3.1426065214392
8.9419704253995         3.0911484520155         3.0783824639414         3.0911484520155         3.1435696677989
8.9973696017656         3.0911484520155         3.0781924043306         3.0911484520155         3.1443501131363
9.05                    3.0911484520155         3.0780451446855         3.0911484520155         3.1449548081732
9.1                     3.0911484520155         3.0779385972638         3.0911484520155         3.1453923258456
9.15                    3.0911484520155         3.0778677318799         3.0911484520155         3.1456833216977
9.2                     3.0911484520155         3.0778356957637         3.0911484520155         3.1458148722013
9.25                    3.0911484520155         3.0778454587563         3.0911484520155         3.145774782242
9.3                     3.0911484520155         3.0778996052932         3.0911484520155         3.1455524393043
9.35                    3.0911484520155         3.0780000388636         3.0911484520155         3.1451400270541
9.4                     3.0911484520155         3.0781475733007         3.0911484520155         3.1445342036336
9.45                    3.0911484520155         3.0783413763348         3.0911484520155         3.1437383866072
9.5                     3.0911484520155         3.0785782196917         3.0911484520155         3.1427658322973
