|k|[1/nm]            Band_1[eV]           Band_2[eV]           Band_3[eV]           Band_4[eV]           Band_5[eV]           Band_6[eV]           Band_7[eV]           Band_8[eV]           Band_9[eV]           Band_10[eV]          Band_11[eV]          Band_12[eV]          Band_13[eV]          Band_14[eV]         
0                    1.3976942530797      1.3976942530798      1.4167478423565      1.4167478423565      1.4437721218703      1.4437721218703      2.3390669310193      2.3390669310193      2.3390988947366      2.3390988947366      2.9525116792099      2.9525116792099      3.0911484520154      3.0911484520155
0.0023154768301333   1.397691654357       1.3976916586316      1.4167220331179      1.4167759686451      1.443770884048       1.4437708859867      2.3389759371463      2.3390078675751      2.3391939204165      2.3392258333708      2.9525101120732      2.9525192666102      3.0911434115255      3.0911587623001
0.0046309536602667   1.3976838505744      1.3976838847325      1.41669849724        1.416806323694       1.4437671667764      1.4437671822865      2.3388702275493      2.3389021638166      2.339306182022       2.3393380833446      2.952514457246       2.9525327659706      3.0911432751592      3.0911739762423
0.0069464304904      1.3976708372647      1.3976709523287      1.4166772708626      1.4168388992377      1.4437609652068      1.4437610175593      2.3387669487059      2.3387988878765      2.3394208712655      2.3394527580295      2.9525247512785      2.9525522134922      3.0911481667725      3.0911942172331
0.0092619073205333   1.3976526146779      1.397652886697       1.41665836349        1.4168736607683      1.4437522750058      1.443752399121       2.3386661024213      2.338698042045       2.3395379856342      2.3395698554021      2.9525409940607      2.9525776087164      3.091158086429       3.0912194848716
0.011577384150667    1.3976291883719      1.3976297178479      1.416641779429       1.4169105691639      1.4437410924289      1.4437413348924      2.3385676900107      2.3385996276955      2.3396575234463      2.3396893738434      2.9525631853688      2.9526089510706      3.0911730341249      3.0912497786893
0.0138928609808      1.3976005692194      1.397601480355       1.4166275177912      1.4169495808725      1.443727414319       1.443727833404       2.3384717126621      2.338503646031       2.3397794831049      2.3398113117752      2.9525913248653      2.9526462398689      3.0911930097887      3.0912850981502
0.016208337810933    1.3975667733877      1.397568213167       1.4166155725263      1.4169906481153      1.4437112381048      1.4437119037988      2.3383781714951      2.3384100981768      2.3399038630049      2.3399356676025      2.9526254120991      2.9526894743118      3.0912180132813      3.091325442651
0.018523814641067    1.3975278222937      1.3975299594077      1.4166059324837      1.4170337191073      1.4436925617992      1.4436935558371      2.3382870675757      2.3383189852025      2.3400306615109      2.3400624396979      2.9526654465052      2.9527386534864      3.0912480443961      3.0913708115211
0.0208392914712      1.3974837425867      1.3974867662192      1.4165985840638      1.4170787407751      1.4436713840035      1.4436727999054      2.3382010413367      2.3382329478871      2.3401625133906      2.340194263182       2.9527114341583      2.9527937831519      3.0912831267905      3.0914212280358
0.023154768301333    1.3974345659276      1.3974386844183      1.4165935038602      1.4171256517326      1.4436477038938      1.4436496470093      2.3381176815085      2.3381495746496      2.3402970067213      2.3403287258234      2.9527633680867      2.9528548559672      3.0913232382311      3.0914766694427
0.025470245131467    1.3973803289754      1.397385768377       1.4165906658491      1.4171743894041      1.4436215212303      1.4436241087874      2.3380367618079      2.3380686391807      2.340433912769       2.3404655988658      2.9528212468026      2.952921870095       3.0913683762464      3.0915371328011
0.0277857219616      1.3973210732383      1.3973280757851      1.4165900396479      1.4172248884146      1.4435928363545      1.4435961975149      2.3379582831236      2.3379901423727      2.3405732297474      2.3406048805306      2.9528850692865      2.9529948241692      3.0914185403585      3.0916026171706
0.030101198791733    1.3972568449267      1.3972656674349      1.4165915904833      1.4172770806372      1.4435616501892      1.4435659261082      2.3378822462995      2.337914085074       2.3407149558287      2.3407465689986      2.9529548344058      2.953073716711       3.0914737300222      3.0916731215436
0.032416675621867    1.3971876947995      1.3971986070167      1.4165952793993      1.4173308954557      1.4435279642386      1.4435333081309      2.3378086521353      2.337840468089       2.3408590891438      2.3408906624095      2.9530305409143      2.9531585461287      3.0915339446244      3.0917486448459
0.034732152452       1.3971136780054      1.3971269609285      1.4166010634825      1.4173862600253      1.4434917805878      1.4434983577999      2.3377375013864      2.3377692921783      2.3410056277821      2.3410371588624      2.9531121874533      2.9532493107184      3.0915991834852      3.091829185936
0.037047629282133    1.3970348539228      1.3970507981009      1.4166088961005      1.4174430995287      1.4434531019047      1.4434610899914      2.3376687947635      2.3377005580587      2.3411545697921      2.3411860564154      2.9531997725507      2.9533460086636      3.0916694458569      3.091914743606
