wavelength_nm,photon_energy_eV,chi2_raw_real_pm_per_V,chi2_raw_imag_pm_per_V,chi2_raw_abs_pm_per_V,chi2_scaled_real_pm_per_V,chi2_scaled_imag_pm_per_V,chi2_scaled_abs_pm_per_V
1.400000000000000000e+03,8.856014171428571169e-01,-5.955130912335894200e-01,-3.648076647039231091e+01,3.648562673312780902e+01,-2.350991450458137422e+01,-1.440202933245187978e+03,1.440394808727126929e+03
1.401000000000000000e+03,8.849692962169878330e-01,-3.582630199621429368e-01,-3.649491506350531722e+01,3.649667351806105842e+01,-1.414365711426372663e+01,-1.440761497312617621e+03,1.440830918315907411e+03
1.402000000000000000e+03,8.843380770328101992e-01,-1.274478097041621683e-01,-3.641938812813059201e+01,3.641961112603507189e+01,-5.031437854261473497e+00,-1.437779813417516834e+03,1.437788617021914888e+03
1.403000000000000000e+03,8.837077576621524821e-01,2.228838231594208394e-02,-3.637563307208450425e+01,3.637563990044593254e+01,8.799100647945524711e-01,-1.436052433042627172e+03,1.436052702615531189e+03
1.404000000000000000e+03,8.830783361823361099e-01,2.140126231903693721e-01,-3.638136373741308915e+01,3.638199319439275570e+01,8.448879710913335117e+00,-1.436278670641619783e+03,1.436303520607127211e+03
1.405000000000000000e+03,8.824498106761564653e-01,4.072441986351566512e-01,-3.633662289607715934e+01,3.633890492748840018e+01,1.607735654067049680e+01,-1.434512373023389500e+03,1.434602464012428754e+03
1.406000000000000000e+03,8.818221792318633456e-01,5.422518160808628140e-01,-3.633314274156141721e+01,3.633718891866458023e+01,2.140724364196156770e+01,-1.434374982030089996e+03,1.434534718699469749e+03
1.407000000000000000e+03,8.811954399431414231e-01,7.439657650030992997e-01,-3.638222982530286487e+01,3.638983556050581569e+01,2.937059115413756771e+01,-1.436312862421014870e+03,1.436613124811545276e+03
1.408000000000000000e+03,8.805695909090908158e-01,9.730676558034151435e-01,-3.635066395209540246e+01,3.636368560007276329e+01,3.841517127310027035e+01,-1.435066691696484213e+03,1.435580765753231390e+03
1.409000000000000000e+03,8.799446302342085469e-01,1.112805098731007414e+00,-3.632496754194184518e+01,3.634200877924733675e+01,4.393178439996092521e+01,-1.434052238085508861e+03,1.434724999168349996e+03
