wavelength_nm,photon_energy_eV,chi2_raw_real_pm_per_V,chi2_raw_imag_pm_per_V,chi2_raw_abs_pm_per_V,chi2_scaled_real_pm_per_V,chi2_scaled_imag_pm_per_V,chi2_scaled_abs_pm_per_V
1.400000000000000000e+03,8.856014171428571169e-01,-5.913884671834005458e-01,-3.373849291611171708e+01,3.374367562328736625e+01,-2.334708087386715292e+01,-1.331942312683913542e+03,1.332146917762114754e+03
1.401000000000000000e+03,8.849692962169878330e-01,-4.550917940619553792e-01,-3.371141304533782801e+01,3.371448469210816512e+01,-1.796630389429405028e+01,-1.330873242236829583e+03,1.330994505990762036e+03
1.402000000000000000e+03,8.843380770328101992e-01,-2.387401741014283929e-01,-3.372176223041146415e+01,3.372260732498504865e+01,-9.425084292113171003e+00,-1.331281811687031222e+03,1.331315174683522400e+03
1.403000000000000000e+03,8.837077576621524821e-01,-2.423021542192589292e-02,-3.364653358679612438e+01,3.364654231136892548e+01,-9.565705630702010520e-01,-1.328311903878575777e+03,1.328312248310904124e+03
1.404000000000000000e+03,8.830783361823361099e-01,1.081782638298020294e-01,-3.359683373902136339e+01,3.359700789987420677e+01,4.270706675187284418e+00,-1.326349832533251174e+03,1.326356708128129867e+03
1.405000000000000000e+03,8.824498106761564653e-01,2.753578894690040246e-01,-3.360301382912965806e+01,3.360414201207898088e+01,1.087069375111187064e+01,-1.326593812711378405e+03,1.326638351588985870e+03
1.406000000000000000e+03,8.818221792318633456e-01,4.544976899425349215e-01,-3.356572243924705390e+01,3.356879936814446808e+01,1.794284960376719340e+01,-1.325121607648546387e+03,1.325243079932497494e+03
1.407000000000000000e+03,8.811954399431414231e-01,5.804990881426150828e-01,-3.355723600059108946e+01,3.356225658668827805e+01,2.291718542064296571e+01,-1.324786576479312089e+03,1.324984781273875569e+03
1.408000000000000000e+03,8.805695909090908158e-01,7.606046615528094801e-01,-3.359946880075033704e+01,3.360807675461020949e+01,3.002746846060281172e+01,-1.326453860600600819e+03,1.326793688997800018e+03
1.409000000000000000e+03,8.799446302342085469e-01,9.698572777521837773e-01,-3.357227632921081550e+01,3.358628233466897939e+01,3.828843062772597250e+01,-1.325380344853468614e+03,1.325933279785914920e+03
1.410000000000000000e+03,8.793205560283687827e-01,1.098185647642873519e+00,-3.354626017791619574e+01,3.356423071725515683e+01,4.335463160475718070e+01,-1.324353268368201270e+03,1.325062716824800418e+03
1.411000000000000000e+03,8.786973664068036260e-01,1.251869034859963925e+00,-3.360319118625886858e+01,3.362650195873348480e+01,4.942180854416559299e+01,-1.326600814490190714e+03,1.327521086900623686e+03
1.412000000000000000e+03,8.780750594900849082e-01,1.473287310877039236e+00,-3.361999480977866739e+01,3.365226034770823560e+01,5.816305171000458785e+01,-1.327264194956771689e+03,1.328537987337384493e+03
1.413000000000000000e+03,8.774536334041046493e-01,1.645582821723143185e+00,-3.359733577479281053e+01,3.363761159754543684e+01,6.496500583854314925e+01,-1.326369652111088499e+03,1.327959677861075761e+03
1.414000000000000000e+03,8.768330862800565173e-01,1.807073717058556017e+00,-3.362502105116201534e+01,3.367354386027660951e+01,7.134041084389623677e+01,-1.327462623013083657e+03,1.329378226734646205e+03
1.415000000000000000e+03,8.762134162544168436e-01,2.006263184897858487e+00,-3.364109874540489642e+01,3.370086967372146347e+01,7.920409583764589456e+01,-1.328097344940519406e+03,1.330457006609201017e+03
1.416000000000000000e+03,8.755946214689265261e-01,2.176732918633910163e+00,-3.364486961736854198e+01,3.371521048086150785e+01,8.593397117498120963e+01,-1.328246212998632927e+03,1.331023158982259247e+03
1.417000000000000000e+03,8.749767000705716002e-01,2.362979422701595222e+00,-3.368752447459478816e+01,3.377029725925630288e+01,9.328668843991700044e+01,-1.329930159265064731e+03,1.333197897824207757e+03
1.418000000000000000e+03,8.743596502115654756e-01,2.585367914840107861e+00,-3.369147987700227986e+01,3.379053038289772104e+01,1.020662342029644947e+02,-1.330086312293100946e+03,1.333996669528763960e+03
1.419000000000000000e+03,8.737434700493305062e-01,2.752421415304368235e+00,-3.367560816752073549e+01,3.378790329540758819e+01,1.086612420565624149e+02,-1.329459722318093327e+03,1.333892956271745561e+03
1.420000000000000000e+03,8.731281577464787835e-01,2.920786347442630326e+00,-3.372367932488678832e+01,3.384992673692520526e+01,1.153080231574460015e+02,-1.331357495543315054e+03,1.336341543597236978e+03
1.421000000000000000e+03,8.725137114707951502e-01,3.148491602429473790e+00,-3.375314679221212089e+01,3.389967430149128091e+01,1.242974663045233115e+02,-1.332520824524128102e+03,1.338305498725977031e+03
1.422000000000000000e+03,8.719001293952179932e-01,3.346155323500578316e+00,-3.374176071819403688e+01,3.390727314032866246e+01,1.321009172301994852e+02,-1.332071320339167414e+03,1.338605488858906938e+03
1.423000000000000000e+03,8.712874096978214800e-01,3.526865140625458306e+00,-3.376489668005493883e+01,3.394859386682965408e+01,1.392350548558626429e+02,-1.332984691503190561e+03,1.340236765755428223e+03
1.424000000000000000e+03,8.706755505617976842e-01,3.735280692427714211e+00,-3.378474244269441584e+01,3.399060375707411197e+01,1.474629710451546600e+02,-1.333768170808348714e+03,1.341895249746012269e+03
1.425000000000000000e+03,8.700645501754384892e-01,3.926228925212357446e+00,-3.379577317742359099e+01,3.402307390923162700e+01,1.550013051198408505e+02,-1.334203646760470065e+03,1.343177119972563787e+03
1.426000000000000000e+03,8.694544067321177128e-01,4.131139025142990917e+00,-3.383159160784315134e+01,3.408288280596202924e+01,1.630908316162530696e+02,-1.335617701714506438e+03,1.345538280574142846e+03
1.427000000000000000e+03,8.688451184302732333e-01,4.357392776543654200e+00,-3.383614779756895530e+01,3.411556491673566427e+01,1.720229716986007702e+02,-1.335797572875186006e+03,1.346828518591455804e+03
1.428000000000000000e+03,8.682366834733893368e-01,4.543029798155997057e+00,-3.383412807182643434e+01,3.413777002277223716e+01,1.793516275606422994e+02,-1.335717837298876475e+03,1.347705141040516764e+03
1.429000000000000000e+03,8.676291000699789535e-01,4.739618227182093690e+00,-3.387433404382511526e+01,3.420430510699034699e+01,1.871126276579189209e+02,-1.337305105451629743e+03,1.350331840880620575e+03
1.430000000000000000e+03,8.670223664335663383e-01,4.969792693105238079e+00,-3.389299451988221534e+01,3.425542171594458551e+01,1.961995513454927789e+02,-1.338041791518108084e+03,1.352349843715434645e+03
1.431000000000000000e+03,8.664164807826694181e-01,5.176547019973152253e+00,-3.389636578893022545e+01,3.428936063485220842e+01,2.043618850030920271e+02,-1.338174883885441886e+03,1.353689698529110046e+03
