wavelength_nm,photon_energy_eV,chi2_raw_real_pm_per_V,chi2_raw_imag_pm_per_V,chi2_raw_abs_pm_per_V,chi2_scaled_real_pm_per_V,chi2_scaled_imag_pm_per_V,chi2_scaled_abs_pm_per_V
1.400000000000000000e+03,8.856014171428571169e-01,-9.224261750394276982e-01,-3.849633223696783091e+01,3.850738196433778171e+01,-3.641592574739666333e+01,-1.519774280287103466e+03,1.520210506038628637e+03
1.401000000000000000e+03,8.849692962169878330e-01,-7.629089218065162603e-01,-3.842636911600733640e+01,3.843394168521639642e+01,-3.011843700916758593e+01,-1.517012246980920509e+03,1.517311200030493637e+03
1.402000000000000000e+03,8.843380770328101992e-01,-5.626435151507512833e-01,-3.845800202276858926e+01,3.846211756141897808e+01,-2.221227565350498878e+01,-1.518261064084080999e+03,1.518423539037587943e+03
1.403000000000000000e+03,8.837077576621524821e-01,-2.894602919056636359e-01,-3.841346622274564737e+01,3.841455680476622092e+01,-1.142743428373086623e+01,-1.516502861172431494e+03,1.516545915624871441e+03
1.404000000000000000e+03,8.830783361823361099e-01,-1.220442788992724403e-01,-3.832064931962246135e+01,3.832084366351416094e+01,-4.818115008608194749e+00,-1.512838596710191041e+03,1.512846269099506571e+03
1.405000000000000000e+03,8.824498106761564653e-01,1.685932646858294762e-02,-3.833756577598479254e+01,3.833756948301299872e+01,6.655795308548254630e-01,-1.513506431638849108e+03,1.513506577986456477e+03
1.406000000000000000e+03,8.818221792318633456e-01,2.427184865705837580e-01,-3.835590676655245090e+01,3.835667472746024487e+01,9.582141773131219509e+00,-1.514230504923756826e+03,1.514260822805178350e+03
1.407000000000000000e+03,8.811954399431414231e-01,4.355200856080361227e-01,-3.832006346935439467e+01,3.832253830372301451e+01,1.719364381471959291e+01,-1.512815468268654968e+03,1.512913170813360921e+03
1.408000000000000000e+03,8.805695909090908158e-01,6.046203119248960700e-01,-3.834192343609202425e+01,3.834669032003590416e+01,2.386945316624795765e+01,-1.513678465164339968e+03,1.513866654199347977e+03
1.409000000000000000e+03,8.799446302342085469e-01,8.335747607461543307e-01,-3.835627310003432910e+01,3.836532983054062385e+01,3.290821250918907737e+01,-1.514244967189936688e+03,1.514602512578994265e+03
1.410000000000000000e+03,8.793205560283687827e-01,1.019098518251964069e+00,-3.832585737607615783e+01,3.833940408250021648e+01,4.023239688353294952e+01,-1.513044202537776982e+03,1.513579005071149595e+03
1.411000000000000000e+03,8.786973664068036260e-01,1.180094178616285294e+00,-3.837037975523937661e+01,3.838852256640893046e+01,4.658825079588487483e+01,-1.514801875615121844e+03,1.515518125090990452e+03
1.412000000000000000e+03,8.780750594900849082e-01,1.430301635335736510e+00,-3.841729322144802694e+01,3.844390954664680038e+01,5.646604525997953061e+01,-1.516653945025375378e+03,1.517704715426665871e+03
1.413000000000000000e+03,8.774536334041046493e-01,1.656228643796090694e+00,-3.837955811488770053e+01,3.841527787761756230e+01,6.538528604808062994e+01,-1.515164222730242045e+03,1.516574382440019917e+03
1.414000000000000000e+03,8.768330862800565173e-01,1.813043364439410832e+00,-3.839210567351565118e+01,3.843489175589974849e+01,7.157608307614827936e+01,-1.515659580489671043e+03,1.517348707317684784e+03
1.415000000000000000e+03,8.762134162544168436e-01,2.033787264701986341e+00,-3.845208915017897056e+01,3.850583657903533208e+01,8.029070295432882176e+01,-1.518027633230746915e+03,1.520149496672298937e+03
1.416000000000000000e+03,8.755946214689265261e-01,2.273682838381199556e+00,-3.845188441060940931e+01,3.851904786435428463e+01,8.976140059347365252e+01,-1.518019550436519694e+03,1.520671057311210689e+03
1.417000000000000000e+03,8.749767000705716002e-01,2.469435921793960098e+00,-3.846274850191574046e+01,3.854193996276612211e+01,9.748942256778335036e+01,-1.518448447570002827e+03,1.521574801132153198e+03
