wavelength_nm,Re_chi2_pm_per_V,Im_chi2_pm_per_V,abs_chi2_pm_per_V,paper_interpolated_pm_per_V,paper_normalized,signed_Re_normalized,abs_Re_envelope_normalized,abs_chi2_normalized
400.0,0.39990191351781185,0.0019130121049855788,0.39990648913279875,100.0,0.02531645569620253,0.005607889581818194,0.005607889581818194,0.004907389940859806
401.0,0.40357722115452177,0.0019406026388461427,0.4035818868252237,101.6,0.025721518987341773,0.005659429018638029,0.005659429018638029,0.004952492008854697
402.0,0.40728579184093316,0.001968594163254474,0.40729054936061987,103.2,0.02612658227848101,0.0057114349086144385,0.0057114349086144385,0.00499800228116789
403.0,0.41102797522181456,0.001996992996548094,0.41103282642140987,104.8,0.026531645569620253,0.005763912154872884,0.005763912154872884,0.005043925048872549
404.0,0.4148041255797691,0.0020258055707005258,0.4148090723287126,106.4,0.026936708860759495,0.005816865725575939,0.005816865725575939,0.005090264659964872
405.0,0.41861460191127153,0.0020550384336866386,0.4186196461184022,108.0,0.027341772151898733,0.005870300654989563,0.005870300654989563,0.005137025520297441
406.0,0.4224597680042033,0.0020846982519045565,0.4224649116186654,109.6,0.027746835443037975,0.0059242220445703915,0.0059242220445703915,0.0051842120945309505
407.0,0.42633999251692034,0.0021147918126557465,0.4263452375290928,111.2,0.028151898734177214,0.005978635064074516,0.005978635064074516,0.005231828907104766
408.0,0.4302556490588864,0.0021453260266848053,0.4302609975013357,112.8,0.028556962025316456,0.006033544952688219,0.006033544952688219,0.005279880543226692
409.0,0.4342071162729135,0.002176307930780634,0.43421257022137094,114.4,0.028962025316455697,0.006088957020181243,0.006088957020181243,0.005328371649882473
410.0,0.4381947779190395,0.00220774469044064,0.438200339493404,116.0,0.029367088607594936,0.0061448766480830235,0.0061448766480830235,0.00537730693686539
411.0,0.4422190229600896,0.002239643602599738,0.4422246943254559,117.6,0.029772151898734178,0.006201309290882527,0.006201309290882527,0.005426691177826542
412.0,0.4462802456489534,0.0022720120984259257,0.44628602901666725,119.2,0.030177215189873416,0.006258260477252153,0.006258260477252153,0.005476529211346165
413.0,0.4503788456176255,0.002304857746184293,0.45038474324636607,120.8,0.030582278481012658,0.006315735811296366,0.006315735811296366,0.005526825942026631
414.0,0.45451522796804256,0.0023381882541713456,0.454521242164933,122.4,0.0309873417721519,0.006373740973825521,0.006373740973825521,0.005577586341607474
415.0,0.45868980336476944,0.002372011473721643,0.4586959364865164,124.0,0.03139240506329114,0.006432281723655608,0.006432281723655608,0.005628815450103135
416.0,0.46290298812956887,0.0024063354022887426,0.46290924258363225,125.6,0.03179746835443038,0.006491363898934425,0.006491363898934425,0.005680518376963828
417.0,0.4671552043379079,0.0024411681866025672,0.46716158258370066,127.2,0.03220253164556962,0.006550993418494903,0.006550993418494903,0.005732700302260173
418.0,0.4714468799174392,0.0024765181259053196,0.4714533844675593,128.8,0.03260759493670886,0.006611176283236123,0.006611176283236123,0.00578536647789209
419.0,0.4757784487485144,0.0025123936752682327,0.47578508217000903,130.4,0.0330126582278481,0.006671918577532829,0.006671918577532829,0.005838522228822624
420.0,0.4801503507667699,0.0025488034489913576,0.4801571156824334,132.0,0.033417721518987344,0.006733226470674012,0.006733226470674012,0.005892172954337229
421.0,0.4845630320678382,0.0025857562240888398,0.48456993115754426,133.6,0.033822784810126585,0.006795106218331291,0.006795106218331291,0.005946324129329136
422.0,0.489016945014241,0.002623260943862093,0.48902398101631045,135.2,0.03422784810126582,0.006857564164057887,0.006857564164057887,0.006000981305611512
423.0,0.49351254834451,0.002661326721563398,0.4935197240571153,136.8,0.03463291139240506,0.006920606740818851,0.006920606740818851,0.006056150113256966
424.0,0.4980503072845918,0.0026999628441525193,0.4980576255671989,138.4,0.035037974683544304,0.006984240472553304,0.006984240472553304,0.0061118362619651
425.0,0.5026306936616013,0.002739178776149063,0.5026381574364507,140.0,0.035443037974683546,0.007048471975769628,0.007048471975769628,0.006168045542458894
426.0,0.5072541860199652,0.002778984163583324,0.5072617982735925,141.6,0.03584810126582279,0.0071133079611741595,0.0071133079611741595,0.0062247838279104305
427.0,0.5119212697400327,0.002819388838048498,0.5119290335248309,143.2,0.03625316455696202,0.007178755235334487,0.007178755235334487,0.006282057075396913
428.0,0.516632437159202,0.002860402820857214,0.5166403555950255,144.8,0.036658227848101264,0.007244820702378031,0.007244820702378031,0.006339871327387574
429.0,0.5213881876956297,0.0029020363273054768,0.5213962639714425,146.4,0.037063291139240506,0.007311511365726834,0.007311511365726834,0.006398232713262283
430.0,0.5261890279745884,0.00294429977104712,0.5261972653501574,148.0,0.03746835443037975,0.0073788343298695075,0.0073788343298695075,0.0064571474508626926
431.0,0.5310354719575391,0.0029872037685821032,0.5310438737651733,149.6,0.03787341772151899,0.007446796802171215,0.007446796802171215,0.00651662184807668
432.0,0.535928041073983,0.0030307591438619897,0.535936610720321,151.2,0.038278481012658225,0.007515406094722673,0.007515406094722673,0.006576662304456951
433.0,0.5408672643561696,0.0030749769330160677,0.5408760053240163,152.8,0.03868354430379747,0.007584669626229167,0.007584669626229167,0.006637275312874681
434.0,0.5458536785767277,0.003119868389201779,0.5458625944269414,154.4,0.03908860759493671,0.007654594923940584,0.007654594923940584,0.006698467461209063
435.0,0.5508878283892958,0.003165444987583132,0.5508969227627285,156.0,0.03949367088607595,0.007725189625623488,0.007725189625623488,0.006760245434073672
436.0,0.5559702664722301,0.003211718430440949,0.5559795430917212,157.6,0.03989873417721519,0.00779646148157637,0.00779646148157637,0.00682261601458062
437.0,0.5611015536754681,0.0032587006524189663,0.5611110163478938,159.2,0.04030379746835443,0.00786841835668913,0.00786841835668913,0.006885586086143451
438.0,0.5662822591706278,0.003306403825909847,0.5662919117890084,160.8,0.040708860759493676,0.007941068232547952,0.007941068232547952,0.006949162634319765
439.0,0.5715129606044281,0.003354840366585424,0.5715228071500943,162.4,0.04111392405063291,0.008014419209586735,0.008014419209586735,0.007013352748694625
440.0,0.576794244255516,0.0034040229390755105,0.5768042888003362,164.0,0.04151898734177215,0.008088479509286308,0.008088479509286308,0.00707816362480578
441.0,0.5821267051947902,0.003453964462799883,0.5821369519034609,165.60000000000002,0.041924050632911394,0.008163257476422683,0.008163257476422683,0.007143602566111827
442.0,0.5875109474493075,0.0035046781179581044,0.5875214005817094,167.2,0.04232911392405063,0.008238761581365528,0.008238761581365528,0.007209676986004368
443.0,0.5929475841698791,0.003556177351682119,0.5929582480834991,168.8,0.04273417721518988,0.008315000422428402,0.008315000422428402,0.0072763944098654535
444.0,0.5984372378024351,0.0036084758843565757,0.5984481169548587,170.4,0.04313924050632911,0.008391982728271833,0.008391982728271833,0.007343762477171316
445.0,0.6039805402632763,0.0036615877161121856,0.603991639214751,172.0,0.043544303797468355,0.008469717360360894,0.008469717360360894,0.007411788943643817
446.0,0.6095781331183008,0.0037155271334974533,0.6095894565343732,173.60000000000002,0.0439493670886076,0.008548213315478531,0.008548213315478531,0.007480481683450704
447.0,0.6152306677663224,0.003770308716334406,0.6152422204205523,175.2,0.04435443037974683,0.008627479728296271,0.008627479728296271,0.007549848691456115
448.0,0.620938805626586,0.0038259473447640933,0.6209505924033377,176.8,0.04475949367088608,0.00870752587400377,0.00870752587400377,0.0076198980855225985
449.0,0.6267032183305917,0.0038824582064878686,0.626715244227908,178.4,0.045164556962025315,0.008788361170998802,0.008788361170998802,0.007690638108866058
450.0,0.6325245879183464,0.0039398568042106384,0.6325368580509056,180.0,0.04556962025316456,0.008869995183639326,0.008869995183639326,0.007762077132465053
451.0,0.6384036070391604,0.003998158963292512,0.6384161266413205,185.4,0.04693670886075949,0.008952437625059288,0.008952437625059288,0.0078342236575259
452.0,0.6443409791571185,0.004057380839615553,0.6443537535860498,190.8,0.048303797468354434,0.009035698360049974,0.009035698360049974,0.007907086318005177
453.0,0.6503374187613442,0.004117538927672452,0.6503504535002562,196.2,0.04967088607594937,0.009119787408008584,0.009119787408008584,0.007980673883191094
454.0,0.6563936515811964,0.004178650068884368,0.6564069522426581,201.6,0.051037974683544304,0.009204714945955967,0.009204714945955967,0.0080549952603454
455.0,0.6625104148065305,0.00424073146015524,0.662523987135891,207.0,0.05240506329113924,0.009290491311625374,0.009290491311625374,0.008130059497407508
456.0,0.6686884573131655,0.004303800662670369,0.6687023071920757,212.4,0.053772151898734175,0.009377127006624231,0.009377127006624231,0.00820587578576252
457.0,0.6749285398937014,0.004367875610947117,0.6749426733437414,217.8,0.05513924050632912,0.009464632699670917,0.009464632699670917,0.008282453463074971
458.0,0.6812314354938348,0.0044329746221460475,0.6812458586802502,223.2,0.05650632911392405,0.009553019229908668,0.009553019229908668,0.008359802016190064
459.0,0.6875979294543297,0.004499116405651063,0.6876126486898805,228.6,0.05787341772151899,0.009642297610298757,0.009642297610298757,0.008437931084104365
460.0,0.6940288197587978,0.004566320072927361,0.6940438415077237,234.0,0.05924050632911393,0.009732479031095174,0.009732479031095174,0.008516850461007832
461.0,0.7005249172874605,0.004634605147666485,0.7005402481695667,239.4,0.060607594936708864,0.009823574863403163,0.009823574863403163,0.008596570099399287
462.0,0.7070870460770501,0.0047039915762279744,0.7071026928719177,244.8,0.0619746835443038,0.009915596662823859,0.009915596662823859,0.008677100113277287
463.0,0.713716043587034,0.004774499738387516,0.7137320132383589,250.2,0.06334177215189873,0.010008556173187596,0.010008556173187596,0.008758450781408623
464.0,0.720412760972348,0.0048461504584019445,0.7204290605924131,255.60000000000002,0.06470886075949367,0.01010246533037849,0.01010246533037849,0.008840632550676773
465.0,0.7271780633628032,0.004918965016401652,0.727194700237089,261.0,0.0660759493670886,0.010197336266252603,0.010197336266252603,0.008923656039512283
466.0,0.7340128301493888,0.004992965160121594,0.7340298117413253,266.4,0.06744303797468354,0.01029318131265282,0.01029318131265282,0.009007532041407829
467.0,0.740917955277646,0.005068173116982363,0.7409352892335144,271.8,0.06881012658227847,0.010390013005522877,0.010390013005522877,0.00909227152852015
468.0,0.7478943475483333,0.005144611606533173,0.7479120417023176,277.2,0.07017721518987342,0.010487844089123635,0.010487844089123635,0.00917788565536145
469.0,0.7549429309255858,0.005222303853269298,0.7549609933049851,282.6,0.07154430379746836,0.010586687520354455,0.010586687520354455,0.009264385762582893
470.0,0.7620646448528025,0.005301273599836785,0.7620830836834054,288.0,0.0729113924050633,0.010686556473182932,0.010686556473182932,0.009351783380852968
471.0,0.7692604445764676,0.0053815451206377495,0.769279268288097,293.4,0.07427848101265823,0.010787464343185895,0.010787464343185895,0.009440090234833292
472.0,0.7765313014781667,0.005463143235850314,0.7765505187103998,298.8,0.07564556962025316,0.010889424752205328,0.010889424752205328,0.009529318247255045
473.0,0.7838782034150219,0.005546093325877485,0.7838978230230913,304.2,0.07701265822784811,0.010992451553122335,0.010992451553122335,0.009619479543098795
474.0,0.7913021550687989,0.005630421346240031,0.7913221861296835,309.6,0.07837974683544305,0.011096558834752742,0.011096558834752742,0.009710586453880838
475.0,0.7988041783039616,0.005716153842929035,0.7988246301226717,315.0,0.07974683544303798,0.011201760926868146,0.011201760926868146,0.009802651522049382
476.0,0.8063853125349238,0.0058033179682342555,0.8064061946509881,320.4,0.08111392405063292,0.011308072405345943,0.011308072405345943,0.009895687505493711
477.0,0.8140466151027883,0.005891941497065232,0.8140679372969507,325.8,0.08248101265822785,0.011415508097452403,0.011415508097452403,0.009989707382169852
478.0,0.8217891616618593,0.005982052843782649,0.8218109339629933,331.20000000000005,0.08384810126582279,0.011524083087262806,0.011524083087262806,0.010084724354846256
479.0,0.829614046576226,0.006073681079558265,0.8296362792684735,336.6,0.08521518987341772,0.01163381272122278,0.01163381272122278,0.01018075185597319
480.0,0.837522383326722,0.006166855950282313,0.837545086956866,342.0,0.08658227848101266,0.011744712613855181,0.011744712613855181,0.010277803552679527
481.0,0.8455153049285942,0.006261607895038294,0.8455384903136727,347.4,0.0879493670886076,0.011856798653617108,0.011856798653617108,0.01037589335190107
482.0,0.85359396436019,0.006357968065165529,0.8536176425953619,352.8,0.08931645569620253,0.011970087008911477,0.011970087008911477,0.010475035405644213
483.0,0.8617595350030259,0.0064559683439310775,0.8617837174696963,358.20000000000005,0.09068354430379746,0.012084594134258154,0.012084594134258154,0.010575244116389363
484.0,0.8700132110935861,0.006555641366833209,0.870037909467802,363.6,0.0920506329113924,0.012200336776629612,0.012200336776629612,0.01067653414263842
485.0,0.8783562081872118,0.006657020542559688,0.8783814344483384,369.0,0.09341772151898735,0.01231733198195613,0.01231733198195613,0.010778920404610778
486.0,0.8867897636344788,0.00676014007462506,0.8868155300741657,374.4,0.09478481012658228,0.012435597101806094,0.012435597101806094,0.01088241809009267
487.0,0.895315137070434,0.006865034983712089,0.8953414563018836,379.8,0.09615189873417722,0.012555149800246667,0.012555149800246667,0.01098704266044447
488.0,0.9039336109171328,0.0069717411307436885,0.9039604958846822,385.20000000000005,0.09751898734177217,0.012676008060890928,0.012676008060890928,0.011092809856771342
489.0,0.9126464908998715,0.007080295240712606,0.9126739548888995,390.6,0.0988860759493671,0.012798190194137101,0.012798190194137101,0.011199735706262096
490.0,0.9214551065775761,0.007190734927297466,0.9214831632247475,396.0,0.10025316455696204,0.012921714844606271,0.012921714844606271,0.011307836528701924
491.0,0.9303608118877905,0.007303098718294795,0.9303894751916522,401.4,0.10162025316455697,0.013046600998784852,0.013046600998784852,0.011417128943164429
492.0,0.9393649857067471,0.007417426081898181,0.939394270038687,406.8,0.10298734177215191,0.013172867992878536,0.013172867992878536,0.011527629874888921
493.0,0.948469032425014,0.007533757453856792,0.9484989525406002,412.20000000000005,0.10435443037974684,0.013300535520884704,0.013300535520884704,0.011639356562349034
494.0,0.9576743825392073,0.00765213426554695,0.9577049535899196,417.6,0.10572151898734178,0.013429623642890087,0.013429623642890087,0.011752326564518648
495.0,0.9669824932603298,0.00777259897299212,0.9670137308057,423.0,0.10708860759493671,0.01356015279360161,0.01356015279360161,0.011866557768342039
496.0,0.9763948491392639,0.007895195086867878,0.9764267691594417,428.4,0.10845569620253165,0.013692143791117776,0.013692143791117776,0.011982068396414743
497.0,0.9859129627099837,0.008019967203530268,0.985945581618744,433.8,0.10982278481012658,0.013825617845948535,0.013825617845948535,0.012098877014882044
498.0,0.9955383751511104,0.008146961037107596,0.9955717098093202,439.20000000000005,0.11118987341772152,0.013960596570292383,0.013960596570292383,0.012217002541562792
499.0,1.0052726569663855,0.008276223452697419,1.0053067246959482,444.6,0.11255696202531645,0.014097101987578744,0.014097101987578744,0.012336464254305578
500.0,1.015117408684728,0.00840780250071238,1.0151522272830258,450.0,0.11392405063291139,0.014235156542284999,0.014235156542284999,0.012457281799585494
501.0,1.0250742615805386,0.008541747452420596,1.0251098493353907,470.25,0.1190506329113924,0.014374783110037405,0.014374783110037405,0.012579475201349557
502.0,1.0351448784149186,0.008678108836728116,1.0351812541200787,490.5,0.12417721518987342,0.01451600500800536,0.01451600500800536,0.012703064870119078
503.0,1.0453309541985534,0.008816938478253383,1.0453681371697663,510.75,0.12930379746835444,0.014658846005599416,0.014658846005599416,0.01282807161235814
504.0,1.0556342169769688,0.008958289536745665,1.0556722270686116,531.0,0.13443037974683544,0.014803330335483068,0.014803330335483068,0.01295451664011691
505.0,1.0660564286389804,0.009102216547902116,1.0660952862613091,551.25,0.13955696202531645,0.014949482704909766,0.014949482704909766,0.01308242158095983
506.0,1.0765993857490892,0.00924877546564008,1.0766391118861185,571.5,0.14468354430379746,0.015097328307395741,0.015097328307395741,0.013211808488188
507.0,1.0872649204047122,0.009398023705884585,1.0873055366327542,591.75,0.14981012658227846,0.015246892834741083,0.015246892834741083,0.013342699851366645
508.0,1.0980549011190848,0.009550020191933142,1.098096429625973,612.0,0.1549367088607595,0.015398202489410826,0.015398202489410826,0.01347511860716791
