wavelength_nm,rank,term,group,real,imag,magnitude,sign_real
600.0,1,C_m1_n1_l1,conduction,28.841180562803693,351.9613693278586,353.1410754859841,1
600.0,2,V_m1_n1_l1,valence,-28.67541414482619,-349.93845021285006,351.1113759389585,-1
600.0,3,C_m2_n2_l2,conduction,-10.894002095079713,74.50378718613233,75.29603964833805,-1
600.0,4,V_m2_n2_l2,valence,7.431585538855322,-50.8244135268238,51.36486614376517,1
600.0,5,C_m1_n2_l2,conduction,-0.34938414842770393,3.5318637157284054,3.549102786571757,-1
600.0,6,C_m1_n2_l1,conduction,-0.20281315441543596,-2.5278398273191516,2.535962808912003,-1
600.0,7,V_m1_n2_l1,valence,0.2368657015274338,-2.3944342652351516,2.406121528745438,1
600.0,8,C_m1_n1_l2,conduction,0.21223567525534084,-2.1782961181765623,2.1886109659585853,1
600.0,9,V_m2_n2_l1,valence,-0.12592915979372907,1.2638474413409275,1.2701057075182223,-1
600.0,10,V_m1_n2_l2,valence,-0.17874158378444605,1.2264911502304354,1.2394470926051457,-1
600.0,11,V_m2_n1_l1,valence,-0.05073370440075854,-0.6311094460680279,0.6331453558848209,-1
600.0,12,V_m1_n1_l2,valence,-0.022280902398628778,-0.5978345997866849,0.5982496529993168,-1
600.0,13,C_m2_n2_l1,conduction,0.006114679544694359,0.17777170993084118,0.17787683985744024,1
600.0,14,C_m2_n1_l2,conduction,-0.022734064555141677,0.1570078378590071,0.15864519797446633,-1
600.0,15,V_m2_n1_l2,valence,-0.0030558334596250103,-0.0846205204906654,0.08467567895354655,-1
600.0,16,C_m2_n1_l1,conduction,0.0030544848235015834,0.0845831747739484,0.0846383088936523,1
1330.0,1,C_m1_n1_l1,conduction,-83.70251905260298,-667.5757737693762,672.8027388614977,-1
1330.0,2,V_m1_n1_l1,valence,83.22143379574881,663.7388419036611,668.9357646998951,1
1330.0,3,C_m2_n2_l2,conduction,23.735916466357054,-148.25911776296388,150.1471269467061,1
1330.0,4,V_m2_n2_l2,valence,-16.19198270969002,101.13825075068793,102.42619815740467,-1
1330.0,5,C_m1_n2_l2,conduction,0.4544178539029347,-7.058870023616421,7.073481575310438,1
1330.0,6,C_m1_n2_l1,conduction,-0.111564677629873,5.144386452695579,5.145596044383241,-1
1330.0,7,V_m1_n2_l1,valence,-0.3080735180336353,4.785575440841316,4.795481372343883,-1
1330.0,8,C_m1_n1_l2,conduction,0.35186088339400945,4.124974867137802,4.139954557212113,1
1330.0,9,V_m2_n2_l1,valence,0.38476136914734166,-2.588373688066993,2.616814792885745,1
1330.0,10,V_m1_n2_l2,valence,0.18200229862972367,-2.3875644738921897,2.394491376826944,1
1330.0,11,V_m2_n1_l1,valence,0.08416997645778755,1.2334579435619646,1.2363264469682007,1
1330.0,12,V_m1_n1_l2,valence,0.12493669698115509,1.1348766153072678,1.1417329417266724,1
1330.0,13,C_m2_n2_l1,conduction,0.044412628987979125,-0.3702265012083423,0.3728808708027197,1
1330.0,14,C_m2_n1_l2,conduction,-0.004639265995638928,-0.2979107882966531,0.29794690898297893,-1
1330.0,15,V_m2_n1_l2,valence,0.008746741518423225,0.16513960267152983,0.16537107926629993,1
1330.0,16,C_m2_n1_l1,conduction,-0.008742881304268889,-0.16506672133276748,0.16529809576958246,-1
1520.0,1,C_m1_n1_l1,conduction,221.486733147933,-697.7619191414645,732.0710817704271,1
1520.0,2,V_m1_n1_l1,valence,-220.21372484289824,693.7514905917293,727.863459247289,-1
1520.0,3,C_m2_n2_l2,conduction,166.47239695256994,-14.142534406649597,167.0720510036831,1
1520.0,4,V_m2_n2_l2,valence,-113.56284375693899,9.64764402117109,113.97191108918976,-1
1520.0,5,C_m1_n2_l2,conduction,7.776501710198221,-7.138807262872192,10.556351073413229,1
1520.0,6,C_m1_n2_l1,conduction,-5.659859045530616,5.393421589660903,7.818120033556346,-1
1520.0,7,V_m1_n2_l1,valence,-5.272095317731749,4.83976905649244,7.1566999070403075,-1
1520.0,8,C_m1_n1_l2,conduction,-1.487906648519927,4.203755794986378,4.459308127791951,-1
1520.0,9,V_m1_n2_l2,valence,2.63643518085353,-2.407097051989807,3.570000935649766,1
1520.0,10,V_m2_n2_l1,valence,2.895742427070105,-0.24745984808865043,2.906296712372968,1
1520.0,11,V_m2_n1_l1,valence,-0.5721239892265901,1.2548872163824423,1.379154735658266,-1
1520.0,12,V_m1_n1_l2,valence,-0.38538142058459096,1.1757406113245215,1.237289305073618,-1
1520.0,13,C_m2_n2_l1,conduction,0.4165307714512809,-0.03637926728527361,0.41811641280152184,1
1520.0,14,C_m2_n1_l2,conduction,0.14682890690541475,-0.29295957747483115,0.3276950441146014,1
1520.0,15,V_m2_n1_l2,valence,-0.07761209757352823,0.16667262968104268,0.18385701829018347,-1
1520.0,16,C_m2_n1_l1,conduction,0.07757784489589185,-0.1665990717688903,0.18377587636288642,1
