wavelength_nm,C_m1_n1_l1_real,C_m1_n1_l1_imag,C_m1_n1_l1_magnitude,C_m1_n1_l2_real,C_m1_n1_l2_imag,C_m1_n1_l2_magnitude,V_m1_n1_l1_real,V_m1_n1_l1_imag,V_m1_n1_l1_magnitude,V_m1_n1_l2_real,V_m1_n1_l2_imag,V_m1_n1_l2_magnitude,C_m1_n2_l1_real,C_m1_n2_l1_imag,C_m1_n2_l1_magnitude,C_m1_n2_l2_real,C_m1_n2_l2_imag,C_m1_n2_l2_magnitude,V_m1_n2_l1_real,V_m1_n2_l1_imag,V_m1_n2_l1_magnitude,V_m1_n2_l2_real,V_m1_n2_l2_imag,V_m1_n2_l2_magnitude,C_m2_n1_l1_real,C_m2_n1_l1_imag,C_m2_n1_l1_magnitude,C_m2_n1_l2_real,C_m2_n1_l2_imag,C_m2_n1_l2_magnitude,V_m2_n1_l1_real,V_m2_n1_l1_imag,V_m2_n1_l1_magnitude,V_m2_n1_l2_real,V_m2_n1_l2_imag,V_m2_n1_l2_magnitude,C_m2_n2_l1_real,C_m2_n2_l1_imag,C_m2_n2_l1_magnitude,C_m2_n2_l2_real,C_m2_n2_l2_imag,C_m2_n2_l2_magnitude,V_m2_n2_l1_real,V_m2_n2_l1_imag,V_m2_n2_l1_magnitude,V_m2_n2_l2_real,V_m2_n2_l2_imag,V_m2_n2_l2_magnitude
400.0,32.34636941762269,0.18349702035514587,32.346889891576836,-0.24323922674335494,-0.0014913885486890575,0.2432437988243655,-32.16045671612083,-0.1824423602066971,32.16097419861965,-0.05898642912925222,-0.00034396249069545336,0.058987431980171,-0.22695119053081642,-0.001293804132255855,0.22695487836239073,0.385588788627765,0.0023749323176161276,0.3855961024426213,-0.26141071176366754,-0.0016100902460053133,0.2614156701794817,0.140720235142334,0.0008941072413695388,0.14072307559982067,0.008286868230775271,4.840783119938065e-05,0.00828700961700624,0.01828962548802914,0.00011588878010485754,0.018289992638099103,-0.05758224726551224,-0.00032724794174142,0.05758317715584966,-0.008290527103053887,-4.84292045417231e-05,0.00829066855171063,0.017010584270115574,9.985060941240365e-05,0.017010877324667984,8.48237197010364,0.0539873581300142,8.482543773776696,0.1369349332744849,0.0008448951981958314,0.13693753977191048,-5.786438474863612,-0.03682867567477566,5.786555674555796
401.0,32.69190164057107,0.18669883754860064,32.692434741583796,-0.24601350640138847,-0.001519592538907295,0.24601819951660145,-32.504002971859265,-0.1856257747634769,32.504533008841896,-0.05963127562865857,-0.0003501401866750869,0.05963230358833519,-0.22939557306054342,-0.0013164994869848733,0.22939935071981862,0.3900206748782016,0.0024200567821268163,0.3900281829653808,-0.26441531815615466,-0.0016406824694661488,0.2644204082792894,0.14238092499945532,0.0009116690737325188,0.14238384369092064,0.008377725654324883,4.927890299891213e-05,0.00837787058562103,0.018504440162375575,0.00011815871950680192,0.018504817405365925,-0.0581991885951359,-0.0003329692931856568,0.058200141079574726,-0.00838142464256758,-4.930066094257455e-05,0.008381569637854741,0.017198616507606714,0.00010165668214461504,0.017198916938480364,8.58276059808019,0.055049653040816,8.58293713994561,0.13851342730536928,0.0008609782877524278,0.13851610313422696,-5.854920807566026,-0.03755334374700597,5.855041239521391
402.0,33.04154221266418,0.1899628621410334,33.04208827662474,-0.24882459858426417,-0.0015484100181900277,0.24882941633618127,-32.85163396375888,-0.18887103917847162,32.852176889184015,-0.060284099200576306,-0.00035644299380866253,0.06028515296516017,-0.23186926090557605,-0.0013396377707580818,0.2318731307897811,0.3945117825074699,0.0024661663422428223,0.39451949066383124,-0.26746007380414,-0.0016719425405173085,0.26746529956458803,0.1440648120492104,0.0009296326938191516,0.14406781142128777,0.008469710299010821,5.0167644446407164e-05,0.008469858873778198,0.018722243261557896,0.00012048048970758266,0.018722630912704288,-0.05882348783872435,-0.00033880199657444906,0.058824463519061815,-0.008473449900915652,-5.018979479300811e-05,0.008473598541282731,0.01738900019984979,0.00010349954708644996,0.017389308212422457,8.684555148927672,0.05613628606164974,8.684736577316489,0.1401130724922066,0.0008774130174089673,0.1401158197235753,-5.9243622217873515,-0.03829461460166443,5.924485987193206
403.0,33.39535524965412,0.19329054465790504,33.39591462267885,-0.2516731653435777,-0.001577857399983357,0.25167811145991714,-33.20341343906268,-0.19217959564016018,33.203969597057345,-0.06094503108458673,-0.0003628739848984811,0.060946111372508084,-0.2343727134887732,-0.0013632293392214275,0.2343766780682794,0.3990631800010655,0.002513287403004939,0.3990710942252432,-0.27054570308956194,-0.0017038883605104708,0.27055106855410954,0.1457723397556607,0.000948009509975437,0.14577542234502625,0.008562840740009877,5.107448996299141e-05,0.00856299305980671,0.01894309182619851,0.00012285556116270813,0.018943490212331448,-0.05945526003233997,-0.00034474865130930296,0.059456259528713556,-0.008566621461476331,-5.109704070595792e-05,0.008566773848526396,0.017581774256437314,0.00010538011099187209,0.01758209006267783,8.787782534715868,0.05724794882295749,8.787969003421763,0.1417342510061051,0.0008942088214618178,0.14173707178320705,-5.9947810761938385,-0.03905296004982163,5.9949082799639575
404.0,33.75340622844447,0.1966833773341618,33.75397926724067,-0.2545598851131474,-0.0016079516460246685,0.2545649634519935,-33.5594064983418,-0.19555292780677883,33.5599762435631,-0.06161420547475326,-0.0003694363263915965,0.06161531302756136,-0.23690639999602656,-0.001387284846110303,0.23691046181695224,0.40367596229386615,0.002561447252060104,0.40368408879457207,-0.27367294832577116,-0.0017365384291619615,0.27367845770362736,0.14750396328659268,0.0009668113370306274,0.14750713172390648,0.008657135970866056,5.199988721576564e-05,0.008657292140521388,0.019167044402483024,0.00012528545671587805,0.019167453862535325,-0.06009462265561176,-0.0003508119315804074,0.060095646607152046,-0.008660958326179774,-5.202284654618169e-05,0.008661114564788156,0.017776978464008674,0.00010729930828767192,0.017777302282725217,8.892470378010632,0.05838535760835937,8.892662046529129,0.1433773544824057,0.000911375449701096,0.14338025102357627,-6.066196214132423,-0.039828868720261236,6.06632696507022
405.0,34.11576202469121,0.20014289557648993,34.1163490969361,-0.2574854532387619,-0.001638710288795013,0.2574906677939634,-33.91967963288034,-0.19899256226017165,33.92026333089223,-0.062291759606439394,-0.00037613328187126576,0.062292895189677656,-0.23947079964588014,-0.0014118152537027488,0.23947496133280377,0.4083512516250428,0.0026106740958072687,0.4083595968297715,-0.27684257033712023,-0.0017699118690579227,0.27684822798581826,0.14926014991820863,0.0009860504141065512,0.14926340693225945,0.008752615415785474,5.2944297611802905e-05,0.008752775543523045,0.01939416109424758,0.0001277717538947078,0.01939458197978806,-0.060741695699245105,-0.0003569945889893711,0.060742744764755725,-0.008756479927808392,-5.2967673924475866e-05,0.00875664012624661,0.017974653512015198,0.00010925810210569565,0.017974985569114543,8.998647036442923,0.05954925443503747,8.998844070222951,0.14504278432661494,0.0009289229803345063,0.14504575892841656,-6.138626980391019,-0.04062284679648787,6.138761391361161
406.0,34.482490951696725,0.20367067948666964,34.48309243643222,-0.2604505825292951,-0.0016701514550704075,0.26045593743612766,-34.28430076334592,-0.20250007002038878,34.28489879101176,-0.06297783384630896,-0.0003829682157039021,0.06297899825042899,-0.24206640196841556,-0.0014368318437094406,0.2420706662272024,0.41309019842744177,0.0026609970973123635,0.41309876899159975,-0.2800553490619217,-0.0018040284513588412,0.28006115949350796,0.15104137945731136,0.0010057394233617557,0.1510447278793776,0.008849298942381973,5.3908196814151544e-05,0.00884946313994959,0.01962450361731912,0.0001303160873269848,0.019624936293114112,-0.06139660173485383,-0.00036329945528157175,0.061397676593519926,-0.00885320614274811,-5.39319987139067e-05,0.008853370412813312,0.018174841019429216,0.00011125748536105518,0.018175181548187508,9.106341628339871,0.060740408190839444,9.106544199048443,0.14673095203267172,0.0009468618335438238,0.14673400707315953,-6.212093238683349,-0.04143541879242767,6.212231426792299
407.0,34.85366280065067,0.20726835544900982,34.854279088694845,-0.2634560038302277,-0.0017022938906349858,0.2634615033713333,-34.65333927979909,-0.20607706812399773,34.65395202569071,-0.06367257178564978,-0.00038994459684962954,0.06367376582696625,-0.2446937070937901,-0.0014623462286217567,0.24469807671453797,0.41789398225310637,0.002712446416093586,0.4179027850695898,-0.2833120841799079,-0.001838908622772069,0.28331805206743554,0.1528481446818973,0.001025891509727951,0.15285158745033675,0.008947206874893388,5.4892075280990435e-05,0.008947375257698101,0.019858135356226134,0.0001329201512848717,0.01985858020083047,-0.06205946598721004,-0.00036972944519346435,0.06206056733933652,-0.008951157304210455,-5.491631158920337e-05,0.008951325761360644,0.01837758356243886,0.00011329848187871298,0.018377932803784514,9.215584059473484,0.06195961583158976,9.215792345274266,0.14844227951414798,0.0009652027857102333,0.14844541745629597,-6.286615389896135,-0.04226712836920059,6.286757476682197
408.0,35.229348882273186,0.21093759778500384,35.229980376649124,-0.2665024666206732,-0.0017351569862229484,0.26650811523229434,-35.02686608309737,-0.20972522126922835,35.02749394792144,-0.06437612033716783,-0.0003970660028450122,0.06437734485885643,-0.24735322605082546,-0.0014883703635404015,0.2473577039109351,0.4227638127367082,0.0027650532498848268,0.4227728549459546,-0.28661359576539047,-0.0018745735338654178,0.28661972594973384,0.15468095180112332,0.0010465203017002709,0.15468449196620618,0.009046360007889312,5.5896438829149344e-05,0.009046532695138668,0.020095121423404555,0.00013558570236498775,0.020095578829783894,-0.06273041640901213,-0.0003762875594204839,0.06273154497679323,-0.009050354215946375,-5.592111859052717e-05,0.009050526979441736,0.018582924703172212,0.0001153821475709778,0.018583282905981553,9.326405050985551,0.06320770364234145,9.326619236832205,0.15017719944901523,0.0009839569843470726,0.15018042284431196,-6.362214391138724,-0.04311853919551142,6.362360502772146
409.0,35.60962206992013,0.21468013047853488,35.61026918630306,-0.26959073963506835,-0.0017687608047608028,0.26959654191359295,-35.40495362775263,-0.213446243531263,35.40559702479528,-0.06508862983540857,-0.0004043361239670585,0.0650898857085491,-0.2500454810760723,-0.0015149165585083382,0.25005007014344877,0.42770093059876224,0.0028188498784922815,0.42771021959930383,-0.2899607249673927,-0.0019110450687998435,0.28996702246440187,0.15654032093567888,0.0010676399332472792,0.15654396166467874,0.009146779620492538,5.692180922328345e-05,0.009146956735342245,0.020335528721031528,0.0001383145623128742,0.02033599909721787,-0.06340958375827767,-0.00038297688771151653,0.06341074028659933,-0.009150818166473958,-5.6946941712906236e-05,0.009150995359524572,0.018790909019497246,0.00011750957166860224,0.018791276440903545,9.438836168551477,0.06448552856656982,9.439056446496654,0.15193615563864862,0.0010031359637811537,0.1519394671308725,-6.438911775637818,-0.043990235854388854,6.4390620431315835
