case,name,interface_mode,grading_nm,is_anchor,raw_at_1550_pm_per_V,raw_peak_pm_per_V,calibration_factor_K,calibrated_at_1550_pm_per_V,calibrated_peak_pm_per_V,peak_wavelength_nm,enhancement_at_1550_vs_bulk_gaas,enhancement_peak_vs_bulk_gaas,spectrum_available
case_01,reference_graded,graded,0.7,False,53.82697949242898,106.08652742903536,27.626615634410776,1487.0572731986467,2930.811717271336,1508.0,3.9444490005269146,7.774036385335108,False
case_02,abrupt_reference,abrupt,0.0,True,84.70092866117757,145.78227349698668,27.626615634410776,2340.0,4027.4708362118,1520.0,6.206896551724138,10.682946515150663,False
case_03,thin_barrier,graded,0.4,False,143.76859641665376,232.10202868931714,27.626615634410776,3971.8397535016197,6412.193534566747,1526.0,10.535383961542758,17.00847091397015,False
case_04,thick_barrier,graded,0.7,False,16.44039049847783,33.11191773615134,27.626615634410776,454.19234918106594,914.7702242148821,1506.0,1.2047542418595913,2.4264462180766104,False
case_05,low_asymmetry,graded,0.7,False,13.62389899947073,15.718935186964169,27.626615634410776,376.3822211004114,434.26098059247397,1542.0,0.9983613291788102,1.1518858901657134,False
case_06,high_asymmetry,graded,0.7,False,68.11571485161028,148.1713199200176,27.626615634410776,1881.8066728685628,4093.472103473639,1496.0,4.991529636256135,10.85801618958525,False
case_07,asymmetric_grading,graded,0.4,False,15.651995999394785,33.73211783012291,27.626615634410776,432.4116773866149,931.90425382746,1498.0,1.1469805766223207,2.4718945724866312,False
case_08,controlled_overlap,graded,1.4,False,101.80158965078347,218.35618229154005,27.626615634410776,2812.4333882542046,6032.44231956571,1501.0,7.460035512610622,16.001173261447505,False
case_09,native_linear_wide_grade,graded,1.0,False,45.168351310847164,96.16118728242,27.626615634410776,1247.8486805048087,2656.608160000007,1500.0,3.3099434496148774,7.046705994694979,False
case_10,imported_linear_equivalent,graded,1.0,False,45.16835131083867,96.16118728240168,27.626615634410776,1247.848680504574,2656.608159999501,1500.0,3.309943449614255,7.046705994693636,False
