model,gamma_meV,node1_nm,node1_depth,node2_nm,node2_depth,peak_nm,peak_norm,rmse,real_crossing_node1_nm,real_crossing_node2_nm,max_abs_imag_pm_per_V
demo21,20,550.0,0.06311719318667329,1200.0,0.3902357883994652,1295.0,1.0,0.3419578384096395,,1396.6882064159693,28.278317048833078
demo21,10,550.0,0.05319886865878118,1200.0,0.3298203858334467,1499.0,1.0,0.31681541554064113,,1395.44175373062,29.757937090477384
demo21,5,550.0,0.04508341942636754,1200.0,0.2797005782086153,1502.0,1.0,0.29124138370204883,,1394.5722663253966,30.773531349181685
demo21,2,550.0,0.03670752209221028,1200.0,0.22778030103014288,1289.0,1.0,0.2684794417511725,,1377.9200645923663,36.77150068302336
demo21,1,550.0,0.026959031772513836,1200.0,0.1672928860103584,1289.0,1.0,0.2623862745498734,,1316.917360248383,59.2809004710644
demo21,0.5,550.0,0.01786973668221454,1372.0,0.0846382678726966,1301.0,1.0,0.28082437171564095,644.8132628373345,1289.9174264531368,110.81258803877056
demo21,0.1,550.0,0.0037575781035436595,1398.0,0.0028807465613389428,1305.0,1.0,0.32209538679777655,644.6295387629172,1289.8060073663123,534.3666460768003
hybrid,20,581.0,0.3233519572211569,1275.0,0.6393401182908952,1048.0,1.0,0.27581200555682533,578.3822767328498,1270.9161422941938,47.37747045428385
hybrid,10,583.0,0.28531012275596446,1271.0,0.5638907028467038,1046.0,1.0,0.23404641605399004,577.6918009433888,1269.0604311567206,50.08001107312958
hybrid,5,584.0,0.25449887478946304,1269.0,0.5028424275458602,1045.0,1.0,0.20377168523644773,577.3706954250227,1268.099198501241,51.69604349601742
hybrid,2,568.0,0.21087002057818927,1238.0,0.4240254776744535,1045.0,1.0,0.18011288493255218,585.4468678781299,1253.9298203116164,57.42686142355969
hybrid,1,568.0,0.14358772380231538,1238.0,0.29755463850476094,1047.0,1.0,0.17865368004182877,557.8769639657203,1199.2192291618894,80.32153287120617
hybrid,0.5,613.0,0.051519312568923725,1236.0,0.11330930659176933,1049.0,1.0,0.1977351604193837,557.3740449351071,1199.382433385287,140.5230469732079
hybrid,0.1,610.0,0.00042345121696066984,1303.0,0.002578392997658973,1056.0,1.0,0.2874422245213919,557.4683663878941,1199.4465939236134,651.7409304044068
