z_nm,psi_e1_raw,psi_e2_raw,psi_hh1_raw,psi_hh2_raw,psi_e1_normalized,psi_e2_normalized,psi_hh1_normalized,psi_hh2_normalized,psi_e1_times_psi_hh1,psi_e1_z_psi_e1
3.5253064226355999,0,0,0,0,0,0,0,0,0,0
4.0603667626829001,0.00062641888342782753,-0.00063852619970887644,7.6139102151837693e-06,2.5646917042995806e-05,0.00062641888342782753,-0.00063852619970887644,7.6139102151837693e-06,2.5646917042995809e-05,4.7694971355151469e-09,1.5932904250140141e-06
4.5814619412396,0.0014333869326521944,-0.0014046861882959921,2.248764171685491e-05,7.2639260962246611e-05,0.0014333869326521944,-0.0014046861882959921,2.248764171685491e-05,7.2639260962246624e-05,3.223349178310419e-08,9.4130629937284361e-06
5.0889564512812004,0.0026466297487925897,-0.0024519375091395863,5.7867036849833772e-05,0.00017754490214997174,0.0026466297487925897,-0.0024519375091395863,5.7867036849833772e-05,0.00017754490214997177,1.5315262120124708e-07,3.5646353855899115e-05
5.5832052724576,0.0045765977941453814,-0.0039703408136933785,0.00014331887176063942,0.00041681495495762052,0.0045765977941453814,-0.0039703408136933785,0.00014331887176063942,0.00041681495495762057,6.5591283235914716e-07,0.00011694161554563083
6.0645541193924002,0.00768365163364137,-0.0062147091518365656,0.00034633453030951858,0.00095512746188114548,0.00768365163364137,-0.0062147091518365656,0.00034633453030951858,0.00095512746188114559,2.661113879599149e-06,0.00035804219309738952
6.5333396835016,0.01266422143894495,-0.0095371341513526466,0.00081862363220230677,0.0021429122896159001,0.01266422143894495,-0.0095371341513526466,0.00081862363220230677,0.0021429122896159006,1.0367230953363439e-05,0.0010478333821994932
6.9898898685006001,0.020570419793792916,-0.01442726689546592,0.0018941504759211925,0.0047116714205751803,0.020570419793792916,-0.01442726689546592,0.0018941504759211925,0.0047116714205751812,3.8963470442311571e-05,0.0029577171704634475
7.4345240197648996,0.032977793037650867,-0.02156355187842288,0.0042925345003853831,0.010157986177367526,0.032977793037650867,-0.02156355187842288,0.0042925345003853831,0.010157986177367528,0.00014155831436068523,0.0080853038429839937
7.8675531477040002,0.052219467536584789,-0.031878743107868819,0.0095320775296559614,0.021483414457798996,0.052219467536584789,-0.031878743107868819,0.0095320775296559614,0.021483414457798999,0.00049776001311607884,0.021453816600814253
8.2892801453052005,0.081709696145259664,-0.046643334501031745,0.020750799819956915,0.044591716242616916,0.081709696145259664,-0.046643334501031745,0.020750799819956915,0.044591716242616923,0.0016955415480597884,0.055343167050535658
8.6999999999999993,0.12638567692994951,-0.06757093084865963,0.044304826493557818,0.090875765555505764,0.12638567692994951,-0.06757093084865963,0.044304826493557818,0.090875765555505778,0.0055994954876522661,0.13896805219746167
9.0999999999999996,0.19330348079871923,-0.096950016605187456,0.092817185299514632,0.1819153728568115,0.19330348079871923,-0.096950016605187456,0.092817185299514632,0.18191537285681153,0.01794188499633589,0.34003274476899742
9.4944444444443992,0.24143132108203902,-0.11573457357993937,0.16643596095845933,0.30948236543293556,0.24143132108203902,-0.11573457357993937,0.16643596095845933,0.30948236543293561,0.040182853929759503,0.55342245835669968
9.8888888888888999,0.28586307918479881,-0.12930937293406927,0.23613998833079905,0.40832853456587098,0.28586307918479881,-0.12930937293406927,0.23613998833079905,0.40832853456587104,0.067503704182904675,0.80809725596114479
10.283333333332999,0.32591854746601873,-0.13706334908710924,0.3002897556178088,0.46928068110506815,0.32591854746601873,-0.13706334908710924,0.3002897556178088,0.46928068110506821,0.097870000969881979,1.0923254840385614
10.677777777777999,0.36098451508840856,-0.13864745909447923,0.35737639304082858,0.48668227648940732,0.36098451508840856,-0.13864745909447923,0.35737639304082858,0.48668227648940737,0.129007343945888,1.391419301648946
11.072222222222001,0.39052415568869847,-0.13399039471241925,0.40605716304028838,0.45891840431495862,0.39052415568869847,-0.13399039471241925,0.40605716304028838,0.45891840431495867,0.15857513075765681,1.6886148252194497
11.466666666667001,0.41408524567489835,-0.12330179231754931,0.44518704287082822,0.38856562906450193,0.41408524567489835,-0.12330179231754931,0.44518704287082822,0.38856562906450198,0.18434538601844841,1.9661502398620732
