wavelength_nm,photon_energy_eV,chi2_raw_real_pm_per_V,chi2_raw_imag_pm_per_V,chi2_raw_abs_pm_per_V,chi2_scaled_abs_pm_per_V
1400.000000,0.88560141714285712,1.0075796900904084,-30.347440927925202,30.364162884983219,1198.7291025800982
1401.000000,0.88496929621698783,1.169744402921246,-30.269958480294402,30.292551697849959,1195.9020062293075
1402.000000,0.8843380770328102,1.2848265276569031,-30.256771193512616,30.284038407430835,1195.565914994954
1403.000000,0.88370775766215248,1.4536835106556203,-30.265517092057515,30.300407927926937,1196.2121577610824
1404.000000,0.88307833618233611,1.6101927360541932,-30.238346645721265,30.281187699858208,1195.4533735709338
1405.000000,0.88244981067615647,1.7480767632354126,-30.249458220750519,30.299925660289905,1196.1931185979101
1406.000000,0.88182217923186335,1.9301335867670681,-30.258421201906422,30.319918688788505,1196.9824117261539
1407.000000,0.88119543994314142,2.0831601924295091,-30.23263661676566,30.304321031640402,1196.3666409036118
1408.000000,0.88056959090909082,2.2157028900333842,-30.259209297141012,30.34022225668572,1197.7839644584585
1409.000000,0.87994463023420855,2.4079901812755753,-30.29008849522625,30.385652498535507,1199.5774785180715
1410.000000,0.87932055602836878,2.5850534540190919,-30.270720250135295,30.380898700039918,1199.3898060758556
1411.000000,0.87869736640680363,2.729413636535917,-30.283957542263831,30.406706221176712,1200.4086461726274
1412.000000,0.87807505949008491,2.9113415588615452,-30.310531842385483,30.450028739569664,1202.1189506454168
1413.000000,0.87745363340410465,3.0861037479317979,-30.309744164579801,30.466450854428022,1202.7672697537419
1414.000000,0.87683308628005652,3.2513679263427542,-30.333814125053067,30.507567467199333,1204.3904885632046
1415.000000,0.87621341625441684,3.4477364021019548,-30.34934701201361,30.54455353011398,1205.8506398004897
1416.000000,0.87559462146892653,3.6192531195749078,-30.342171259085621,30.557263455015637,1206.3524075234773
1417.000000,0.8749767000705716,3.7839786671243698,-30.371433521978695,30.606248851063459,1208.2862734451685
1418.000000,0.87435965021156548,3.9850117799997729,-30.392676362142161,30.652815455364813,1210.1246492961941
1419.000000,0.87374347004933051,4.1671272076133681,-30.391597869398787,30.675954267466178,1211.0381329832001
1420.000000,0.87312815774647878,4.3464798063270775,-30.414602555047825,30.723605506000283,1212.9193284774144
1421.000000,0.87251371147079515,4.5446740739062177,-30.425094302168656,30.762646598332385,1214.4606090242312
1422.000000,0.87190012939521799,4.7219665337138048,-30.432762597504251,30.796915547852624,1215.8134929242542
1423.000000,0.87128740969782148,4.9140654115152387,-30.463155559066639,30.856958461334827,1218.1838921368869
1424.000000,0.87067555056179768,5.1218736307318924,-30.469287480545834,30.89678088509115,1219.7560184119568
1425.000000,0.87006455017543849,5.3052470807339027,-30.474570915190732,30.932913200224522,1221.1824650378041
1426.000000,0.86945440673211771,5.500928977338905,-30.498250838860436,30.990377923539079,1223.4510813823354
1427.000000,0.86884511843027323,5.7030809238791393,-30.507264487086985,31.03575870684319,1225.2426428968276
1428.000000,0.86823668347338934,5.8976521937654933,-30.525251848552074,31.089762009641671,1227.3746078367203
1429.000000,0.86762910006997895,6.1109205685118662,-30.540923717352616,31.146289854552712,1229.6062377043932
1430.000000,0.86702236643356634,6.3117970530456935,-30.540693512820365,31.186098542184848,1231.1778216990158
1431.000000,0.86641648078266942,6.5068478902103584,-30.561242186286115,31.246257270834363,1233.5527931111883
1432.000000,0.86581144134078203,6.7230564446460352,-30.58004435317627,31.310359317646363,1236.0834404845268
1433.000000,0.86520724633635726,6.9349389727257664,-30.58814521080652,31.364438556951992,1238.2184032775608
1434.000000,0.86460389400278936,7.1487772708684458,-30.599749006008825,31.423711679227573,1240.5584123514702
1435.000000,0.8640013825783972,7.3599354705122826,-30.604985747072522,31.477512651234328,1242.6823895918731
1436.000000,0.86339971030640661,7.5678787651718151,-30.624261474454055,31.545493812271655,1245.3661782565337
