z_nm,psi_e1_raw,psi_e2_raw,psi_hh1_raw,psi_hh2_raw,psi_e1_normalized,psi_e2_normalized,psi_hh1_normalized,psi_hh2_normalized,psi_e1_times_psi_hh1,psi_e1_z_psi_e1
7.1142317671145996,0,0,0,0,0,0,0,0,0,0
7.260978922993,0.0072599083610201433,-0.0047643191898635775,0.0012323833513220072,-0.0029932584075429173,0.0072599083610201433,-0.0047643191898635775,0.0012323833513220072,-0.0029932584075429173,8.9469901962446643e-06,0.00038269911129857904
7.4003918486039,0.014321083070652085,-0.0093645384884254567,0.0024904994196762145,-0.0060213348158185348,0.014321083070652085,-0.0093645384884254567,0.0024904994196762145,-0.0060213348158185348,3.5666649076593878e-05,0.0015177716759126516
7.5328370991510001,0.02132152156377113,-0.013866146218394935,0.0038450120043589226,-0.0092328958892595545,0.02132152156377113,-0.013866146218394935,0.0038450120043589226,-0.0092328958892595545,8.1981506363897617e-05,0.0034244825978447277
7.6586629098899,0.02836468494804617,-0.018318240481195913,0.0053537634144791308,-0.012747317846772074,0.02836468494804617,-0.018318240481195913,0.0053537634144791308,-0.012747317846772074,0.00015185781253807646,0.0061618182348622264
7.7782001117353996,0.035527223500673215,-0.022757043363998891,0.0070660136498580418,-0.016663492499408097,0.035527223500673215,-0.022757043363998891,0.0070660136498580418,-0.016663492499408097,0.00025103584619731435,0.0098175166937407941
7.8917630011069999,0.042864661283828258,-0.027208584902321871,0.0090249165377949535,-0.02106516575406912,0.042864661283828258,-0.027208584902321871,0.0090249165377949535,-0.02106516575406912,0.00038684999050740069,0.014500161086791715
7.9996501663019002,0.050415652000309306,-0.031690781201578852,0.011268892885742066,-0.026024089624852149,0.050415652000309306,-0.031690781201578852,0.011268892885742066,-0.026024089624852149,0.00056812858215633333,0.020333014547337873
8.1021452725657994,0.058205227061896347,-0.036215065896097832,0.013832314112438081,-0.03160180108814218,0.058205227061896347,-0.036215065896097832,0.013832314112438081,-0.03160180108814218,0.00080511298370593179,0.02744884036270057
8.1995178079279007,0.066247326663480405,-0.040787688498900812,0.016745761654872095,-0.037850553696908214,0.066247326663480405,-0.040787688498900812,0.016745761654872095,-0.037850553696908214,0.0011093619425790958,0.03598529177813041
8.2920237917592008,0.074546815343988437,-0.045410761103640784,0.020036036396670117,-0.044813747450442254,0.074546815343988437,-0.045410761103640784,0.020036036396670117,-0.044813747450442254,0.0014936227054879988,0.04608066412162419
8.3799064479186001,0.083101121879458506,-0.050083112223373763,0.023726034853305138,-0.052526086397015302,0.083101121879458506,-0.050083112223373763,0.023726034853305138,-0.052526086397015302,0.0019716601140607908,0.057869928263261955
8.4633968442558007,0.091901600641804554,-0.05480099046803074,0.027834571305242164,-0.061013616815056355,0.091901600641804554,-0.05480099046803074,0.027834571305242164,-0.061013616815056355,0.002558041656130198,0.071481038957616289
8.5427145001524991,0.10093468189705061,-0.059558649323901723,0.032376199619149185,-0.070293746758365402,0.10093468189705061,-0.059558649323901723,0.032376199619149185,-0.070293746758365402,0.0032678814095942342,0.087031552294310977
8.6180679636999002,0.11018285792563066,-0.0643488361457807,0.03736107055528122,-0.080375311416509457,0.11018285792563066,-0.0643488361457807,0.03736107055528122,-0.080375311416509457,0.004116549528942014,0.10462560457006095
8.6896553600291,0.11940042086367073,-0.069047016320667676,0.042778899769601253,-0.091223941325132521,0.11940042086367073,-0.069047016320667676,0.042778899769601253,-0.091223941325132521,0.0051078186365751763,0.12388372841991183
8.7576649122372991,0.12845493690992077,-0.073589530332127659,0.048585935605409282,-0.1027361995028806,0.12845493690992077,-0.073589530332127659,0.048585935605409282,-0.1027361995028806,0.0062411032929023226,0.14450734583831787
8.8222754362783995,0.13729229763060083,-0.077954048750030633,0.054727027718405319,-0.11478813328177066,0.13729229763060083,-0.077954048750030633,0.054727027718405319,-0.11478813328177066,0.0075135993779534447,0.16629261349682839
8.8836568111192999,0.14586968354384089,-0.082124893780031613,0.06114531260456036,-0.12725599409173072,0.14586968354384089,-0.082124893780031613,0.06114531260456036,-0.12725599409173072,0.0089192473998164455,0.18902613494282286
8.9419704253995,0.1541540295474309,-0.086091853335803603,0.067783335906082404,-0.1400184916323908,0.1541540295474309,-0.086091853335803603,0.067783335906082404,-0.1400184916323908,0.010449074366089661,0.21249219967652189
8.9973696017656,0.16212067319865098,-0.089849180383988578,0.07458422538598844,-0.1529590136012409,0.16212067319865098,-0.089849180383988578,0.07458422538598844,-0.1529590136012409,0.012091644829576359,0.23647887905227036
