index,k_per_nm,dk_per_nm,weight_raw_per_nm2,weight_scaled_per_nm2
0,0,0.0029248128380645446,0,0
1,0.0058496256761290891,0.0058496256761290891,1.0891966057957513e-05,0.0004299975845685335
2,0.011699251352258178,0.0058496256761290891,2.1783932115915026e-05,0.00085999516913706699
3,0.017548877028387269,0.0058496256761290891,3.2675898173872545e-05,0.0012899927537056008
4,0.023398502704516357,0.0058496256761290891,4.3567864231830053e-05,0.001719990338274134
5,0.029248128380645444,0.0058496256761290891,5.4459830289787568e-05,0.0021499879228426672
6,0.035097754056774538,0.0058496256761290891,6.535179634774509e-05,0.0025799855074112015
7,0.040947379732903626,0.0058496256761290891,7.6243762405702598e-05,0.003009983091979735
8,0.046797005409032713,0.0058496256761290891,8.7135728463660106e-05,0.003439980676548268
9,0.052646631085161801,0.0058496256761290891,9.8027694521617614e-05,0.0038699782611168018
10,0.058496256761290888,0.0058496256761290891,0.00010891966057957514,0.0042999758456853344
11,0.064345882437419982,0.0058496256761290891,0.00011981162663753264,0.0047299734302538683
12,0.070195508113549077,0.0058496256761290891,0.00013070359269549018,0.005159971014822403
13,0.076045133789678157,0.0058496256761290891,0.00014159555875344767,0.0055899685993909352
14,0.081894759465807251,0.0058496256761290891,0.0001524875248114052,0.0060199661839594699
15,0.087744385141936332,0.0058496256761290891,0.00016337949086936269,0.0064499637685280029
16,0.093594010818065426,0.0058496256761290891,0.00017427145692732021,0.0068799613530965359
17,0.099443636494194521,0.0058496256761290891,0.00018516342298527773,0.0073099589376650707
18,0.1052932621703236,0.0058496256761290891,0.00019605538904323523,0.0077399565222336037
19,0.1111428878464527,0.0058496256761290891,0.00020694735510119275,0.0081699541068021367
20,0.11699251352258178,0.0058496256761290891,0.00021783932115915027,0.0085999516913706688
21,0.12284213919871087,0.0058496256761290891,0.00022873128721710779,0.0090299492759392044
22,0.12869176487483996,0.0058496256761290891,0.00023962325327506529,0.0094599468605077366
23,0.13454139055096906,0.0058496256761290891,0.00025051521933302281,0.0098899444450762722
24,0.14039101622709815,0.0058496256761290891,0.00026140718539098036,0.010319942029644806
25,0.14624064190322722,0.0058496256761290891,0.0002722991514489378,0.010749939614213338
26,0.15209026757935631,0.0058496256761290891,0.00028319111750689535,0.01117993719878187
27,0.15793989325548541,0.0058496256761290891,0.0002940830835648529,0.011609934783350406
28,0.1637895189316145,0.0058496256761290891,0.00030497504962281039,0.01203993236791894
29,0.1696391446077436,0.0058496256761290891,0.00031586701568076789,0.012469929952487472
30,0.17548877028387266,0.0058496256761290891,0.00032675898173872538,0.012899927537056006
31,0.18133839596000176,0.0058496256761290891,0.00033765094779668287,0.013329925121624538
32,0.18718802163613085,0.0058496256761290891,0.00034854291385464042,0.013759922706193072
33,0.19303764731225995,0.0058496256761290891,0.00035943487991259797,0.014189920290761607
34,0.19888727298838904,0.0058496256761290891,0.00037032684597055547,0.014619917875330141
35,0.20473689866451811,0.0058496256761290891,0.00038121881202851296,0.015049915459898672
36,0.2105865243406472,0.0058496256761290891,0.00039211077808647046,0.015479913044467207
37,0.2164361500167763,0.0058496256761290891,0.000403002744144428,0.015909910629035739
38,0.22228577569290539,0.0058496256761290891,0.0004138947102023855,0.016339908213604273
39,0.22813540136903449,0.0058496256761290891,0.00042478667626034305,0.016769905798172807
40,0.23398502704516355,0.0058496256761290891,0.00043567864231830054,0.017199903382741338
41,0.23983465272129265,0.0058496256761290891,0.00044657060837625804,0.017629900967309872
42,0.24568427839742174,0.0058496256761290891,0.00045746257443421559,0.018059898551878409
43,0.25153390407355081,0.0058496256761290891,0.00046835454049217303,0.018489896136446939
44,0.25738352974967993,0.0058496256761290891,0.00047924650655013058,0.018919893721015473
45,0.263233155425809,0.0058496256761290891,0.00049013847260808807,0.019349891305584007
46,0.26908278110193812,0.0058496256761290891,0.00050103043866604562,0.019779888890152544
47,0.27493240677806718,0.0058496256761290891,0.00051192240472400317,0.020209886474721075
48,0.28078203245419631,0.0058496256761290891,0.00052281437078196072,0.020639884059289612
49,0.28663165813032537,0.0058496256761290891,0.00053370633683991816,0.021069881643858143
50,0.29248128380645444,0.0058496256761290891,0.0005445983028978756,0.021499879228426676
51,0.29833090948258356,0.0058496256761290891,0.00055549026895583325,0.02192987681299521
52,0.30418053515871263,0.0058496256761290891,0.00056638223501379069,0.022359874397563741
53,0.31003016083484175,0.0058496256761290891,0.00057727420107174824,0.022789871982132278
54,0.31587978651097082,0.0058496256761290891,0.00058816616712970579,0.023219869566700812
55,0.32172941218709988,0.0058496256761290891,0.00059905813318766323,0.023649867151269342
56,0.32757903786322901,0.0058496256761290891,0.00060995009924562078,0.02407986473583788
57,0.33342866353935807,0.0058496256761290891,0.00062084206530357822,0.02450986232040641
58,0.33927828921548719,0.0058496256761290891,0.00063173403136153577,0.024939859904974944
59,0.34512791489161626,0.0058496256761290891,0.00064262599741949332,0.025369857489543474
60,0.35097754056774533,0.0058496256761290891,0.00065351796347745076,0.025799855074112012
61,0.35682716624387445,0.0058496256761290891,0.00066440992953540842,0.026229852658680546
62,0.36267679192000352,0.0058496256761290891,0.00067530189559336575,0.026659850243249076
63,0.36852641759613264,0.0058496256761290891,0.00068619386165132341,0.027089847827817613
64,0.3743760432722617,0.0058496256761290891,0.00069708582770928085,0.027519845412386144
65,0.38022566894839077,0.0058496256761290891,0.0007079777937672384,0.027949842996954681
66,0.38607529462451989,0.0058496256761290891,0.00071886975982519594,0.028379840581523215
67,0.39192492030064896,0.0058496256761290891,0.00072976172588315338,0.028809838166091745
68,0.39777454597677808,0.0058496256761290891,0.00074065369194111093,0.029239835750660283
69,0.40362417165290715,0.0058496256761290891,0.00075154565799906837,0.029669833335228813
70,0.40947379732903622,0.0058496256761290891,0.00076243762405702592,0.030099830919797343
71,0.41532342300516534,0.0058496256761290891,0.00077332959011498347,0.030529828504365877
72,0.4211730486812944,0.0058496256761290891,0.00078422155617294091,0.030959826088934415
73,0.42702267435742353,0.0058496256761290891,0.00079511352223089846,0.031389823673502952
74,0.43287230003355259,0.0058496256761290891,0.00080600548828885601,0.031819821258071479
75,0.43872192570968166,0.0058496256761290891,0.00081689745434681345,0.032249818842640013
76,0.44457155138581078,0.0058496256761290891,0.000827789420404771,0.032679816427208547
77,0.45042117706193985,0.0058496256761290891,0.00083868138646272855,0.033109814011777081
78,0.45627080273806897,0.0058496256761290891,0.0008495733525206861,0.033539811596345614
79,0.46212042841419804,0.0058496256761290891,0.00086046531857864354,0.033969809180914148
80,0.4679700540903271,0.0058496256761290891,0.00087135728463660109,0.034399806765482675
81,0.47381967976645623,0.0058496256761290891,0.00088224925069455863,0.034829804350051216
82,0.47966930544258529,0.0058496256761290891,0.00089314121675251607,0.035259801934619743
83,0.48551893111871441,0.0058496256761290891,0.00090403318281047362,0.035689799519188284
84,0.49136855679484348,0.0058496256761290891,0.00091492514886843117,0.036119797103756818
85,0.4972181824709726,0.0058496256761290891,0.00092581711492638861,0.036549794688325352
86,0.50306780814710161,0.0058496256761290891,0.00093670908098434605,0.036979792272893879
87,0.50891743382323074,0.0058496256761290891,0.00094760104704230371,0.037409789857462412
88,0.51476705949935986,0.0058496256761290891,0.00095849301310026115,0.037839787442030946
89,0.52061668517548898,0.0058496256761290891,0.0009693849791582187,0.038269785026599487
90,0.52646631085161799,0.0058496256761290891,0.00098027694521617614,0.038699782611168014
91,0.53231593652774711,0.0058496256761290891,0.0009911689112741338,0.039129780195736548
92,0.53816556220387624,0.0058496256761290891,0.0010020608773320912,0.039559777780305089
93,0.54401518788000525,0.0058496256761290891,0.0010129528433900487,0.039989775364873616
94,0.54986481355613437,0.0058496256761290891,0.0010238448094480063,0.04041977294944215
95,0.55571443923226349,0.0029248128380645446,0.00051736838775298189,0.020424885267005345
