k_index,k_per_nm,dE_11_eV,dE_12_eV,dE_21_eV,dE_22_eV
0,0,1.4933526957039998,1.5283667159019998,1.613217415774,1.6482314359720001
1,0.0058496256761290891,1.4933837941934274,1.5283978143914274,1.6132485142634276,1.6482625344614277
2,0.011699251352258178,1.4934770896617104,1.5284911098597105,1.6133418097317107,1.6483558299297107
3,0.017548877028387269,1.493632582108849,1.528646602306849,1.6134973021788492,1.6485113223768493
4,0.023398502704516357,1.4938502715348427,1.5288642917328428,1.613714991604843,1.648729011802843
5,0.029248128380645444,1.4941301579396917,1.5291441781376918,1.613994878009692,1.649008898207692
6,0.035097754056774538,1.4944722413233962,1.5294862615213962,1.6143369613933964,1.6493509815913965
7,0.040947379732903626,1.4948765216859561,1.5298905418839561,1.6147412417559563,1.6497552619539564
8,0.046797005409032713,1.4953429990273712,1.5303570192253713,1.6152077190973715,1.6502217392953715
9,0.052646631085161801,1.4958716733476418,1.5308856935456419,1.6157363934176421,1.6507504136156421
10,0.058496256761290888,1.4964625446467679,1.5314765648447679,1.6163272647167681,1.6513412849147682
11,0.064345882437419982,1.4971156129247492,1.5321296331227492,1.6169803329947494,1.6519943531927495
12,0.070195508113549077,1.4978308781815859,1.5328448983795859,1.6176955982515862,1.6527096184495862
13,0.076045133789678157,1.4986083404172779,1.5336223606152779,1.6184730604872781,1.6534870806852782
14,0.081894759465807251,1.4994479996318251,1.5344620198298251,1.6193127197018253,1.6543267398998254
15,0.087744385141936332,1.500349855825228,1.535363876023228,1.6202145758952282,1.6552285960932283
16,0.093594010818065426,1.5013139089974861,1.5363279291954861,1.6211786290674863,1.6561926492654864
17,0.099443636494194521,1.5023401591485994,1.5373541793465995,1.6222048792185997,1.6572188994165997
18,0.1052932621703236,1.5034286062785682,1.5384426264765683,1.6232933263485685,1.6583073465465685
19,0.1111428878464527,1.5045792503873925,1.5395932705853925,1.6244439704573927,1.6594579906553928
20,0.11699251352258178,1.505792091475072,1.540806111673072,1.6256568115450722,1.6606708317430723
21,0.12284213919871087,1.5070671295416069,1.542081149739607,1.6269318496116072,1.6619458698096072
22,0.12869176487483996,1.5084043645869973,1.5434183847849974,1.6282690846569976,1.6632831048549976
23,0.13454139055096906,1.509803796611243,1.544817816809243,1.6296685166812432,1.6646825368792433
24,0.14039101622709815,1.5112654256143438,1.5462794458123439,1.6311301456843441,1.6661441658823442
25,0.14624064190322722,1.5127892515963002,1.5478032717943002,1.6326539716663004,1.6676679918643005
26,0.15209026757935631,1.514375274557112,1.549389294755112,1.6342399946271122,1.6692540148251123
27,0.15793989325548541,1.516023494496779,1.551037514694779,1.6358882145667792,1.6709022347647793
28,0.1637895189316145,1.5177339114153015,1.5527479316133015,1.6375986314853017,1.6726126516833018
29,0.1696391446077436,1.5195065253126792,1.5545205455106792,1.6393712453826794,1.6743852655806795
30,0.17548877028387266,1.5213413361889123,1.5563553563869124,1.6412060562589126,1.6762200764569126
31,0.18133839596000176,1.5232383440440009,1.558252364242001,1.6431030641140012,1.6781170843120012
32,0.18718802163613085,1.5251975488779448,1.5602115690759448,1.6450622689479451,1.6800762891459451
33,0.19303764731225995,1.5272189506907441,1.5622329708887441,1.6470836707607444,1.6820976909587444
34,0.19888727298838904,1.5293025494823986,1.5643165696803987,1.6491672695523989,1.6841812897503989
35,0.20473689866451811,1.5314483452529086,1.5664623654509087,1.6513130653229089,1.6863270855209089
36,0.2105865243406472,1.5336563380022741,1.5686703582002741,1.6535210580722743,1.6885350782702744
37,0.2164361500167763,1.5359265277304948,1.5709405479284948,1.655791247800495,1.6908052679984951
38,0.22228577569290539,1.5382589144375707,1.5732729346355707,1.6581236345075709,1.693137654705571
39,0.22813540136903449,1.5406534981235021,1.5756675183215021,1.6605182181935023,1.6955322383915024
40,0.23398502704516355,1.5431102787882889,1.5781242989862889,1.6629749988582891,1.6979890190562892
41,0.23983465272129265,1.5456292564319312,1.5806432766299312,1.6654939765019314,1.7005079966999315
42,0.24568427839742174,1.5482104310544285,1.5832244512524285,1.6680751511244287,1.7030891713224288
43,0.25153390407355081,1.5508538026557814,1.5858678228537815,1.6707185227257817,1.7057325429237817
44,0.25738352974967993,1.5535593712359896,1.5885733914339897,1.6734240913059899,1.7084381115039899
45,0.263233155425809,1.5563271367950533,1.5913411569930533,1.6761918568650536,1.7112058770630536
46,0.26908278110193812,1.5591570993329722,1.5941711195309722,1.6790218194029725,1.7140358396009725
47,0.27493240677806718,1.5620492588497465,1.5970632790477466,1.6819139789197468,1.7169279991177469
48,0.28078203245419631,1.5650036153453761,1.6000176355433762,1.6848683354153764,1.7198823556133764
49,0.28663165813032537,1.5680201688198612,1.6030341890178612,1.6878848888898614,1.7228989090878615
50,0.29248128380645444,1.5710989192732017,1.6061129394712017,1.6909636393432019,1.725977659541202
51,0.29833090948258356,1.5742398667053974,1.6092538869033974,1.6941045867753977,1.7291186069733977
52,0.30418053515871263,1.5774430111164484,1.6124570313144484,1.6973077311864486,1.7323217513844487
53,0.31003016083484175,1.580708352506355,1.615722372704355,1.7005730725763553,1.7355870927743553
54,0.31587978651097082,1.5840358908751169,1.6190499110731169,1.7039006109451171,1.7389146311431172
55,0.32172941218709988,1.587425626222734,1.622439646420734,1.7072903462927342,1.7423043664907343
56,0.32757903786322901,1.5908775585492065,1.6258915787472066,1.7107422786192068,1.7457562988172068
57,0.33342866353935807,1.5943916878545346,1.6294057080525346,1.7142564079245348,1.7492704281225349
58,0.33927828921548719,1.5979680141387178,1.6329820343367178,1.7178327342087181,1.7528467544067181
59,0.34512791489161626,1.6016065374017563,1.6366205575997563,1.7214712574717566,1.7564852776697566
60,0.35097754056774533,1.6053072576436505,1.6403212778416505,1.7251719777136507,1.7601859979116508
61,0.35682716624387445,1.6090701748643998,1.6440841950623999,1.7289348949344001,1.7639489151324002
62,0.36267679192000352,1.6128952890640045,1.6479093092620045,1.7327600091340047,1.7677740293320048
63,0.36852641759613264,1.6167826002424646,1.6517966204404646,1.7366473203124648,1.7716613405104649
64,0.3743760432722617,1.6207321083997801,1.6557461285977801,1.7405968284697804,1.7756108486677804
65,0.38022566894839077,1.6247438135359509,1.6597578337339509,1.7446085336059511,1.7796225538039512
66,0.38607529462451989,1.6288177156509769,1.6638317358489769,1.7486824357209771,1.7836964559189772
67,0.39192492030064896,1.6329538147448586,1.6679678349428586,1.7528185348148588,1.7878325550128589
68,0.39777454597677808,1.6371521108175955,1.6721661310155955,1.7570168308875957,1.7920308510855958
69,0.40362417165290715,1.6414126038691876,1.6764266240671877,1.7612773239391879,1.7962913441371879
70,0.40947379732903622,1.6457352938996352,1.6807493140976353,1.7656000139696355,1.8006140341676355
71,0.41532342300516534,1.6501201809089383,1.6851342011069383,1.7699849009789386,1.8049989211769386
72,0.4211730486812944,1.6545672648970966,1.6895812850950966,1.7744319849670969,1.8094460051650969
73,0.42702267435742353,1.6590765458641104,1.6940905660621104,1.7789412659341106,1.8139552861321107
74,0.43287230003355259,1.6636480238099793,1.6986620440079794,1.7835127438799796,1.8185267640779796
75,0.43872192570968166,1.6682816987347038,1.7032957189327038,1.788146418804704,1.8231604390027041
76,0.44457155138581078,1.6729775706382837,1.7079915908362837,1.7928422907082839,1.827856310906284
77,0.45042117706193985,1.6777356395207188,1.7127496597187188,1.7976003595907191,1.8326143797887191
78,0.45627080273806897,1.6825559053820094,1.7175699255800094,1.8024206254520097,1.8374346456500097
79,0.46212042841419804,1.6874383682221552,1.7224523884201552,1.8073030882921555,1.8423171084901555
80,0.4679700540903271,1.6923830280411565,1.7273970482391565,1.8122477481111567,1.8472617683091568
81,0.47381967976645623,1.697389884839013,1.732403905037013,1.8172546049090132,1.8522686251070133
82,0.47966930544258529,1.7024589386157249,1.737472958813725,1.8223236586857252,1.8573376788837253
83,0.48551893111871441,1.7075901893712924,1.7426042095692924,1.8274549094412926,1.8624689296392927
84,0.49136855679484348,1.712783637105715,1.7477976573037151,1.8326483571757153,1.8676623773737153
85,0.4972181824709726,1.7180392818189931,1.7530533020169932,1.8379040018889934,1.8729180220869934
86,0.50306780814710161,1.7233571235111265,1.7583711437091265,1.8432218435811267,1.8782358637791268
87,0.50891743382323074,1.7287371621821153,1.7637511823801153,1.8486018822521155,1.8836159024501156
88,0.51476705949935986,1.7341793978319593,1.7691934180299593,1.8540441179019596,1.8890581380999596
89,0.52061668517548898,1.7396838304606588,1.7746978506586588,1.859548550530659,1.8945625707286591
90,0.52646631085161799,1.7452504600682137,1.7802644802662138,1.865115180138214,1.900129200336214
91,0.53231593652774711,1.7508792866546239,1.7858933068526239,1.8707440067246242,1.9057580269226242
92,0.53816556220387624,1.7565703102198895,1.7915843304178896,1.8764350302898898,1.9114490504878898
93,0.54401518788000525,1.7623235307640104,1.7973375509620104,1.8821882508340106,1.9172022710320107
94,0.54986481355613437,1.7681389482869867,1.8031529684849867,1.888003668356987,1.923017688554987
95,0.55571443923226349,1.7740165627888183,1.8090305829868183,1.8938812828588185,1.9288953030568186
