term,sign,m,n,l,label,numerator_nm,D2_real_eV,D2_imag_eV,D1_real_eV,D1_imag_eV,contribution_real,contribution_imag
conduction,1,1,1,1,+ O_11 z^e_11 O_11,12.277453780429905,-0.056685829598807747,0.0050000000000000001,0.74321222459474057,0.0050000000000000001,-289.32976510273721,-23.560004536025527
conduction,1,1,1,2,+ O_11 z^e_12 O_21,-0.084114995456308406,-0.056685829598807747,0.0050000000000000001,0.86307694466474083,0.0050000000000000001,1.7068323678906989,0.14059203615852178
valence,-1,1,1,1,- O_11 z^hh_11 O_11,12.206888377233822,-0.056685829598807747,0.0050000000000000001,0.74321222459474057,0.0050000000000000001,287.66682489573384,23.424591994539423
valence,-1,1,1,2,- O_11 z^hh_12 O_12,0.021672181284657289,-0.056685829598807747,0.0050000000000000001,0.77822624479274061,0.0050000000000000001,0.48773569834189962,0.039864725832424903
conduction,1,1,2,1,+ O_21 z^e_21 O_11,-0.084114995456308392,0.063178890471192517,0.0050000000000000001,0.74321222459474057,0.0050000000000000001,-1.7792052568455974,0.15285802406935928
conduction,1,1,2,2,+ O_21 z^e_22 O_21,0.13020412090417752,0.063178890471192517,0.0050000000000000001,0.86307694466474083,0.0050000000000000001,2.3717990746300632,-0.20153779676985759
valence,-1,1,2,1,- O_21 z^hh_11 O_21,0.088272151379851643,0.063178890471192517,0.0050000000000000001,0.86307694466474083,0.0050000000000000001,-1.6079660574830523,0.13663296354746832
valence,-1,1,2,2,- O_21 z^hh_12 O_22,-0.045841146722033141,0.063178890471192517,0.0050000000000000001,0.89809096486274087,0.0050000000000000001,0.80250307942876675,-0.068008172871247205
conduction,1,2,1,1,+ O_12 z^e_11 O_12,0.0030190533824639662,-0.021671809400807707,0.0050000000000000001,0.77822624479274061,0.0050000000000000001,-0.17020496522664377,-0.038118700228625797
conduction,1,2,1,2,+ O_12 z^e_12 O_22,0.0060502040257832462,-0.021671809400807707,0.0050000000000000001,0.89809096486274087,0.0050000000000000001,-0.29551236887444393,-0.066448403053351909
valence,-1,2,1,1,- O_12 z^hh_21 O_11,0.021672181284657296,-0.021671809400807707,0.0050000000000000001,0.74321222459474057,0.0050000000000000001,1.2794568386792267,0.28613746439424342
valence,-1,2,1,2,- O_12 z^hh_22 O_12,0.0030203863746657389,-0.021671809400807707,0.0050000000000000001,0.77822624479274061,0.0050000000000000001,0.17028011523646736,0.038135530646544742
conduction,1,2,2,1,+ O_22 z^e_21 O_12,0.0060502040257832453,0.098192910669192557,0.0050000000000000001,0.77822624479274061,0.0050000000000000001,0.078940409087942101,-0.0045283223706160071
conduction,1,2,2,2,+ O_22 z^e_22 O_22,2.7393998912980559,0.098192910669192557,0.0050000000000000001,0.89809096486274087,0.0050000000000000001,30.97374844875208,-1.7501269314158809
valence,-1,2,2,1,- O_22 z^hh_21 O_21,-0.045841146722033148,0.098192910669192557,0.0050000000000000001,0.86307694466474083,0.0050000000000000001,0.53933487874097819,-0.030596540044717225
valence,-1,2,2,2,- O_22 z^hh_22 O_22,1.8687424914767781,0.098192910669192557,0.0050000000000000001,0.89809096486274087,0.0050000000000000001,-21.129430584546299,1.1938879652451866
