|k|[1/nm]            Band_1[eV]           Band_2[eV]           Band_3[eV]           Band_4[eV]           Band_5[eV]           Band_6[eV]           Band_7[eV]           Band_8[eV]           Band_9[eV]           Band_10[eV]          Band_11[eV]          Band_12[eV]          Band_13[eV]          Band_14[eV]         
0                    1.3976942530797      1.3976942530798      1.4167478423565      1.4167478423565      1.4437721218703      1.4437721218703      2.3390669310193      2.3390669310193      2.3390988947366      2.3390988947366      2.9525116792099      2.9525116792099      3.0911484520154      3.0911484520155
0.00277857219616     1.397690510197       1.3976905175824      1.4167171418126      1.4167818605183      1.4437703391097      1.4437703424596      2.3389546009121      2.3389865328446      2.3392161782721      2.3392480892357      2.9525105051975      2.9525214906112      3.0911429820192      3.0911614029077
0.00555714439232     1.3976792704984      1.397679329484       1.4166897289004      1.4168190892792      1.4437649845202      1.4437650113227      2.3388286241992      2.338860561931       2.3393517665848      2.3393836623858      2.9525178609995      2.9525398312231      3.0911446284419      3.0911814694137
0.00833571658848     1.3976605285893      1.3976607271205      1.4166656477663      1.4168594962401      1.4437560499748      1.4437561404484      2.3387061489399      2.3387380886708      2.3394908489832      2.3395227258363      2.9525337831096      2.9525667369365      3.0911535151999      3.091208774647
0.01111428878464     1.3976342894852      1.3976347582798      1.4166449103442      1.4169030177639      1.4437435284943      1.4437437430007      2.3385871777247      2.3386191159877      2.3396334220852      2.3396652765453      2.9525582712396      2.9526022068606      3.091169642345       3.0912433178562
0.0138928609808      1.3976005692194      1.397601480355       1.4166275177912      1.4169495808725      1.443727414319       1.443727833404       2.3384717126621      2.338503646031       2.339779483105       2.3398113117752      2.9525913248654      2.9526462398689      3.0911930097887      3.0912850981502
0.01667143317696     1.3975593948129      1.3975609598897      1.4166134605457      1.4169991037388      1.4437077029043      1.4437084273517      2.3383597556982      2.3383916807582      2.3399290292706      2.3399608287729      2.9526329432266      2.9526988345994      3.0912236173023      3.0913341144981
0.01945000537312     1.3975108041843      1.3975132720997      1.4166027193681      1.4170514970985      1.4436843909189      1.4436855418186      2.3382522281085      2.3382841415707      2.340082976224       2.3401147433143      2.9526831276809      2.9527599918188      3.0912614728556      3.0913903740946
0.02222857756928     1.3974548459895      1.3974585003692      1.4165952653291      1.4171066645814      1.4436574762438      1.4436591950728      2.3381507326758      2.3381826314639      2.3402429197643      2.3402746514206      2.9527418810876      2.9528297138109      3.0913065904414      3.0914538901954
0.02500714976544     1.3973915792655      1.3973967356014      1.4165910554698      1.4171644988294      1.4436269579592      1.4436294066779      2.3380527504945      2.3380846312095      2.3404063386273      2.3404380315101      2.9528091955237      2.9529079920284      3.0913589465393      3.0915246384175
