wavelength_nm,observable magnitude__magnitude,observable Re__Re,observable abs_Re__abs_Re,observable Im__Im,observable abs_Im__abs_Im,observable Re_squared__Re_squared,observable magnitude_squared__magnitude_squared,Gamma 0 meV magnitude__magnitude,Gamma 0 meV Re__Re,Gamma 0 meV abs_Re__abs_Re,Gamma 0.25 meV magnitude__magnitude,Gamma 0.25 meV Re__Re,Gamma 0.25 meV abs_Re__abs_Re,Gamma 0.5 meV magnitude__magnitude,Gamma 0.5 meV Re__Re,Gamma 0.5 meV abs_Re__abs_Re,Gamma 1 meV magnitude__magnitude,Gamma 1 meV Re__Re,Gamma 1 meV abs_Re__abs_Re,Gamma 2.5 meV magnitude__magnitude,Gamma 2.5 meV Re__Re,Gamma 2.5 meV abs_Re__abs_Re,Gamma 5 meV magnitude__magnitude,Gamma 5 meV Re__Re,Gamma 5 meV abs_Re__abs_Re,Gamma 7.5 meV magnitude__magnitude,Gamma 7.5 meV Re__Re,Gamma 7.5 meV abs_Re__abs_Re,Gamma 10 meV magnitude__magnitude,Gamma 10 meV Re__Re,Gamma 10 meV abs_Re__abs_Re,full16__magnitude,electron_diagonal__magnitude,hh_diagonal__magnitude,both_diagonal__magnitude,offdiagonal_only__magnitude,electron_family__magnitude,hh_family__magnitude,production__magnitude,radial_kdk__magnitude,bare_2pi_kdk__magnitude,equal_points__magnitude,k0_only__magnitude,Simpson__magnitude,left_rectangle__magnitude,right_rectangle__magnitude,correct truncated trapezoid 0.025__magnitude,correct truncated trapezoid 0.05__magnitude,correct truncated trapezoid 0.075__magnitude,correct truncated trapezoid 0.1__magnitude,downsample existing grid stride 2__magnitude,linear stride 2__magnitude,shape_preserving_cubic stride 2__magnitude,downsample existing grid stride 3__magnitude,linear stride 3__magnitude,shape_preserving_cubic stride 3__magnitude,downsample existing grid stride 5__magnitude,linear stride 5__magnitude,shape_preserving_cubic stride 5__magnitude,independent raw grid_y_n101_k0100__magnitude,independent raw grid_y_n201_k0100__magnitude,independent raw production_y_n301_k0100__magnitude,independent raw kmax_y_n301_k0050__magnitude,independent raw kmax_y_n301_k0075__magnitude,independent raw kmax_y_n301_k0125__magnitude,independent raw isotropy_yz45_n301_k0100__magnitude,projected kp8 branch A__magnitude,projected kp8 branch B__magnitude,projected branch matrix mean__magnitude,e1 -5 meV__magnitude,e1 +5 meV__magnitude,e2 -5 meV__magnitude,e2 +5 meV__magnitude,hh1 -5 meV__magnitude,hh1 +5 meV__magnitude,hh2 -5 meV__magnitude,hh2 +5 meV__magnitude,C_m1_n1_l1 numerator -10%__magnitude,C_m1_n1_l1 numerator +10%__magnitude,C_m2_n2_l2 numerator -10%__magnitude,C_m2_n2_l2 numerator +10%__magnitude,V_m1_n1_l1 numerator -10%__magnitude,V_m1_n1_l1 numerator +10%__magnitude,global transition offset -0.1 eV__magnitude,global transition offset -0.05 eV__magnitude,global transition offset -0.02 eV__magnitude,global transition offset 0 eV__magnitude,global transition offset 0.02 eV__magnitude,global transition offset 0.05 eV__magnitude,global transition offset 0.1 eV__magnitude,global transition scale 0.9__magnitude,global transition scale 0.95__magnitude,global transition scale 1__magnitude,global transition scale 1.05__magnitude,global transition scale 1.1__magnitude,paper linear__magnitude,paper shape_preserving_cubic__magnitude
400.0,0.004907389940855338,0.005607889581813395,0.005607889581813395,3.3041112664811275e-05,3.3041112664811275e-05,3.144842556181121e-05,2.4082476031608155e-05,0.00012103583527158535,0.00012103583527158535,0.00012103583527158535,0.002496522795073823,0.002928688323904873,0.002928688323904873,0.0027071612486497896,0.003070057266128786,0.003070057266128786,0.0031086797971582023,0.003438146137694516,0.003438146137694516,0.003974990365298066,0.004409568824959464,0.004409568824959464,0.004907389940855338,0.005607889581813395,0.005607889581813395,0.0056061057282210565,0.006543697916588693,0.006543697916588693,0.006187258249661275,0.00738106329626821,0.00738106329626821,0.004907389940855328,0.0058736357497458265,0.005603924170157469,0.0054744006580380805,0.0042415309043583056,0.005859342488401139,0.005577493300277105,0.004907389940855338,0.004907389940855365,0.004907389940855351,0.002174347559364757,0.0005971960342144273,0.004907369223866255,0.0048918562065353825,0.0049229098706572785,0.0006786490353292197,0.0015137764980478537,0.002909916818644108,0.004907389940855338,0.0049074520877007725,0.004907475556255988,0.004907390102390676,0.004907562302977862,0.004907618274065427,0.0049073906105300946,0.004907900980237419,0.0049080739836429394,0.00490739351555265,0.004907562302977592,0.0049074158302799525,0.004907389940854623,0.001513763866360083,0.0029099080270405197,0.007515643863970811,0.005010089150686024,0.0056410159579693905,0.005641015957969362,0.005641015957969382,0.004901890322550566,0.004911875042127197,0.004879096917514015,0.004946214030646628,0.0049142694940316825,0.004899463578338972,0.0049438191424636116,0.0048815337887236215,0.0007649066529871346,0.006930056400405279,0.004828224684548673,0.004949537425059917,0.006931663058638857,0.0007438315818540627,0.004211481352069424,0.004545061627756785,0.004764287842067586,0.004907389940855338,0.005061112286617468,0.005303107608068452,0.005733183959182117,0.003512556777902453,0.0041527063204119564,0.004907389940855338,0.005810744899624156,0.006880725242613795,0.004907389940855338,0.004907389940855338
401.0,0.00495249200885015,0.0056594290186331424,0.0056594290186331424,3.351765012915524e-05,3.351765012915524e-05,3.20291368169469e-05,2.4527177097724595e-05,0.00012214824234798563,0.00012214824234798563,0.00012214824234798563,0.002519467649011557,0.002955605091402287,0.002955605091402287,0.002732042020975222,0.00309827331196876,0.00309827331196876,0.0031372508080467596,0.0034697451655221574,0.0034697451655221574,0.004011523326912014,0.004450095736425557,0.004450095736425557,0.00495249200885015,0.0056594290186331424,0.0056594290186331424,0.005657628867417833,0.006603836267018889,0.006603836267018889,0.006244121604397567,0.00744889464846478,0.00744889464846478,0.004952492008850138,0.005924577312511078,0.005652337091731875,0.005524301863507057,0.004277167537328028,0.005910153329500111,0.005625659166242306,0.00495249200885015,0.004952492008850213,0.004952492008850221,0.002194053014272998,0.0006024583602252269,0.004952471077379572,0.004936808526018457,0.004968161554280619,0.0006846383153769988,0.001527224026322564,0.002936123288243951,0.00495249200885015,0.004952554799103329,0.004952578428980614,0.004952492171967076,0.004952666147729738,0.004952722488242097,0.004952492685064392,0.004953008322951947,0.004953182481403207,0.004952495618290557,0.0049526661477294655,0.0049525181663144,0.004952492008849429,0.0015272112776638332,0.002936114411435336,0.007586544736166487,0.005056131597759021,0.0056895381220665375,0.005689538122066503,0.005689538122066521,0.004946946998347657,0.0049570131092983435,0.004923812085131311,0.004991802344131832,0.004959432226021695,0.0049444953008489015,0.004989382695452366,0.004926273916790239,0.000769314125155282,0.006991281433416893,0.004872665354919671,0.004994991195773288,0.006992908660383954,0.00074805235678629,0.004248209279097639,0.0045857323658608454,0.004807603960428534,0.00495249200885015,0.005108140604768211,0.005353219177010429,0.005788949105843451,0.003542097341981846,0.004189164486553742,0.00495249200885015,0.005866830975319645,0.006950734221915267,0.00495249200885015,0.00495249200885015
402.0,0.004998002281163349,0.005711434908609562,0.005711434908609562,3.4001113411601394e-05,3.4001113411601394e-05,3.2620488715283916e-05,2.4980026802514047e-05,0.00012327071767511032,0.00012327071767511032,0.00012327071767511032,0.002542620173805582,0.0029827654790055,0.0029827654790055,0.00275714798586423,0.003126744737414521,0.003126744737414521,0.0031660804111944187,0.0035016301914340704,0.0035016301914340704,0.004048386941835994,0.004490989447031782,0.004490989447031782,0.004998002281163349,0.005711434908609562,0.005711434908609562,0.005709618313717282,0.0066645188599938465,0.0066645188599938465,0.006301499578586512,0.007517339809450369,0.007517339809450369,0.004998002281163343,0.005975937670779582,0.005701145234437482,0.005574648932805425,0.004313079807318086,0.005961381797563757,0.005674217961677308,0.004998002281163349,0.0049980022811633605,0.004998002281163359,0.002213932698554535,0.000607764998049653,0.004997981132883182,0.004982167585967911,0.005013822904778178,0.0006906781618295639,0.0015407863713987604,0.0029625588219176443,0.004998002281163349,0.004998065721807766,0.0049980895135721,0.004998002445877684,0.004998178215974897,0.004998234926868807,0.004998002963982586,0.004998523927007261,0.00499869924379779,0.004998005925692293,0.0049981782159746,0.004998028709576505,0.004998002281162578,0.0015407735047003298,0.0029625498590670927,0.007658116744804618,0.005102590665343271,0.005738453004204273,0.005738453004204244,0.005738453004204265,0.004992411535375354,0.005002559637607089,0.004968930053524785,0.005037805214787347,0.005005003681038339,0.00498993462031925,0.0050353605413741825,0.004971417108578698,0.0007737250537430448,0.00705302632519063,0.004917509172681652,0.005040855853303845,0.007054674387667035,0.0007522749956253201,0.0042852414016220355,0.004626755040761001,0.004851305088523821,0.004998002281163349,0.0051556024163678,0.005403805683744199,0.005845268432054345,0.0035718676597487507,0.0042259280610343185,0.004998002281163349,0.0059234675145855,0.007021491569509351,0.004998002281163349,0.004998002281163349
403.0,0.005043925048867934,0.005763912154867925,0.005763912154867925,3.449161164104707e-05,3.449161164104707e-05,3.322268332903421e-05,2.544117989859739e-05,0.00012440336709542855,0.00012440336709542855,0.00012440336709542855,0.002565982552595262,0.0030101720477699262,0.0030101720477699262,0.0027824815106522803,0.0031554742271411923,0.0031554742271411923,0.00319517132504744,0.00353380422197327,0.00353380422197327,0.004085584686027298,0.004532253812662743,0.004532253812662743,0.005043925048867934,0.005763912154867925,0.005763912154867925,0.005762078968724643,0.006725751415647975,0.006725751415647975,0.006359397581286507,0.007586405229453839,0.007586405229453839,0.005043925048867942,0.006027720710878246,0.0057503522284492415,0.005625446481445412,0.004349270031778432,0.006013031766920767,0.005723173292026171,0.005043925048867934,0.005043925048867976,0.005043925048867996,0.002233988388351249,0.0006131163696259694,0.005043903681419997,0.005027937660497766,0.0050598982301671,0.0006967690579193356,0.0015544646474296307,0.0029892257149527987,0.005043925048867934,0.005043989146978269,0.005044013101186579,0.005043925215195836,0.005044102799035028,0.005044159881239917,0.0050439257383585265,0.005044452084216995,0.0050446285625626655,0.005043928728835181,0.005044102799034761,0.005043951751177387,0.00504392504886721,0.001554451661611463,0.0029892166652136574,0.0077303673948040524,0.005149470730789793,0.005787764160279968,0.005787764160279937,0.005787764160279956,0.005038288221842862,0.0050485189200627605,0.005014455030842496,0.005084227027529503,0.005050988155341695,0.005035785821689116,0.005081757061848104,0.005016967575472743,0.0007781390303681692,0.007115296122203256,0.004962760387237993,0.005087135710732689,0.007116965290753277,0.000756499074436134,0.004322580558646337,0.004668133137323008,0.004895395177634818,0.005043925048867934,0.005203502389569674,0.005454872432451218,0.005902148519290252,0.0036018696969798924,0.004262999938019515,0.005043925048867934,0.005980660951699887,0.007093007044509265,0.005043925048867934,0.005043925048867934
404.0,0.005090264659960232,0.005816865725570954,0.005816865725570954,3.498925590908515e-05,3.498925590908515e-05,3.38359268693221e-05,2.5910794308440054e-05,0.0001255462978555461,0.0001255462978555461,0.0001255462978555461,0.0025895569974820174,0.00303782739272656,0.00303782739272656,0.0028080449940806203,0.0031844645014395723,0.0031844645014395723,0.0032245263041157483,0.003566270303568283,0.003566270303568283,0.004123120081555266,0.004573892740354204,0.004573892740354204,0.005090264659960232,0.005816865725570954,0.005816865725570954,0.005815015799062159,0.006787539729976683,0.006787539729976683,0.006417821093295987,0.007656097444226333,0.007656097444226333,0.005090264659960237,0.006079930364554823,0.005799961745867008,0.005676699185303151,0.0043857405518918265,0.006065107157166697,0.005772528804322895,0.005090264659960232,0.005090264659960273,0.00509026465996027,0.002254221882618379,0.0006185129019100731,0.0050902430709553375,0.005074123080396866,0.00510639189563593,0.0007029114926477455,0.0015682599820922123,0.0030161262914986434,0.005090264659960232,0.005090329422703567,0.00509035353990442,0.005090264827918029,0.005090444245159109,0.005090501699576001,0.005090265356189236,0.00509079714332999,0.005090974786365947,0.005090268375719671,0.005090444245158806,0.005090291639151857,0.005090264659959457,0.0015682468760628047,0.003016117154014585,0.00780330429785358,0.00519677622946995,0.0058374751864695975,0.005837475186469566,0.005837475186469584,0.005084581402851428,0.005094895306615756,0.005060391280690794,0.005131072225825553,0.005097390002182232,0.005082053246740279,0.005128576696993823,0.005062929584363105,0.0007825556359498058,0.007178095932907158,0.005008423304500856,0.005133835138281725,0.007179786481945412,0.0007607241583929372,0.0043602296223321495,0.004709870183777189,0.004939878230130696,0.005090264659960232,0.005251845256069041,0.005506424802375693,0.005959596048474944,0.0036321054403589477,0.00430038304602643,0.005090264659960232,0.0060384178165584015,0.00716529056902919,0.005090264659960232,0.005090264659960232
405.0,0.005137025520292734,0.005870300654984504,0.005870300654984504,3.549415931085758e-05,3.549415931085758e-05,3.44604297799115e-05,2.6389031196138833e-05,0.00012669961862923085,0.00012669961862923085,0.00012669961862923085,0.002613345750004407,0.003065734143439289,0.003065734143439289,0.002833840866811227,0.0032137183168001113,0.0032137183168001113,0.0032541481395641923,0.0035990315231870643,0.0035990315231870643,0.004160996697357843,0.004615910189132308,0.004615910189132308,0.005137025520292734,0.005870300654984504,0.005870300654984504,0.005868433837434918,0.006849889676079692,0.006849889676079692,0.006476775668329759,0.0077264230764430425,0.0077264230764430425,0.005137025520292748,0.00613257060963674,0.005849977501315735,0.005728411781595641,0.00442249373286321,0.0061176119338203945,0.005822288187786028,0.005137025520292734,0.00513702552029277,0.00513702552029276,0.0022746350034865905,0.0006239550269487273,0.005137003707310352,0.005120728234057441,0.005153308324482042,0.000709105960869786,0.0015821735167892335,0.0030432629050129367,0.005137025520292734,0.005137090954930294,0.005137115235663355,0.005137025689896878,0.005137206960456348,0.005137264787956823,0.005137026223328136,0.005137563510963647,0.005137742321741383,0.0051370292722024945,0.005137206960456054,0.005137052779391583,0.005137025520291941,0.0015821602894454617,0.003043253678917536,0.0078769351743007,0.0052445116557255245,0.0058875897197903405,0.0058875897197903084,0.005887589719790329,0.005131295481327663,0.005141693205091569,0.005106743123037412,0.005178345312659576,0.00514421363273575,0.00512874129502955,0.0051758239463967235,0.005109307458551445,0.0007869744404595473,0.0072414309286766634,0.005054502287818926,0.005180958564249137,0.007243143136531239,0.0007649498015272759,0.004398191498475991,0.004751969752384368,0.004984758300284388,0.005137025520292734,0.005300635812172805,0.0055584682491398064,0.0060176178018445225,0.0036625768977494766,0.0043380803484257624,0.005137025520292734,0.006096744736436202,0.007238352231571328,0.005137025520292734,0.005137025520292734
406.0,0.00518421209452618,0.005924222044565263,0.005924222044565263,3.600643698688591e-05,3.600643698688591e-05,3.509640683331303e-05,2.6876055041031518e-05,0.0001278634395408882,0.0001278634395408882,0.0001278634395408882,0.002637351081622254,0.0030938949645728333,0.0030938949645728333,0.0028598715919518364,0.0032432384665083184,0.0032432384665083184,0.003284039659815529,0.003632091009003878,0.003632091009003878,0.004199218150012463,0.004658310170868681,0.004658310170868681,0.00518421209452618,0.005924222044565263,0.005924222044565263,0.0059223381837177225,0.006912807205428894,0.006912807205428894,0.006536266934217742,0.007797388837131616,0.007797388837131616,0.005184212094526192,0.006185645470701543,0.005900403252556026,0.005780589069877612,0.004459531964213029,0.006170550108991959,0.005872455174423547,0.00518421209452618,0.005184212094526247,0.0051842120945262745,0.0022952295966311327,0.0006294431819541484,0.005184190055113946,0.005167757568422453,0.005200651999068308,0.0007153529633800709,0.001596206406854307,0.0030706379387171433,0.00518421209452618,0.005184278208414794,0.005184302653210563,0.005184212265793412,0.005184395409848509,0.005184453611273753,0.005184212804436716,0.005184755652556057,0.005184935634040623,0.0051842158829487495,0.00518439540984819,0.005184239636597217,0.005184212094525456,0.0015961930570813068,0.003070628623133857,0.007951267855080038,0.005292681563837879,0.005938111438672529,0.005938111438672503,0.005938111438672515,0.0051784349189743775,0.005188917082142094,0.0051535149351324815,0.005226050851518529,0.005191463517055393,0.005175854424838633,0.005223503370093031,0.005156105578672256,0.0007913950026657647,0.007305306344772412,0.005101001758924751,0.00522851047596394,0.007307040493749194,0.0007691755464693491,0.004436469126994623,0.004794435460113972,0.005030039495103921,0.00518421209452618,0.005349878919890904,0.005611008306086884,0.0060762206648530175,0.003693286098472424,0.004376094843952687,0.00518421209452618,0.006155648437789112,0.007312202290498412,0.00518421209452618,0.00518421209452618
407.0,0.005231828907099952,0.00597863506406934,0.00597863506406934,3.6526206165906845e-05,3.6526206165906845e-05,3.57440772293194e-05,2.737203371316667e-05,0.00012903787218950785,0.00012903787218950785,0.00012903787218950785,0.0026615752942106526,0.003122312556472261,0.003122312556472261,0.002886139665591659,0.003273027781252292,0.003273027781252292,0.0033142037311655864,0.0036654519310796497,0.0036654519310796497,0.004237788104522107,0.004701096751152363,0.004701096751152363,0.005231828907099952,0.00597863506406934,0.00597863506406934,0.005976734006063837,0.006976298349161703,0.006976298349161703,0.006596300594128402,0.00786900152713005,0.00786900152713005,0.005231828907099971,0.006239159019759107,0.005951242801105304,0.005833235913057367,0.00449685766007466,0.006223925742062431,0.005923033539648211,0.005231828907099952,0.005231828907100038,0.005231828907100047,0.002316007531647727,0.0006349778093798168,0.0052318066387731475,0.005215215589951224,0.0052484274617981535,0.0007216530070004667,0.0016103598217610605,0.0030982538060598925,0.005231828907099952,0.0052318957076934675,0.005231920317073008,0.00523182908004711,0.005232014118040153,0.005232072694199884,0.005231829623955262,0.005232378093336897,0.00523255924840329,0.005231832732402106,0.0052320141180398315,0.005231856735248427,0.00523182890709922,0.00161034634843205,0.0030982444001019173,0.008026310283684057,0.005341290569016069,0.005989044063541272,0.005989044063541238,0.005989044063541262,0.005226004237241175,0.005236571464216738,0.005200711152447567,0.005274193467397283,0.00523914418504413,0.005223397154143909,0.005271619589573712,0.005203328383632854,0.0007958168698719877,0.007369727481323306,0.005147926198900053,0.005276495420759008,0.007371483857771527,0.0007734009241833395,0.004475065482418564,0.004837270969334741,0.00507572597518053,0.005231828907099952,0.005399579508049906,0.005664050585652383,0.006135411628121204,0.003724235093587541,0.0044144295672273876,0.005231828907099952,0.006215135748095143,0.007386851177593048,0.005231828907099952,0.005231828907099952
408.0,0.005279880543221879,0.006033544952683048,0.006033544952683048,3.7053586208738926e-05,3.7053586208738926e-05,3.640366469604709e-05,2.7877138550692963e-05,0.00013022302967308113,0.00013022302967308113,0.00013022302967308113,0.0026860207205634794,0.0031509896557536635,0.0031509896557536635,0.002912647617347311,0.0033030891297418288,0.0033030891297418288,0.003344643258410082,0.00369911750205521,0.00369911750205521,0.004276710275117616,0.004744274050179775,0.004744274050179775,0.005279880543221879,0.006033544952683048,0.006033544952683048,0.00603162654203527,0.007040369219399535,0.007040369219399535,0.006656882427815095,0.007941268038571784,0.007941268038571784,0.005279880543221891,0.006293115376945862,0.006002499992869735,0.005886357238432711,0.0045344732594959775,0.0062777429403754765,0.005974027102903585,0.005279880543221879,0.005279880543221912,0.0052798805432219,0.0023369707024362874,0.0006405593569976718,0.005279858043462686,0.00526310686560485,0.005296639316110197,0.0007280066046691285,0.0016246349453357552,0.0031261129511893568,0.005279880543221879,0.005279948038073055,0.005279972812547536,0.005279880717866128,0.005280067670508758,0.005280126622180123,0.005279881267092322,0.005280435419317216,0.005280617750747532,0.005279884405774832,0.005280067670508477,0.00527990866059429,0.005279880543221064,0.0016246213473118498,0.0031261034539595365,0.008102070518175311,0.005390343348404188,0.006040391357407829,0.006040391357407795,0.006040391357407814,0.005274008018313381,0.005284660938552604,0.005248336269633134,0.0053227778478240765,0.005287260227445486,0.005271374061604365,0.005320177288809202,0.005250980371571753,0.0008002395776486759,0.007434699704326783,0.005195280149160534,0.0053249180069634755,0.007436478598705853,0.0007776254536960572,0.004513983574394366,0.004880479988518053,0.005121821955551635,0.005279880543221879,0.0054497425734294615,0.005717600780764849,0.006195197789430006,0.0037554259561795224,0.0044530875892839295,0.005279880543221879,0.006275213597736621,0.007462309501707929,0.005279880543221879,0.005279880543221879
409.0,0.005328371649877601,0.00608895702017601,0.00608895702017601,3.758869865320943e-05,3.758869865320943e-05,3.7075397593550714e-05,2.8391544439219348e-05,0.00013141902661349862,0.00013141902661349862,0.00013141902661349862,0.002710689724907085,0.003179929035906772,0.003179929035906772,0.002939398010920038,0.0033334254193403395,0.0033334254193403395,0.0033753611854845157,0.003733090977858994,0.003733090977858994,0.004315988426075121,0.004787846243661453,0.004787846243661453,0.005328371649877601,0.00608895702017601,0.00608895702017601,0.006087021099755182,0.007105026010592087,0.007105026010592087,0.006718018292888775,0.00801419535640227,0.00801419535640227,0.005328371649877608,0.0063475187112313645,0.006054178718787262,0.005939958038747209,0.004572381226745127,0.006332005859941319,0.006025439728301011,0.005328371649877601,0.0053283716498776605,0.005328371649877642,0.002358121027591344,0.0006461882779766573,0.005328348916134925,0.0053114360238502726,0.00534529222749241,0.0007344142755312116,0.0016390329759740222,0.0031542178494343644,0.005328371649877601,0.005328439846639732,0.005328464786709836,0.00532837182623626,0.005328560714514211,0.005328620042440481,0.005328372380834492,0.005328932278299349,0.005329115788779418,0.005328375550057241,0.0053285607145139155,0.0053284000596624135,0.00532837164987679,0.0016390192521040575,0.0031542082600248766,0.00817855673324248,0.00543984464210938,0.0060921571264710575,0.0060921571264710254,0.006092157126471044,0.005322450906121194,0.005333190154183733,0.0052963948414948715,0.005371808743906072,0.005335816296853895,0.00531978978756967,0.005369181215293715,0.005299066100836018,0.0008046626495584777,0.007500228446667731,0.005243068212460028,0.005373782904914788,0.00750203015361534,0.0007818486418190371,0.004553226448195728,0.004924066272954632,0.0051683317065825095,0.005328371649877601,0.005500373181921595,0.005771664666275719,0.00625558635575933,0.003786860781648848,0.004492072018109058,0.005328371649877601,0.0063358890219252905,0.0075385880525076325,0.005328371649877601,0.005328371649877601
