transition,feature,photons,k0_energy_eV,k0_wavelength_nm,min_detuning_eV,nearest_k_nm_inverse,target_bracketed,transition_min_eV,transition_max_eV
e1-h1,P1,1,1.4933526957039993,830.2405637775416,0.619764069742675,0.555714439232,False,1.4933526957039993,1.6762396043313992
e1-h1,P1,2,1.4933526957039993,1660.4811275550833,2.9157677438167493,0.555714439232,False,1.4933526957039993,1.6762396043313992
e1-h1,Z1,1,1.4933526957039993,830.2405637775416,0.3730859890570304,0.555714439232,False,1.4933526957039993,1.6762396043313992
e1-h1,Z1,2,1.4933526957039993,1660.4811275550833,2.42241158244546,0.555714439232,False,1.4933526957039993,1.6762396043313992
e1-h1,P2,1,1.4933526957039993,830.2405637775416,0.0004286346766519955,0.476062036275,True,1.4933526957039993,1.6762396043313992
e1-h1,P2,2,1.4933526957039993,1660.4811275550833,1.5865024588264955,0.555714439232,False,1.4933526957039993,1.6762396043313992
e1-h1,P3,1,1.4933526957039993,830.2405637775416,0.34535085866696225,0.0,False,1.4933526957039993,1.6762396043313992
e1-h1,P3,2,1.4933526957039993,1660.4811275550833,0.619764069742675,0.555714439232,False,1.4933526957039993,1.6762396043313992
e1-h1,Z2,1,1.4933526957039993,830.2405637775416,0.5611406776588866,0.0,False,1.4933526957039993,1.6762396043313992
e1-h1,Z2,2,1.4933526957039993,1660.4811275550833,0.18818443175882615,0.555714439232,False,1.4933526957039993,1.6762396043313992
e1-h1,P4,1,1.4933526957039993,830.2405637775416,0.6776671799145256,0.0,False,1.4933526957039993,1.6762396043313992
e1-h1,P4,2,1.4933526957039993,1660.4811275550833,0.0004286346766519955,0.476062036275,True,1.4933526957039993,1.6762396043313992
e1-h2,P1,1,1.5283667159019991,811.2202203175302,0.5899118366281253,0.555714439232,False,1.5283667159019991,1.7060918374459488
e1-h2,P1,2,1.5283667159019991,1622.4404406350604,2.8859155107021994,0.555714439232,False,1.5283667159019991,1.7060918374459488
e1-h2,Z1,1,1.5283667159019991,811.2202203175302,0.34323375594248073,0.555714439232,False,1.5283667159019991,1.7060918374459488
e1-h2,Z1,2,1.5283667159019991,1622.4404406350604,2.3925593493309103,0.555714439232,False,1.5283667159019991,1.7060918374459488
e1-h2,P2,1,1.5283667159019991,811.2202203175302,0.0002227467672526462,0.420490592352,True,1.5283667159019991,1.7060918374459488
e1-h2,P2,2,1.5283667159019991,1622.4404406350604,1.556650225711946,0.555714439232,False,1.5283667159019991,1.7060918374459488
e1-h2,P3,1,1.5283667159019991,811.2202203175302,0.38036487886496206,0.0,False,1.5283667159019991,1.7060918374459488
e1-h2,P3,2,1.5283667159019991,1622.4404406350604,0.5899118366281253,0.555714439232,False,1.5283667159019991,1.7060918374459488
e1-h2,Z2,1,1.5283667159019991,811.2202203175302,0.5961546978568865,0.0,False,1.5283667159019991,1.7060918374459488
e1-h2,Z2,2,1.5283667159019991,1622.4404406350604,0.1583321986442765,0.555714439232,False,1.5283667159019991,1.7060918374459488
e1-h2,P4,1,1.5283667159019991,811.2202203175302,0.7126812001125254,0.0,False,1.5283667159019991,1.7060918374459488
e1-h2,P4,2,1.5283667159019991,1622.4404406350604,0.0002227467672526462,0.420490592352,True,1.5283667159019991,1.7060918374459488
e2-h1,P1,1,1.6132174157740005,768.5523177947716,0.5214527566682736,0.555714439232,False,1.6132174157740005,1.7745509174058005
e2-h1,P1,2,1.6132174157740005,1537.1046355895432,2.8174564307423475,0.555714439232,False,1.6132174157740005,1.7745509174058005
e2-h1,Z1,1,1.6132174157740005,768.5523177947716,0.27477467598262906,0.555714439232,False,1.6132174157740005,1.7745509174058005
e2-h1,Z1,2,1.6132174157740005,1537.1046355895432,2.3241002693710584,0.555714439232,False,1.6132174157740005,1.7745509174058005
e2-h1,P2,1,1.6132174157740005,768.5523177947716,0.00010672362050323514,0.164861950305,True,1.6132174157740005,1.7745509174058005
e2-h1,P2,2,1.6132174157740005,1537.1046355895432,1.4881911457520942,0.555714439232,False,1.6132174157740005,1.7745509174058005
e2-h1,P3,1,1.6132174157740005,768.5523177947716,0.4652155787369634,0.0,False,1.6132174157740005,1.7745509174058005
e2-h1,P3,2,1.6132174157740005,1537.1046355895432,0.5214527566682736,0.555714439232,False,1.6132174157740005,1.7745509174058005
e2-h1,Z2,1,1.6132174157740005,768.5523177947716,0.6810053977288878,0.0,False,1.6132174157740005,1.7745509174058005
e2-h1,Z2,2,1.6132174157740005,1537.1046355895432,0.08987311868442482,0.555714439232,False,1.6132174157740005,1.7745509174058005
e2-h1,P4,1,1.6132174157740005,768.5523177947716,0.7975318999845268,0.0,False,1.6132174157740005,1.7745509174058005
e2-h1,P4,2,1.6132174157740005,1537.1046355895432,0.00010672362050323514,0.164861950305,True,1.6132174157740005,1.7745509174058005
e2-h2,P1,1,1.6482314359720003,752.2256625744044,0.49160052355372397,0.555714439232,False,1.6482314359720003,1.8044031505203502
e2-h2,P1,2,1.6482314359720003,1504.4513251488088,2.787604197627798,0.555714439232,False,1.6482314359720003,1.8044031505203502
e2-h2,Z1,1,1.6482314359720003,752.2256625744044,0.2449224428680794,0.555714439232,False,1.6482314359720003,1.8044031505203502
e2-h2,Z1,2,1.6482314359720003,1504.4513251488088,2.294248036256509,0.555714439232,False,1.6482314359720003,1.8044031505203502
e2-h2,P2,1,1.6482314359720003,752.2256625744044,0.01686040439305292,0.0,False,1.6482314359720003,1.8044031505203502
e2-h2,P2,2,1.6482314359720003,1504.4513251488088,1.4583389126375446,0.555714439232,False,1.6482314359720003,1.8044031505203502
e2-h2,P3,1,1.6482314359720003,752.2256625744044,0.5002295989349632,0.0,False,1.6482314359720003,1.8044031505203502
