feature,rank,pathway,real,imag,magnitude
P1,1,C_m1_n1_l1,16.25480697655794,0.14362771666751561,16.25544151249519
P1,2,V_m1_n1_l1,-16.16138149691951,-0.1428022077372412,16.16201238582334
P1,3,C_m2_n2_l2,4.704321203292479,0.050051196761205174,4.704587453331528
P1,4,V_m2_n2_l2,-3.209157215079745,-0.034143535755420056,3.209338843458613
P1,5,C_m1_n2_l2,0.21133095219084555,0.002156559900968887,0.21134195538154726
P1,6,V_m1_n2_l1,-0.14327225339332547,-0.001462044217311218,0.1432797130290769
P1,7,C_m1_n1_l2,-0.13161826275849287,-0.001335066057536987,0.13162503368638376
P1,8,C_m1_n2_l1,-0.11551662335244643,-0.0010277952761954577,0.1155211956044463
P1,9,V_m1_n2_l2,0.07798628375051588,0.000828406997847994,0.07799068349085075
P1,10,V_m2_n2_l1,0.07510505491335481,0.0007676852756508056,0.07510897825307233
P1,11,V_m1_n1_l2,-0.029852466977875435,-0.0002726155286670461,0.029853711727214318
P1,12,V_m2_n1_l1,-0.028953716273939004,-0.00025628650866749353,0.028954850523639133
P1,13,C_m2_n1_l2,0.010013221733101629,0.00010591190863743889,0.010013781843472028
P1,14,C_m2_n2_l1,0.008726075376876996,8.036864644913687e-05,0.008726445473517329
P1,15,V_m2_n1_l2,-0.004198276964478683,-3.840477707252181e-05,0.004198452619403288
P1,16,C_m2_n1_l1,0.004196424131840625,3.838782782762457e-05,0.004196599709243147
Z1,1,C_m1_n1_l1,30.152175800442038,0.3977228636692674,30.15479877195415
Z1,2,V_m1_n1_l1,-29.97887435857557,-0.39543692761631666,29.98148225440134
Z1,3,C_m2_n2_l2,10.169503932032415,0.18576627916741187,10.171200486378117
Z1,4,V_m2_n2_l2,-6.937353022243159,-0.12672459412239537,6.938510364478948
Z1,5,C_m1_n2_l2,0.43923334019621174,0.007406505069962267,0.43929578128781577
Z1,6,V_m1_n2_l1,-0.29777914575692893,-0.005021255335017369,0.29782147782331914
Z1,7,C_m1_n1_l2,-0.27157435616552644,-0.004555881689338182,0.27161256779590937
Z1,8,C_m1_n2_l1,-0.2158496987506756,-0.002866077692150296,0.21586872597042595
Z1,9,V_m1_n2_l2,0.16824642634997544,0.003068908842236997,0.16827441332840734
Z1,10,V_m2_n2_l1,0.15641209951504248,0.002641518627861776,0.15643440317067372
Z1,11,V_m1_n1_l2,-0.05668517574204945,-0.0007908472061666689,0.056690692253760076
Z1,12,V_m2_n1_l1,-0.0538069086806905,-0.0007109849711627962,0.053811605824407305
Z1,13,C_m2_n1_l2,0.021486152896070122,0.00039059977631154716,0.021489702986745934
Z1,14,C_m2_n2_l1,0.016724003549483807,0.00023521059618679906,0.016725657498218284
Z1,15,V_m2_n1_l2,-0.00798658172944726,-0.00011161232658910144,0.007987361581435226
Z1,16,C_m2_n1_l1,0.007983056997891898,0.00011156306853317428,0.007983836505706473
P2,1,C_m1_n1_l1,104.89927230671353,371.52803319766923,386.05302327815855
P2,2,V_m1_n1_l1,-104.29635743709309,-369.3926535065617,383.8341603339451
P2,3,C_m2_n2_l2,-75.5371786047708,9.06329644449986,76.07896354453003
P2,4,V_m2_n2_l2,51.52936443978526,-6.182729010280335,51.89895507216661
P2,5,C_m1_n2_l2,-3.149017430103694,3.2430244760701727,4.5203449566915905
P2,6,V_m1_n2_l1,2.1348828390191628,-2.198615109047947,3.0645771542045463
P2,7,C_m1_n2_l1,-0.7714978266349825,-2.717791889986647,2.8251728537878336
P2,8,C_m1_n1_l2,1.902204411729432,-1.9549623461594048,2.727683889108853
P2,9,V_m2_n2_l1,-1.1251873951404363,1.1607428472246262,1.6165922898387375
P2,10,V_m1_n2_l2,-1.2428316861994713,0.14913798168502485,1.2517478730968565
P2,11,V_m2_n1_l1,-0.1870569107298218,-0.6675946839561776,0.6933058126817726
P2,12,V_m1_n1_l2,-0.016247677253930726,-0.595150128024132,0.5953718685857509
P2,13,C_m2_n2_l1,0.004762603188794549,0.180703281773797,0.18076603229853275
P2,14,C_m2_n1_l2,-0.15567543145495433,0.018692331010268074,0.1567936325151108
P2,15,V_m2_n1_l2,-0.0020922802793460656,-0.08432013824664947,0.08434609268188668
P2,16,C_m2_n1_l1,0.002091356889769258,0.08428292509813379,0.08430886807885643
P3,1,C_m1_n1_l1,-110.80289659746457,0.4917055337857838,110.80398760297564
P3,2,V_m1_n1_l1,110.16605029256074,-0.48887942669013773,110.1671350274521
P3,3,C_m2_n2_l2,-23.324961126541172,-0.0023571221108104716,23.32496124564158
P3,4,V_m2_n2_l2,15.91164039528283,0.0016079632112359279,15.911640476529818
P3,5,C_m1_n2_l2,-1.1100782081401075,0.0008236592204259957,1.110078513710658
P3,6,C_m1_n2_l1,0.8968577338901248,-0.002818334524890376,0.8968621621230455
P3,7,V_m1_n2_l1,0.7525798027892844,-0.0005584014613820212,0.752580009951467
P3,8,C_m1_n1_l2,0.6069489764584927,-0.001237930556094111,0.6069502388961335
P3,9,V_m2_n2_l1,-0.40939305050793806,0.0001345110493948437,0.4093930726055554
P3,10,V_m1_n2_l2,-0.3726231914308331,0.00011634012683270772,0.3726232095926452
P3,11,V_m2_n1_l1,0.20335355537653874,-0.000842576705609784,0.20335530093849002
P3,12,V_m1_n1_l2,0.18428336013367863,-0.0006922636551410523,0.1842846603793363
P3,13,C_m2_n2_l1,-0.06365459014354971,0.00013034719645860557,0.06365472360111951
P3,14,C_m2_n1_l2,-0.043282161699733035,5.697611256963162e-05,0.04328219920104847
P3,15,V_m2_n1_l2,0.02670243597919937,-9.245697213641814e-05,0.026702596044484845
P3,16,C_m2_n1_l1,-0.026690651348190854,9.241616794530829e-05,0.026690811342834447
Z2,1,C_m1_n1_l1,-194.79597707911614,-2.285457658488711,194.80938376504426
Z2,2,V_m1_n1_l1,193.6763754980885,2.2723218532930196,193.6897051282838
Z2,3,C_m2_n2_l2,-77.37916665720061,-3.0994153555751174,77.4412151771213
Z2,4,V_m2_n2_l2,52.78591750942023,2.1143350381584134,52.82824528568881
Z2,5,C_m1_n2_l2,-3.048054360365262,-0.08667348315484066,3.049286420857162
Z2,6,C_m1_n2_l1,2.287116632941139,0.06218598280416493,2.287961885419714
Z2,7,V_m1_n2_l1,2.066434718377233,0.05876046604771971,2.0672699963200114
Z2,8,V_m2_n2_l1,-1.3403437695814924,-0.05340611388446747,1.3414073332348253
Z2,9,C_m1_n1_l2,1.1469785003561799,0.014779321971471982,1.1470737154329915
Z2,10,V_m1_n2_l2,-1.0367949270194528,-0.02970481908432562,1.0372203704951541
Z2,11,V_m2_n1_l1,0.3848378445526945,0.00551739634079753,0.3848773938052809
Z2,12,V_m1_n1_l2,0.33038647376560765,0.003975466526450206,0.3304103908495849
Z2,13,C_m2_n2_l1,-0.19712387027891004,-0.007646594620581193,0.1972721233297499
Z2,14,C_m2_n1_l2,-0.08925636729088743,-0.0014033994640373865,0.0892673996037829
Z2,15,V_m2_n1_l2,0.05153229237180338,0.0007542510951833017,0.05153781186476207
Z2,16,C_m2_n1_l1,-0.05150954953848665,-0.0007539182202781267,0.05151506659551823
P4,1,C_m1_n1_l1,-289.30607411445294,-742.7767498164958,797.1294152065111
P4,2,V_m1_n1_l1,287.64327007282816,738.5075958230982,792.5478660034374
P4,3,C_m2_n2_l2,134.66491056821434,-18.089425622902944,135.87444740535912
P4,4,V_m2_n2_l2,-91.86466031817534,12.340103544323858,92.68977274143235
P4,5,C_m1_n2_l2,5.508187692094855,-6.484082916106237,8.507847137454105
P4,6,C_m1_n2_l1,-4.049053976948783,4.889407916757146,6.348318508447115
P4,7,V_m1_n2_l1,-3.7342871670172513,4.39589733992571,5.767912453298478
P4,8,C_m1_n1_l2,1.6866492796522894,4.516434592714709,4.821096060318822
P4,9,V_m1_n2_l2,1.8932051335061806,-2.210679841867487,2.9105551086989254
P4,10,V_m2_n2_l1,2.324313559660137,-0.3133041689059484,2.3453343100449078
P4,11,V_m1_n1_l2,0.4943559678322861,1.2665159023760262,1.3595772702949827
P4,12,V_m2_n1_l1,0.17196266828718465,1.2510743332302718,1.2628373397045312
P4,13,C_m2_n2_l1,0.3415299183120374,-0.04652690065994521,0.3446845479380347
P4,14,C_m2_n1_l2,-0.03657165598883576,-0.29870295408108116,0.3009334491187881
P4,15,V_m2_n1_l2,0.02339656959501642,0.1685779341515168,0.17019377001408595
P4,16,C_m2_n1_l1,-0.023386243947582718,-0.16850353536813606,0.17011865811114468
