phases_radians,production_max_complex_change_pm_per_V,production_max_magnitude_change_pm_per_V,independent_max_complex_change_pm_per_V
"[0.3, 0, 0, 0]",1.8347311758033302,1.7842456244512874,3.4576501834057003e-13
"[0, 0.7, 0, 0]",105.63233966807353,3.290456451330787,2.2737367544323206e-13
"[0, 0, 1.1, 0]",7.256495741510796,4.518167741832244,4.582862941503293e-13
"[0, 0, 0, 1.7]",160.4150118445615,3.8150737431883535,1.1718571004216928e-13
"[0.3, 0.7, 1.1, 1.7]",136.3237471899314,2.9024652969437383,4.582862941503293e-13
